,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD
2011-04-01,1.3916626,1.3654633,1.3702545,1.360199,1.3932953,1.3633347,1.3634644
2011-04-03,1.362297,1.3537369,1.3567581,1.3639603,1.4115372,1.377182,1.3772049
2011-04-04,1.3794937,1.3817291,1.4196625,1.3758774,1.3906937,1.3706894,1.3811646
2011-04-05,1.3869934,1.4031448,1.3838196,1.3755646,1.383606,1.3704834,1.4018173
2011-04-06,1.3729935,1.3635712,1.3509064,1.3752441,1.3758087,1.3792648,1.391159
2011-04-07,1.4136429,1.355423,1.3650436,1.3760223,1.3756104,1.3852081,1.3640442
2011-04-08,1.3947372,1.3553314,1.3491287,1.3760223,1.3745117,1.3647232,1.3714981
2011-04-10,1.4030151,1.3749771,1.3892975,1.3760223,1.3758545,1.3889923,1.3834991
2011-04-11,1.3942413,1.3761826,1.410286,1.3616714,1.3832626,1.3923416,1.3775177
2011-04-12,1.3619156,1.3740158,1.4015121,1.3840866,1.3632355,1.4152145,1.3855209
2011-04-13,1.359932,1.3764954,1.3776245,1.3888397,1.3851471,1.3965759,1.3653717
2011-04-14,1.3919907,1.3671341,1.3681107,1.3828201,1.3734055,1.3813248,1.375412
2011-04-15,1.404686,1.374443,1.3736572,1.3860779,1.3751297,1.3791656,1.3724289
2011-04-17,1.3615265,1.3839874,1.3806076,1.393074,1.3739777,1.3759155,1.3819427
2011-04-18,1.3790131,1.3836136,1.3709717,1.4023209,1.3832169,1.3696823,1.3755188
2011-04-19,1.3785934,1.3653336,1.3701782,1.3905334,1.381691,1.3688507,1.3703995
2011-04-20,1.3772888,1.3796539,1.3663101,1.3609467,1.3855591,1.3816376,1.375412
2011-04-21,1.3718491,1.3782806,1.3661423,1.3727798,1.3739243,1.367775,1.379425
2011-04-24,1.3822098,1.3782425,1.3651733,1.373497,1.3607864,1.3750763,1.3724365
2011-04-25,1.3762665,1.3686066,1.3690872,1.3750687,1.367096,1.3593826,1.3899994
2011-04-26,1.3727112,1.3706589,1.3747787,1.3825073,1.3728027,1.3652954,1.3544235
2011-04-27,1.3785629,1.3758087,1.3796921,1.3667603,1.3690033,1.3667984,1.3568802
2011-04-28,1.3787537,1.3735733,1.3883057,1.3744736,1.3638992,1.3682861,1.3642731
2011-04-29,1.3750992,1.375412,1.346756,1.3702545,1.3733902,1.3747864,1.3746414
2011-05-01,1.3574371,1.3836212,1.3830566,1.366394,1.3641815,1.3622818,1.3644409
2011-05-02,1.3483658,1.3632126,1.3669891,1.369278,1.3609695,1.3464127,1.3722763
2011-05-03,1.3809204,1.3638687,1.3686295,1.3593292,1.3573685,1.3858185,1.3528442
2011-05-04,1.3645782,1.3756638,1.3763885,1.3768845,1.3707886,1.3621292,1.3653564
2011-05-05,1.3832397,1.3617783,1.3652039,1.374321,1.3693161,1.3677139,1.3664932
2011-05-06,1.3644485,1.3623352,1.3900604,1.3613129,1.3755951,1.3662567,1.362709
2011-05-08,1.3671112,1.3598785,1.3691635,1.361763,1.3681259,1.3632202,1.3611679
2011-05-09,1.3639908,1.3552246,1.3691635,1.3717728,1.363739,1.3624573,1.3600235
2011-05-10,1.3567581,1.3711319,1.3644714,1.361351,1.3606567,1.3639679,1.3611298
2011-05-11,1.3571091,1.3653336,1.3628998,1.3618011,1.3680115,1.3657761,1.3545303
2011-05-12,1.3637238,1.3615036,1.3618927,1.3669739,1.3616943,1.3548737,1.3643799
2011-05-13,1.3630753,1.3614731,1.36837,1.357048,1.361618,1.355156,1.3583527
2011-05-15,1.3610764,1.3522034,1.361908,1.3653488,1.3741684,1.3608246,1.3600845
2011-05-16,1.3676071,1.3667603,1.3656158,1.3607559,1.3577499,1.348053,1.3555069
2011-05-17,1.3595505,1.3557663,1.3610916,1.3656082,1.3559647,1.3624573,1.3608017
2011-05-18,1.3619232,1.3586273,1.3683167,1.345665,1.3591766,1.3621979,1.3699341
2011-05-19,1.361023,1.3650131,1.3523254,1.3626022,1.3528519,1.3697891,1.338623
2011-05-20,1.3607712,1.3453369,1.3524933,1.3522263,1.3467407,1.3359604,1.350357
2011-05-22,1.3511734,1.3619003,1.3591461,1.353302,1.3541641,1.3615952,1.3530426
2011-05-23,1.3540115,1.3633957,1.3421783,1.368721,1.3519897,1.345459,1.35009
2011-05-24,1.3493881,1.3653946,1.3475647,1.343956,1.3494034,1.3498459,1.3381271
2011-05-25,1.3437805,1.3447113,1.3444824,1.354599,1.3506165,1.3531647,1.3367386
2011-05-26,1.3493347,1.3513947,1.344162,1.3534546,1.3589783,1.3573151,1.349411
2011-05-27,1.3505554,1.3545761,1.3476181,1.3503494,1.3555679,1.343071,1.3349304
2011-05-29,1.3370132,1.3474197,1.3247833,1.4155273,1.3397675,1.3430023,1.3471451
2011-05-30,1.3746109,1.3458557,1.3552399,1.3151321,1.3288574,1.336586,1.3479767
2011-05-31,1.3567047,1.3492813,1.3604889,1.3600922,1.3537674,1.3534317,1.340271
2011-06-01,1.323494,1.3395386,1.3403854,1.338623,1.3072586,1.3426208,1.3402863
2011-06-02,1.3513718,1.3393478,1.3380203,1.3408737,1.3644409,1.3454895,1.352066
2011-06-03,1.3424683,1.3392792,1.3305664,1.3427505,1.3499527,1.335495,1.3397369
2011-06-05,1.3219681,1.3535461,1.3581085,1.362297,1.3449249,1.360939,1.3635254
2011-06-06,1.358757,1.3403397,1.3256073,1.3367538,1.3446426,1.3318558,1.3503723
2011-06-07,1.3488464,1.3268356,1.3359833,1.3265915,1.3384781,1.3591385,1.3212204
2011-06-08,1.3396225,1.3395386,1.3528595,1.3317413,1.3185806,1.3627167,1.3465347
2011-06-09,1.347908,1.3323364,1.3435822,1.3441467,1.3598404,1.3321381,1.3352585
2011-06-10,1.3389893,1.3418274,1.3294144,1.3399734,1.3397217,1.3437424,1.3593979
2011-06-12,1.3402557,1.3648453,1.3608551,1.3402023,1.3571777,1.3567581,1.3444366
2011-06-13,1.3437119,1.3474197,1.347374,1.3609848,1.3257751,1.3597641,1.3390045
2011-06-14,1.3418655,1.3300323,1.3422012,1.3545685,1.3623886,1.3262634,1.3418198
2011-06-15,1.3194275,1.3412857,1.3321457,1.3097763,1.3377228,1.3423615,1.3350601
2011-06-16,1.3381958,1.3656082,1.3471985,1.341301,1.338623,1.3460388,1.3404465
2011-06-17,1.33078,1.3505859,1.3548126,1.3320694,1.3448563,1.3434906,1.3442612
2011-06-19,1.3594589,1.3586121,1.347023,1.3437271,1.348671,1.33358,1.3484879
2011-06-20,1.340004,1.346878,1.3426514,1.33992,1.3423538,1.3594589,1.3478088
2011-06-21,1.3369293,1.3422852,1.3408508,1.3266983,1.3465195,1.3320923,1.3486099
2011-06-22,1.3286133,1.3418274,1.3423691,1.3636551,1.345192,1.3467102,1.3440781
2011-06-23,1.3505325,1.3417282,1.3416824,1.3463821,1.3505402,1.3471069,1.3425064
2011-06-24,1.3414307,1.3427811,1.3460617,1.3479309,1.3425217,1.3491669,1.3451843
2011-06-26,1.3432007,1.3460922,1.3479309,1.3502579,1.3495865,1.3461761,1.3541336
2011-06-27,1.3394089,1.3420181,1.3424149,1.348114,1.3396835,1.3535767,1.3499222
2011-06-28,1.3499298,1.3517303,1.3506699,1.3581772,1.34758,1.3433685,1.3560104
2011-06-29,1.353981,1.3487244,1.3560486,1.3480759,1.3563995,1.358223,1.3486176
2011-06-30,1.3508377,1.3560257,1.3541565,1.3479385,1.3495102,1.3398438,1.3714218
2011-07-01,1.3395386,1.3450775,1.3414536,1.3555908,1.3591766,1.3580551,1.3386002
