,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD
2011-03-30,1229.8519,1230.0052,1230.0016,1230.2424,1229.5087,1229.8589,1229.977
2011-03-31,1248.6592,1248.8121,1248.804,1249.0425,1248.3085,1248.655,1248.7698
2011-04-01,1267.4662,1267.6157,1267.604,1267.8423,1267.1062,1267.448,1267.5627
2011-04-03,1286.271,1286.4158,1286.4039,1286.641,1285.8993,1286.2408,1286.3553
2011-04-04,1305.0712,1305.2157,1305.2036,1305.4344,1304.6923,1305.0334,1305.1481
2011-04-05,1323.8712,1324.0155,1323.9976,1324.2273,1323.4851,1323.8262,1323.9374
2011-04-06,1342.6709,1342.8105,1342.7905,1343.0203,1342.2778,1342.617,1342.7231
2011-04-07,1361.467,1361.6034,1361.5835,1361.813,1361.0697,1361.4031,1361.5089
2011-04-08,1380.26,1380.3964,1380.3761,1380.6056,1379.8562,1380.1888,1380.2947
2011-04-10,1399.0529,1399.1893,1399.1688,1399.3931,1398.6421,1398.9746,1399.0804
2011-04-11,1417.8457,1417.9818,1417.9575,1418.1787,1417.4276,1417.7603,1417.8661
2011-04-12,1436.6384,1436.7719,1436.7433,1436.9645,1436.2135,1436.546,1436.6517
2011-04-13,1455.4294,1455.5576,1455.529,1455.7504,1454.9993,1455.3318,1455.4373
2011-04-14,1474.2153,1474.3435,1474.3148,1474.536,1473.7849,1474.1172,1474.2225
2011-04-15,1493.001,1493.1292,1493.1003,1493.3217,1492.5706,1492.9027,1493.0042
2011-04-17,1511.7867,1511.9148,1511.8862,1512.1073,1511.356,1511.6858,1511.7828
2011-04-18,1530.5725,1530.7006,1530.6719,1530.8928,1530.1403,1530.4647,1529.7065
2011-04-19,1549.3582,1549.4865,1549.4574,1549.6781,1548.9196,1548.3887,1546.7062
2011-04-20,1568.144,1568.2719,1568.2428,1568.4579,1566.8436,1565.3882,1563.6986
2011-04-21,1586.9296,1587.0574,1587.0238,1586.3822,1583.8433,1582.3807,1580.8018
2011-04-24,1605.7148,1605.8395,1604.9481,1603.3818,1600.8358,1599.484,1598.0103
2011-04-25,1624.4982,1623.764,1621.948,1620.3745,1617.9391,1616.6924,1615.3176
2011-04-26,1642.4149,1640.7573,1638.9333,1637.4707,1635.14,1633.9924,1632.7117
2011-04-27,1659.4031,1657.7374,1656.0244,1654.6665,1652.4349,1651.3813,1650.1886
2011-04-28,1676.416,1674.8613,1673.2529,1671.9941,1669.8564,1668.8909,1667.7808
2011-04-29,1693.5198,1692.07,1690.5605,1689.3955,1687.346,1686.463,1685.432
2011-05-01,1710.7284,1709.3773,1707.9617,1706.885,1704.9181,1704.1143,1703.1565
2011-05-02,1728.036,1726.7787,1725.4512,1724.4572,1722.5692,1721.8389,1720.9501
2011-05-03,1745.4366,1744.2676,1743.0231,1742.1079,1740.2935,1739.6317,1738.8088
2011-05-04,1762.9076,1761.8213,1760.6556,1759.814,1758.0682,1757.4724,1756.7101
2011-05-05,1780.4764,1779.4691,1778.3768,1777.6039,1775.924,1775.3888,1774.6836
2011-05-06,1798.1461,1797.2122,1796.1887,1795.4814,1793.8623,1793.3843,1792.732
2011-05-08,1815.8748,1815.0094,1814.0516,1813.405,1811.843,1811.4181,1810.8171
2011-05-09,1833.6678,1832.8682,1831.9712,1831.3817,1829.8727,1829.499,1828.9447
2011-05-10,1851.5269,1850.7881,1849.9482,1849.4119,1847.954,1847.6271,1847.1166
2011-05-11,1869.4465,1868.7648,1867.9781,1867.4929,1866.0817,1865.7986,1865.3293
2011-05-12,1887.4233,1886.7949,1886.0591,1885.6206,1884.2533,1884.0112,1883.58
2011-05-13,1905.4534,1904.8759,1904.1866,1903.7921,1902.4658,1902.2618,1901.8677
2011-05-15,1923.5343,1923.0033,1922.3582,1922.0048,1920.7164,1920.5496,1920.1884
2011-05-16,1941.6617,1941.1748,1940.5708,1940.2554,1939.0042,1938.87,1938.5402
2011-05-17,1959.8333,1959.3873,1958.8213,1958.5428,1957.3247,1957.2218,1956.9211
2011-05-18,1978.0459,1977.638,1977.1089,1976.8634,1975.6765,1975.603,1975.3296
2011-05-19,1996.2963,1995.9257,1995.4293,1995.2151,1994.0575,1994.0114,1993.7634
2011-05-20,2014.584,2014.2458,2013.781,2013.5962,2012.466,2012.4448,2012.2203
2011-05-22,2032.9043,2032.5977,2032.1622,2032.0046,2030.8994,2030.902,2030.7004
2011-05-23,2051.256,2050.9788,2050.5706,2050.4382,2049.3564,2049.382,2049.2002
2011-05-24,2069.637,2069.3872,2069.0042,2068.8953,2067.8364,2067.8818,2067.7185
2011-05-25,2088.0454,2087.8206,2087.4612,2087.375,2086.3362,2086.4001,2086.2566
2011-05-26,2106.479,2106.2776,2105.9412,2105.875,2104.8545,2104.938,2104.8105
2011-05-27,2124.9358,2124.7573,2124.441,2124.393,2123.3923,2123.492,2123.38
2011-05-29,2143.4153,2143.257,2142.959,2142.9312,2141.9463,2142.0613,2141.9634
2011-05-30,2161.9155,2161.7754,2161.4968,2161.485,2160.5156,2160.6448,2160.56
2011-05-31,2180.4336,2180.313,2180.0508,2180.0542,2179.099,2179.2417,2179.1687
2011-06-01,2198.9712,2198.867,2198.6199,2198.6377,2197.6958,2197.85,2198.735
2011-06-02,2217.5251,2217.436,2217.2036,2217.2344,2216.3044,2217.4165,2219.307
2011-06-03,2236.0942,2236.0195,2235.8003,2235.8428,2235.8706,2237.9883,2239.8567
2011-06-05,2254.6777,2254.616,2254.4084,2255.409,2256.4426,2258.5383,2260.2625
2011-06-06,2273.2744,2273.2244,2273.9749,2275.981,2276.9922,2278.9438,2280.537
2011-06-07,2291.8828,2292.7908,2294.5464,2296.5308,2297.3982,2299.2185,2299.7786
2011-06-08,2311.449,2313.3623,2315.0967,2316.9365,2317.6729,2318.46,2318.8638
2011-06-09,2332.0205,2333.9124,2335.502,2337.2114,2336.914,2337.5452,2337.9246
2011-06-10,2352.5703,2354.3179,2355.7766,2356.4526,2355.9995,2356.606,2356.966
2011-06-12,2372.9758,2374.5928,2375.0186,2375.5378,2375.0603,2375.6475,2375.9873
2011-06-13,2393.251,2393.834,2394.1033,2394.5981,2394.1013,2394.6685,2394.9902
2011-06-14,2412.4922,2412.9192,2413.164,2413.6396,2413.1226,2413.6714,2413.9768
2011-06-15,2431.5774,2431.9797,2432.2056,2432.661,2432.1252,2432.658,2432.948
2011-06-16,2450.6377,2451.0212,2451.2268,2451.6638,2451.112,2451.6294,2451.9048
2011-06-17,2469.6792,2470.0422,2470.2295,2470.6504,2470.0835,2470.5864,2470.849
2011-06-19,2488.7004,2489.0452,2489.2163,2489.6218,2489.0405,2489.5305,2489.7812
2011-06-20,2507.7034,2508.0317,2508.1873,2508.579,2507.9844,2508.4626,2508.7031
2011-06-21,2526.69,2527.0032,2527.1443,2527.523,2526.9167,2527.3845,2527.6108
2011-06-22,2545.6614,2545.9604,2546.0884,2546.455,2545.8386,2546.2925,2546.5112
2011-06-23,2564.6182,2564.9043,2565.0205,2565.3767,2564.7466,2565.1926,2565.4043
2011-06-24,2583.5625,2583.8364,2583.9426,2584.2847,2583.6465,2584.0857,2584.2844
2011-06-26,2602.4946,2602.7583,2602.8503,2603.1848,2602.5396,2602.9658,2603.1624
2011-06-27,2621.4163,2621.6663,2621.7502,2622.078,2621.42,2621.8438,2622.0269
2011-06-28,2640.3242,2640.5662,2640.6438,2640.958,2640.2976,2640.7083,2640.8914
2011-06-29,2659.224,2659.4592,2659.5237,2659.836,2659.1624,2659.573,2659.7427
2011-06-30,2678.1172,2678.3394,2678.4016,2678.7002,2678.0266,2678.424,2678.5928
2011-07-01,2696.9973,2697.2173,2697.266,2697.565,2696.878,2697.2742,2697.4377
2011-07-03,2715.8752,2716.0815,2716.1309,2716.4163,2715.7283,2716.1191,2716.2737
2011-07-04,2734.7397,2734.9463,2734.9817,2735.2664,2734.5732,2734.9553,2735.1096
2011-07-05,2753.6042,2753.7976,2753.832,2754.1113,2753.4087,2753.791,2753.9421
2011-07-06,2772.4553,2772.648,2772.677,2772.9473,2772.2449,2772.6235,2772.7642
2011-07-07,2791.306,2791.4927,2791.5132,2791.783,2791.0776,2791.4453,2791.5854
2011-07-08,2810.1506,2810.3286,2810.3489,2810.6157,2809.899,2810.2668,2810.407
2011-07-10,2828.9866,2829.1646,2829.1814,2829.4375,2828.7205,2829.0884,2829.2273
2011-07-11,2847.8225,2847.9973,2848.003,2848.2588,2847.5425,2847.9087,2848.0347
2011-07-12,2866.655,2866.8188,2866.8247,2867.0803,2866.3628,2866.7158,2866.8418
2011-07-13,2885.4766,2885.6401,2885.6462,2885.901,2885.17,2885.5232,2885.649
2011-07-14,2904.2983,2904.4617,2904.4666,2904.708,2903.9773,2904.3303,2904.4563
2011-07-15,2923.1199,2923.2822,2923.274,2923.5151,2922.7844,2923.1375,2923.2634
2011-07-17,2941.9404,2942.0896,2942.081,2942.3223,2941.5916,2941.9448,2942.07
2011-07-18,2960.7476,2960.8967,2960.8882,2961.1296,2960.399,2960.7515,2960.863
2011-07-19,2979.5547,2979.7039,2979.6953,2979.9368,2979.205,2979.5442,2979.6558
2011-07-20,2998.3618,2998.5112,2998.5027,2998.7434,2997.998,2998.337,2999.3528
2011-07-21,3017.1692,3017.3186,3017.3093,3017.5364,3016.791,3018.0342,3019.0989
2011-07-22,3035.9763,3036.1248,3036.1018,3036.329,3036.4883,3037.7803,3038.77
2011-07-24,3054.7827,3054.9177,3054.8948,3056.0264,3056.234,3057.4514,3058.3733
2011-07-25,3073.5754,3073.7107,3074.592,3075.7722,3075.9055,3077.0547,3077.9136
2011-07-26,3092.3684,3093.408,3094.3381,3095.4436,3095.5088,3096.595,3097.3962
2011-07-27,3112.0657,3113.1536,3114.0093,3115.047,3115.049,3116.0776,3116.8262
2011-07-28,3131.8118,3132.8252,3133.6125,3134.5872,3134.5317,3135.5073,3136.2068
2011-07-29,3151.4832,3152.4287,3153.1528,3154.0698,3153.9612,3154.8882,3155.542
2011-07-31,3171.0864,3171.9688,3172.6355,3173.4995,3173.3423,3174.2234,3174.8357
2011-08-01,3190.6265,3191.4512,3192.065,3192.8801,3192.677,3193.517,3194.0903
2011-08-02,3210.1094,3210.8809,3211.446,3212.2156,3211.9707,3212.7717,3213.3103
2011-08-03,3229.5388,3230.2615,3230.7812,3231.509,3231.225,3231.9915,3232.497
2011-08-04,3248.92,3249.596,3250.0745,3250.7656,3250.445,3251.1772,3251.6519
2011-08-05,3268.254,3268.8896,3269.3315,3269.984,3269.6313,3270.3333,3270.7805
2011-08-07,3287.5476,3288.147,3288.5498,3289.17,3288.7876,3289.4624,3289.8845
2011-08-08,3306.8052,3307.365,3307.7358,3308.3264,3307.9165,3308.5664,3308.9639
2011-08-09,3326.0232,3326.5513,3326.8923,3327.4553,3327.0205,3327.6455,3328.017
2011-08-10,3345.2095,3345.7078,3346.0212,3346.559,3346.0999,3346.6992,3347.0527
2011-08-11,3364.366,3364.8364,3365.1248,3365.6384,3365.153,3365.7346,3366.0747
2011-08-12,3383.4949,3383.9402,3384.2043,3384.6917,3384.189,3384.7568,3385.068
2011-08-14,3402.5984,3403.0195,3403.2576,3403.7275,3403.211,3403.75,3404.0542
2011-08-15,3421.6775,3422.073,3422.293,3422.7493,3422.2043,3422.736,3423.019
2011-08-16,3440.7312,3441.1084,3441.3152,3441.743,3441.1902,3441.701,3441.9763
2011-08-17,3459.7666,3460.1306,3460.3086,3460.729,3460.155,3460.658,3460.9126
2011-08-18,3478.7888,3479.124,3479.2947,3479.6938,3479.1123,3479.5945,3479.8486
2011-08-19,3497.7822,3498.11,3498.2593,3498.6511,3498.0483,3498.5303,3498.7593
2011-08-21,3516.7683,3517.075,3517.217,3517.5872,3516.9846,3517.4417,3517.667
2011-08-22,3535.733,3536.0322,3536.1528,3536.5232,3535.8955,3536.3489,3536.5745
2011-08-23,3554.6902,3554.9683,3555.089,3555.434,3554.803,3555.256,3555.4536
2011-08-24,3573.6265,3573.9045,3574.0,3574.3418,3573.7104,3574.1355,3574.3325
2011-08-25,3592.5627,3592.8154,3592.9072,3593.2493,3592.5896,3593.0144,3593.2112
2011-08-26,3611.4736,3611.723,3611.8152,3612.1284,3611.4685,3611.8933,3612.0818
2011-08-28,3630.3809,3630.6304,3630.694,3631.007,3630.3474,3630.7634,3630.932
2011-08-29,3649.2883,3649.5095,3649.5728,3649.886,3649.2178,3649.6138,3649.7822
2011-08-30,3668.1677,3668.3884,3668.4517,3668.7566,3668.068,3668.4644,3668.6326
2011-08-31,3687.0464,3687.2673,3687.3223,3687.607,3686.9185,3687.3142,3687.4824
2011-09-01,3705.9253,3706.138,3706.1729,3706.4568,3705.7686,3706.1646,3706.3286
2011-09-02,3724.7961,3724.988,3725.0227,3725.3071,3724.6187,3725.0107,3725.1504
2011-09-04,3743.646,3743.8381,3743.873,3744.1572,3743.4648,3743.8323,3743.9717
2011-09-05,3762.4963,3762.6885,3762.7231,3763.0034,3762.2864,3762.6538,3762.7935
2011-09-06,3781.3462,3781.5386,3781.5693,3781.8252,3781.108,3781.475,3781.615
2011-09-07,3800.1968,3800.3848,3800.3906,3800.6467,3799.9294,3800.2966,3800.4363
2011-09-08,3819.043,3819.206,3819.2124,3819.4683,3818.751,3819.1182,3819.258
2011-09-09,3837.8643,3838.0276,3838.0342,3838.2896,3837.5723,3837.94,3838.0796
2011-09-11,3856.6858,3856.8494,3856.8555,3857.111,3856.394,3856.7615,3856.9011
2011-09-12,3875.5073,3875.6707,3875.677,3875.9326,3875.2158,3875.5828,3875.7034
2011-09-13,3894.329,3894.4924,3894.4983,3894.7542,3894.037,3894.3853,3894.4963
2011-09-14,3912.572,3912.7207,3912.7266,3912.968,3912.288,3912.6135,3912.7107
2011-09-15,3930.4512,3930.5981,3930.601,3930.8408,3930.157,3930.4812,3931.439
2011-09-16,3948.3896,3948.5347,3948.5354,3948.7742,3948.0852,3949.2708,3950.289
2011-09-18,3966.3845,3966.5273,3966.526,3966.763,3966.9346,3968.178,3968.2688
2011-09-19,3984.4312,3984.5723,3984.5684,3985.6714,3985.8994,3986.2136,3985.3186
