,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK
2011-03-27,6.3869095,6.3687057,6.3883514,6.379341,6.366127,6.36483,6.3544693
2011-03-28,6.3691483,6.3834686,6.3812027,6.359543,6.359047,6.345421,6.343506
2011-03-29,6.3764343,6.3764725,6.3562317,6.340721,6.357155,6.3337784,6.3547516
2011-03-30,6.3697357,6.3547134,6.362671,6.3553543,6.3528366,6.3444443,6.352318
2011-03-31,6.35614,6.3799667,6.3522415,6.338379,6.340515,6.356415,6.345825
2011-04-01,6.359001,6.2999268,6.34272,6.3620224,6.33696,6.357445,6.3480453
2011-04-03,6.383095,6.3432846,6.3405304,6.3595276,6.338249,6.3263702,6.3193665
2011-04-04,6.343605,6.344139,6.3331375,6.3342133,6.3461304,6.325554,6.333679
2011-04-05,6.341461,6.3449097,6.3437424,6.3363037,6.3475876,6.353241,6.3436813
2011-04-06,6.3503876,6.3465347,6.3358994,6.340294,6.3410645,6.32563,6.3289566
2011-04-07,6.3546753,6.3468246,6.3423386,6.3413086,6.3394012,6.325554,6.332306
2011-04-08,6.3298264,6.3402023,6.328285,6.328392,6.327614,6.3263626,6.319908
2011-04-10,6.3279953,6.3378677,6.3386383,6.3207474,6.3301086,6.338211,6.3311234
2011-04-11,6.3355484,6.3276825,6.3082657,6.3252335,6.3286057,6.3278275,6.316841
2011-04-12,6.342781,6.3280334,6.326309,6.328064,6.3195724,6.334244,6.328621
2011-04-13,6.3281326,6.327591,6.320595,6.330017,6.331703,6.321953,6.3246536
2011-04-14,6.327873,6.32666,6.3255234,6.331955,6.3242035,6.3242264,6.3147583
2011-04-15,6.3258896,6.317955,6.3257294,6.327194,6.3273926,6.31723,6.316948
2011-04-17,6.303833,6.328476,6.3274918,6.3213043,6.31691,6.3213654,6.3127747
2011-04-18,6.3300858,6.329727,6.3211746,6.3154984,6.320137,6.317589,6.3018646
2011-04-19,6.3285065,6.326111,6.3240204,6.3107376,6.3122253,6.305992,6.2904663
2011-04-20,6.3262634,6.3185043,6.318405,6.3208237,6.2989655,6.3053894,6.3006744
2011-04-21,6.3298798,6.3189316,6.3048706,6.315201,6.2909393,6.2951355,6.27977
2011-04-24,6.318367,6.3108826,6.2990646,6.295372,6.2969284,6.2823715,6.2844315
2011-04-25,6.317436,6.3036804,6.307663,6.301422,6.291107,6.286331,6.278839
2011-04-26,6.306755,6.297432,6.293846,6.2792892,6.281563,6.2799683,6.262703
2011-04-27,6.3067856,6.3056564,6.296631,6.2778015,6.2710953,6.2622757,6.2521057
2011-04-28,6.2934265,6.2859573,6.287285,6.269623,6.264,6.2523117,6.2445297
2011-04-29,6.2914124,6.280731,6.27063,6.2625275,6.25943,6.2483215,6.2499313
2011-05-01,6.282387,6.270241,6.2575073,6.256096,6.243042,6.2459106,6.263283
2011-05-02,6.27063,6.273834,6.259018,6.243973,6.240448,6.239792,6.24189
2011-05-03,6.272789,6.2735443,6.26696,6.24263,6.244255,6.215782,6.240738
2011-05-04,6.2611237,6.254936,6.2575607,6.2391205,6.2443314,6.2426605,6.231964
2011-05-05,6.2518005,6.2466125,6.239067,6.2269135,6.2305527,6.2218246,6.2491837
2011-05-06,6.241516,6.237129,6.2360916,6.2423477,6.213089,6.2278137,6.2178574
2011-05-08,6.2393875,6.2360306,6.236603,6.255928,6.230438,6.2355576,6.2514496
2011-05-09,6.228668,6.23835,6.236603,6.208969,6.2384033,6.219925,6.2172623
2011-05-10,6.234581,6.2356644,6.232353,6.219345,6.2480087,6.242775,6.2493668
2011-05-11,6.2280807,6.2151337,6.24955,6.2218018,6.2399063,6.2201233,6.1854935
2011-05-12,6.2183304,6.2251816,6.2187424,6.2268524,6.251732,6.2426376,6.21122
2011-05-13,6.233406,6.22406,6.2514877,6.2339325,6.206581,6.220253,6.257286
2011-05-15,6.228157,6.2210846,6.2228775,6.2460785,6.213066,6.242508,6.22126
2011-05-16,6.2280273,6.2528915,6.2723618,6.239624,6.2363205,6.2204437,6.2265854
2011-05-17,6.2280273,6.2149963,6.2566223,6.2354965,6.244423,6.2424393,6.206497
2011-05-18,6.236847,6.236061,6.229439,6.232338,6.227669,6.2204437,6.232704
2011-05-19,6.231941,6.229637,6.274872,6.228531,6.202217,6.237221,6.239418
2011-05-20,6.236847,6.2190857,6.2244644,6.2416916,6.2331085,6.244911,6.2456055
2011-05-22,6.2316895,6.2388153,6.2316437,6.23217,6.246773,6.240906,6.2534256
2011-05-23,6.237297,6.2329636,6.227829,6.2438507,6.242363,6.2362366,6.2512894
2011-05-24,6.2315598,6.2386627,6.242897,6.2372513,6.237335,6.2411423,6.242378
2011-05-25,6.2374954,6.2541275,6.2307053,6.2532425,6.2470245,6.236923,6.2286987
2011-05-26,6.238365,6.2438965,6.2509766,6.236923,6.2316666,6.231224,6.2428207
2011-05-27,6.229927,6.2429123,6.23011,6.228859,6.247345,6.246582,6.217575
2011-05-29,6.247093,6.232094,6.244316,6.2584534,6.2316666,6.233017,6.237129
2011-05-30,6.2256546,6.2476425,6.23011,6.246048,6.2143784,6.2281876,6.227936
2011-05-31,6.2466965,6.2318344,6.2445755,6.23114,6.213722,6.240959,6.224373
2011-06-01,6.2253647,6.2480316,6.237892,6.242798,6.2295456,6.2267685,6.240082
2011-06-02,6.2452087,6.2353287,6.2354584,6.226906,6.225479,6.224205,6.2268906
2011-06-03,6.195122,6.2277756,6.235718,6.2282104,6.2431335,6.2172394,6.218483
2011-06-05,6.224762,6.220085,6.2300262,6.217064,6.2257004,6.244835,6.2187576
2011-06-06,6.2300262,6.247551,6.235626,6.229538,6.215561,6.213051,6.22007
2011-06-07,6.2329407,6.2200165,6.22493,6.2144775,6.2283554,6.238388,6.2488174
2011-06-08,6.21167,6.2251053,6.221634,6.2280045,6.2421417,6.2690964,6.262581
2011-06-09,6.2324142,6.217224,6.2293167,6.231415,6.235016,6.2590866,6.2604446
2011-06-10,6.23954,6.201767,6.220566,6.2456055,6.2575455,6.262123,6.2757645
2011-06-12,6.2160416,6.2297363,6.2217407,6.286049,6.2508545,6.2518387,6.284569
2011-06-13,6.22641,6.2626038,6.254616,6.238373,6.250862,6.280754,6.2995987
2011-06-14,6.2319565,6.244896,6.259964,6.289688,6.2791595,6.2809067,6.289963
2011-06-15,6.23468,6.263214,6.264366,6.2648544,6.286194,6.272072,6.2973633
2011-06-16,6.2581635,6.2790375,6.270111,6.262924,6.297737,6.286278,6.2887726
2011-06-17,6.220993,6.2701797,6.288162,6.301697,6.299095,6.3171005,6.3186417
