,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR
2011-03-30,1250.2076,1250.9033,1252.1294,1248.1475,1248.1921,1248.4583,1248.1311
2011-03-31,1269.3606,1270.0271,1271.2256,1267.2179,1265.9526,1267.4032,1267.2343
2011-04-01,1288.4861,1289.1251,1290.2986,1284.9796,1284.8994,1286.5079,1286.3135
2011-04-03,1307.5852,1308.1991,1308.0618,1303.9272,1304.0049,1305.5881,1305.3699
2011-04-04,1326.6605,1325.9644,1327.0105,1323.034,1323.0862,1324.6459,1324.4056
2011-04-05,1344.4265,1344.9141,1346.1188,1342.1163,1342.145,1343.6825,1342.1372
2011-04-06,1363.3772,1364.0234,1365.2021,1361.1759,1361.1825,1361.4144,1361.0544
2011-04-07,1382.488,1383.1084,1384.2634,1380.2147,1378.9156,1380.3331,1380.1333
2011-04-08,1401.5745,1402.1711,1403.3042,1397.9491,1397.8352,1399.4135,1399.1903
2011-04-10,1420.6378,1421.2125,1421.0396,1416.8689,1416.916,1418.471,1418.2263
2011-04-11,1439.6799,1438.949,1439.9601,1435.9503,1435.9742,1437.5077,1437.243
2011-04-12,1457.417,1457.8705,1459.0425,1455.0095,1455.0116,1456.5251,1454.9583
2011-04-13,1476.3392,1476.9534,1478.1019,1474.0471,1474.0295,1474.2406,1473.8588
2011-04-14,1495.4231,1496.0142,1497.141,1493.0663,1491.7461,1493.1426,1492.9224
2011-04-15,1514.485,1515.0543,1516.1614,1510.7836,1510.6489,1512.2072,1511.9655
2011-04-17,1533.5253,1534.0751,1533.8789,1529.6868,1529.7137,1531.2504,1530.9884
2011-04-18,1552.5464,1551.793,1552.7826,1548.7521,1548.7573,1550.2736,1548.7085
2011-04-19,1570.2648,1570.6971,1571.8485,1567.7959,1567.7811,1567.9943,1565.0219
2011-04-20,1589.169,1589.7633,1590.8927,1586.82,1585.502,1584.3079,1582.6162
2011-04-21,1608.2358,1608.8085,1609.9178,1604.5416,1601.8162,1601.9031,1600.4645
2011-04-24,1627.2815,1627.8348,1627.6404,1620.8563,1619.412,1619.7518,1618.3748
2011-04-25,1646.3081,1645.557,1643.9551,1638.4521,1637.2606,1637.6617,1636.3424
2011-04-26,1664.0306,1661.872,1661.5515,1656.301,1655.1708,1655.63,1653.0344
