,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD
2011-04-03,2.1745894,2.174629,2.1785223,2.180239,2.1812487,2.1620393,2.1664531
2011-04-04,2.185752,2.1686532,2.1718426,2.174681,2.1790812,2.1681373,2.1702752
2011-04-05,2.1637278,2.1782575,2.1864595,2.1713872,2.1840649,2.1722317,2.180799
2011-04-06,2.1743891,2.1660192,2.172075,2.1593912,2.1678915,2.161161,2.1709454
2011-04-07,2.1729436,2.1774743,2.1709824,2.1772928,2.1673493,2.167966,2.167065
2011-04-08,2.1796737,2.1621954,2.1668327,2.164381,2.1643634,2.1636446,2.161561
2011-04-10,2.167645,2.1709487,2.1653004,2.1594508,2.1575425,2.153333,2.1521823
2011-04-11,2.1562989,2.1701868,2.1828647,2.1750565,2.1605873,2.1583018,2.1417284
2011-04-12,2.171262,2.1711228,2.1747253,2.1673183,2.1484845,2.143122,2.1335151
2011-04-13,2.1748934,2.1696463,2.1674964,2.159541,2.1537123,2.1242228,2.121526
2011-04-14,2.17386,2.1715117,2.1610224,2.1425679,2.1256902,2.1256065,2.1256828
2011-04-15,2.1543868,2.153926,2.1438167,2.1248808,2.1275077,2.1075573,2.110438
2011-04-17,2.1482425,2.1362758,2.12287,2.1276762,2.1086776,2.1101165,2.104692
2011-04-18,2.1404812,2.138844,2.1292484,2.1238708,2.1160607,2.1152785,2.1132104
2011-04-19,2.1370797,2.1372,2.1329467,2.1185336,2.1269786,2.1285484,2.120905
2011-04-20,2.1308212,2.1394315,2.147488,2.096078,2.104768,2.109018,2.1036103
2011-04-21,2.117361,2.1530678,2.1285195,2.0962787,2.1174748,2.1078582,2.119964
2011-04-24,2.1146486,2.1029599,2.095575,2.0885925,2.1078615,2.0859294,2.1140296
2011-04-25,2.1130767,2.110735,2.1064456,2.1216807,2.094494,2.1147726,2.0934436
2011-04-26,2.1060278,2.107664,2.1005619,2.1058388,2.095189,2.0883455,2.0995286
2011-04-27,2.103431,2.109349,2.1084354,2.0910847,2.0954225,2.090997,2.0913134
2011-04-28,2.0791516,2.1025786,2.094622,2.0894823,2.0923836,2.0766978,2.0868309
2011-04-29,2.095562,2.097863,2.093471,2.0906167,2.094715,2.0913107,2.0822384
2011-05-01,2.1009626,2.0934854,2.0927532,2.0774498,2.0881104,2.089992,2.0959187
2011-05-02,2.101157,2.070555,2.0631218,2.0847673,2.0608292,2.076711,2.062298
2011-05-03,2.0957482,2.0904121,2.0902197,2.08585,2.0811355,2.089355,2.0794778
2011-05-04,2.0920243,2.086184,2.085905,2.0865548,2.0831573,2.075572,2.076887
2011-05-05,2.0893116,2.0958178,2.0884695,2.0765295,2.1060147,2.0806694,2.0376818
2011-05-06,2.081902,2.0888813,2.083925,2.0690038,2.0772502,2.0777931,2.0611577
2011-05-08,2.0763521,2.081319,2.0779214,2.0573344,2.0603514,2.0722919,2.0805535
2011-05-09,2.0810335,2.0803018,2.0835805,2.0813863,2.0869772,2.079511,2.0889852
2011-05-10,2.051268,2.0592022,2.0729408,2.0746524,2.060547,2.0682113,2.0497453
