,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR
2011-04-01,894.1211,880.5311,872.9615,914.7112,915.702,921.697,921.85034
2011-04-03,908.0597,894.4426,885.9081,928.54956,929.6551,935.63544,935.7728
2011-04-04,921.98285,907.39325,899.7252,942.5028,943.591,949.5586,949.68286
2011-04-05,934.9416,921.21497,913.6594,956.43866,957.5114,963.4684,962.6295
2011-04-06,948.7681,935.1562,927.57855,970.35956,971.41956,976.4155,976.44763
2011-04-07,962.7174,949.0823,941.48486,984.2675,984.36426,990.23376,990.3822
2011-04-08,976.64734,962.99194,955.36865,997.2129,998.1801,1004.16907,1004.3019
2011-04-10,990.5617,976.884,968.29846,1011.02893,1012.11334,1018.0888,1018.20886
2011-04-11,1004.46313,989.8174,982.09937,1024.962,1026.0315,1031.9961,1032.093
2011-04-12,1017.40265,1003.6209,996.02264,1038.8802,1039.937,1045.8807,1045.0228
2011-04-13,1031.2128,1017.5491,1009.9326,1052.786,1053.8203,1058.8105,1058.8237
2011-04-14,1045.1426,1031.4589,1023.8203,1066.6692,1066.7499,1072.6116,1072.7477
2011-04-15,1059.0564,1045.3541,1037.6879,1079.5988,1080.5505,1086.5358,1086.6575
2011-04-17,1072.9574,1059.2267,1050.6099,1093.3995,1094.4731,1100.4456,1100.5455
2011-04-18,1086.8376,1072.1522,1064.4034,1107.3219,1108.3832,1114.3342,1113.4773
2011-04-19,1099.7655,1085.9484,1078.316,1121.2319,1122.27,1127.2661,1125.3822
2011-04-20,1113.5653,1099.8641,1092.2162,1135.1188,1135.2015,1139.171,1138.2277
2011-04-21,1127.485,1113.7672,1106.0958,1148.0504,1147.1062,1152.0167,1151.2563
2011-04-24,1141.3922,1127.649,1119.0232,1159.9551,1159.9515,1165.0458,1164.3281
2011-04-25,1155.2766,1140.5769,1130.9232,1172.8003,1172.9799,1178.1176,1177.4407
2011-04-26,1168.2063,1152.4784,1143.7631,1185.829,1186.0513,1191.2302,1189.6218
2011-04-27,1180.11,1165.3203,1156.7872,1198.9,1199.1635,1203.4116,1201.762
2011-04-28,1192.9534,1178.3455,1169.8542,1212.0123,1211.345,1215.5518,1214.986
2011-04-29,1205.9802,1191.4141,1182.962,1224.194,1223.4846,1228.7759,1228.3733
2011-05-01,1219.0505,1204.523,1195.141,1236.3334,1236.7083,1242.1632,1241.7811
2011-05-02,1232.161,1216.7025,1207.277,1249.557,1250.0952,1255.5713,1255.2085
2011-05-03,1244.3418,1228.8397,1220.4952,1262.9443,1263.503,1268.9983,1267.6661
2011-05-04,1256.4806,1242.0599,1233.8794,1276.3518,1276.93,1281.4559,1280.0659
2011-05-05,1269.7026,1255.4448,1247.284,1289.7789,1289.3873,1293.8558,1293.5503
2011-05-06,1283.0885,1268.8503,1260.7078,1302.2363,1301.7864,1307.3401,1307.1843
2011-05-08,1296.4954,1282.2753,1273.1637,1314.6357,1315.2703,1320.9745,1320.8201
2011-05-09,1309.9211,1294.7317,1285.5605,1328.1237,1328.9045,1334.6101,1334.4685
2011-05-10,1322.3778,1307.1293,1299.0461,1341.7579,1342.5398,1348.2587,1347.1124
2011-05-11,1334.7764,1320.6157,1312.6815,1355.3937,1356.1875,1360.9025,1359.6858
2011-05-12,1348.2639,1334.2511,1326.317,1369.0413,1368.8313,1373.4757,1373.3461
2011-05-13,1361.8994,1347.8867,1339.9556,1381.685,1381.4047,1387.1366,1387.1454
2011-05-15,1375.5349,1361.5283,1352.5966,1394.2585,1395.0652,1400.9358,1400.9413
2011-05-16,1389.18,1374.1711,1365.1685,1407.9187,1408.8641,1414.7319,1414.7175
2011-05-17,1401.8236,1386.7434,1378.828,1421.718,1422.6599,1428.5083,1427.4863
2011-05-18,1414.396,1400.4033,1392.6256,1435.5139,1436.4359,1441.2773,1440.1763
2011-05-19,1428.0562,1414.2017,1406.4172,1449.2898,1449.2048,1453.9675,1453.9553
2011-05-20,1441.855,1427.9945,1420.1931,1462.0586,1461.8947,1467.7466,1467.8612
2011-05-22,1455.6497,1441.7704,1432.9594,1474.7484,1475.6738,1481.6523,1481.7543
2011-05-23,1469.4252,1454.5374,1445.648,1488.5276,1489.5793,1495.5457,1495.6373
2011-05-24,1482.1931,1467.2267,1459.4255,1502.433,1503.4724,1509.4285,1508.4834
2011-05-25,1494.8828,1481.0048,1473.3295,1516.326,1517.3553,1522.2745,1521.2463
2011-05-26,1508.6615,1494.9093,1487.2214,1530.2091,1530.201,1535.0375,1535.1002
2011-05-27,1522.5668,1508.8016,1501.104,1543.055,1542.9644,1548.8914,1549.0833
2011-05-29,1536.4595,1522.6842,1513.9493,1555.818,1556.8181,1562.8744,1563.0411
2011-05-30,1550.3425,1535.5299,1526.7117,1569.6718,1570.8011,1576.8324,1576.9805
2011-05-31,1563.1882,1548.2922,1540.5651,1583.6548,1584.7587,1590.7717,1589.8796
2011-06-01,1575.9512,1562.146,1554.5472,1597.6125,1598.6981,1603.671,1603.7252
2011-06-02,1589.8048,1576.1285,1568.5044,1611.5518,1611.5974,1617.5166,1618.7083
2011-06-03,1603.7877,1590.0859,1582.443,1624.4512,1625.4426,1632.4995,1633.7236
2011-06-05,1617.7454,1604.0245,1595.3423,1638.2965,1640.4257,1647.515,1648.6305
2011-06-06,1631.6846,1616.9238,1609.1866,1653.2793,1655.441,1662.4222,1663.4417
2011-06-07,1644.5834,1630.7688,1624.1694,1668.295,1670.3478,1677.2334,1677.1726
2011-06-08,1658.4287,1645.7515,1639.1846,1683.2015,1685.1587,1690.9642,1691.7616
2011-06-09,1673.4114,1660.7666,1654.091,1698.0128,1698.8896,1705.5532,1706.4122
2011-06-10,1688.4269,1675.6731,1668.902,1711.7435,1713.4788,1720.2036,1720.9878
2011-06-12,1703.3335,1690.4844,1682.6322,1726.3326,1728.1294,1734.7794,1735.4974
2011-06-13,1718.1444,1704.2147,1697.2213,1740.9829,1742.705,1749.2891,1749.9423
2011-06-14,1731.8755,1718.804,1711.8716,1755.5587,1757.2146,1763.7336,1763.3628
2011-06-15,1746.4644,1733.4543,1726.4473,1770.0686,1771.6592,1777.1544,1777.6426
2011-06-16,1761.115,1748.0298,1740.9563,1784.5131,1785.0801,1791.4341,1792.008
2011-06-17,1775.6906,1762.5391,1755.4009,1797.9338,1799.3597,1805.7997,1806.3248
2011-06-19,1790.2002,1776.9836,1768.8215,1812.2135,1813.7252,1820.1166,1820.5902
2011-06-20,1804.6448,1790.4043,1783.1011,1826.579,1828.0416,1834.382,1834.8156
2011-06-21,1818.0656,1804.684,1797.4666,1840.8956,1842.3071,1848.6069,1848.0446
2011-06-22,1832.3451,1819.0492,1811.783,1855.1611,1856.5323,1861.8359,1862.1375
2011-06-23,1846.7103,1833.3658,1826.0486,1869.3861,1869.7614,1875.929,1876.3281
2011-06-24,1861.0269,1847.6313,1840.2737,1882.6152,1883.8542,1890.1198,1890.4844
2011-06-26,1875.2924,1861.8566,1853.5024,1896.7079,1898.0452,1904.276,1904.6033
2011-06-27,1889.5173,1875.0853,1867.5951,1910.8987,1912.2012,1918.3947,1918.6895
2011-06-28,1902.7463,1889.1785,1881.7858,1925.055,1926.3202,1932.4812,1931.8004
2011-06-29,1916.8392,1903.3691,1895.9421,1939.1738,1940.4064,1945.592,1945.7709
2011-06-30,1931.0302,1917.5254,1910.061,1953.2603,1953.5173,1959.5626,1959.8512
2011-07-01,1945.1863,1931.644,1924.1475,1966.3708,1967.4878,1973.6428,1973.9064
2011-07-03,1959.3052,1945.7303,1937.258,1980.3416,1981.5681,1987.6978,1987.9342
2011-07-04,1973.3914,1958.8416,1951.2286,1994.4219,1995.6232,2001.7256,2001.9391
2011-07-05,1986.5023,1972.812,1965.3091,2008.4772,2009.651,2015.7306,2014.9758
