,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD
2011-03-28,1343.4084,1342.876,1343.1964,1343.4926,1343.2448,1342.9174,1342.7222
2011-03-29,1357.2045,1356.6704,1356.9849,1357.2749,1357.0214,1356.6932,1356.4979
2011-03-30,1370.9857,1370.4463,1370.7605,1371.0508,1370.7972,1370.469,1370.274
2011-03-31,1384.7616,1384.2224,1384.5365,1384.8265,1384.5731,1384.245,1384.0497
2011-04-01,1398.5374,1397.9983,1398.3123,1398.6023,1398.3436,1398.0098,1397.8098
2011-04-03,1412.3126,1411.7667,1412.0745,1412.3586,1412.0996,1411.7657,1411.5656
2011-04-04,1426.0687,1425.5227,1425.8303,1426.1144,1425.8555,1425.5214,1425.3214
2011-04-05,1439.8243,1439.2783,1439.5862,1439.8704,1439.6111,1439.2772,1439.0774
2011-04-06,1453.5802,1453.0343,1453.3422,1453.626,1453.3671,1453.033,1452.833
2011-04-07,1467.3359,1466.7902,1467.0977,1467.382,1467.1202,1466.7809,1466.5757
2011-04-08,1481.0917,1480.5413,1480.8428,1481.1211,1480.8561,1480.5166,1480.3116
2011-04-10,1494.8298,1494.2773,1494.5787,1494.8567,1494.5918,1494.2524,1494.0472
2011-04-11,1508.5654,1508.013,1508.3146,1508.5927,1508.3275,1507.9883,1507.7831
2011-04-12,1522.3013,1521.7488,1522.0503,1522.3282,1522.0631,1521.7239,1521.5188
2011-04-13,1536.0371,1535.4845,1535.7861,1536.0642,1535.7992,1535.4597,1535.2545
2011-04-14,1549.7728,1549.2202,1549.5216,1549.7999,1549.5349,1549.1956,1548.9902
2011-04-15,1563.5088,1562.956,1563.2574,1563.5356,1563.2705,1562.9313,1562.7261
2011-04-17,1577.2443,1576.6919,1576.9934,1577.2714,1577.0062,1576.667,1576.4581
2011-04-18,1590.9801,1590.4275,1590.7278,1590.9999,1590.7289,1590.384,1590.1738
2011-04-19,1604.7076,1604.1483,1604.4436,1604.7156,1604.4448,1604.0999,1603.8895
2011-04-20,1618.4235,1617.864,1618.1592,1618.4312,1618.1604,1617.8156,1617.6052
2011-04-21,1632.139,1631.5798,1631.8748,1632.1469,1631.8761,1631.5312,1631.321
2011-04-24,1645.8547,1645.2954,1645.5906,1645.8627,1645.5919,1645.2471,1645.0367
2011-04-25,1659.5706,1659.0111,1659.3064,1659.5785,1659.3075,1658.9626,1658.7524
2011-04-26,1673.286,1672.7269,1673.022,1673.2942,1673.0233,1672.6785,1672.468
2011-04-27,1687.002,1686.4425,1686.7375,1687.0096,1686.7389,1686.394,1686.1838
2011-04-28,1700.7175,1700.1583,1700.4534,1700.7256,1700.4547,1700.11,1699.8995
2011-04-29,1714.4335,1713.874,1714.1692,1714.4412,1714.1705,1713.8256,1713.6152
2011-05-01,1728.149,1727.5898,1727.885,1728.1569,1727.8862,1727.5411,1727.3309
2011-05-02,1741.8647,1741.3053,1741.6006,1741.8728,1741.6018,1741.257,1741.0466
2011-05-03,1755.5806,1755.0211,1755.3164,1755.5884,1755.3176,1754.9727,1754.7625
2011-05-04,1769.2961,1768.7368,1769.032,1769.3042,1769.0333,1768.6884,1768.478
2011-05-05,1783.012,1782.4525,1782.7478,1783.0198,1782.749,1782.404,1782.1937
2011-05-06,1796.7275,1796.1683,1796.4636,1796.7356,1796.4647,1796.1199,1795.9095
2011-05-08,1810.4434,1809.884,1810.1792,1810.4513,1810.1805,1809.8356,1809.6254
2011-05-09,1824.159,1823.5997,1823.8948,1824.1669,1823.896,1823.5511,1823.341
2011-05-10,1837.8749,1837.3154,1837.6106,1837.8827,1837.6119,1837.267,1837.0566
2011-05-11,1851.5905,1851.0312,1851.3262,1851.5983,1851.3276,1850.9827,1850.7725
2011-05-12,1865.3062,1864.7468,1865.042,1865.3142,1865.0432,1864.6982,1864.488
2011-05-13,1879.022,1878.4625,1878.7578,1879.0298,1878.759,1878.4142,1878.2039
2011-05-15,1892.7375,1892.1783,1892.4736,1892.7457,1892.4747,1892.1299,1891.9194
2011-05-16,1906.4532,1905.894,1906.189,1906.4613,1906.1906,1905.8455,1905.6351
2011-05-17,1920.1692,1919.6096,1919.9048,1920.1769,1919.9061,1919.5612,1919.351
2011-05-18,1933.8848,1933.3253,1933.6206,1933.8927,1933.6217,1933.2771,1933.0667
2011-05-19,1947.6005,1947.0411,1947.3362,1947.6083,1947.3376,1946.9924,1946.7819
2011-05-20,1961.3162,1960.7568,1961.0516,1961.3234,1961.0522,1960.7068,1960.4962
2011-05-22,1975.031,1974.4713,1974.7661,1975.0363,1974.7595,1974.4089,1974.194
2011-05-23,1988.7429,1988.1771,1988.4656,1988.7318,1988.4553,1988.1047,1987.8895
2011-05-24,2002.4385,2001.8727,2002.1614,2002.4274,2002.1509,2001.8005,2001.5852
2011-05-25,2016.134,2015.5685,2015.857,2016.1232,2015.8467,2015.4961,2015.2809
2011-05-26,2029.8298,2029.2639,2029.5527,2029.8187,2029.5422,2029.1917,2028.9763
2011-05-27,2043.5251,2042.9596,2043.2485,2043.5144,2043.2379,2042.8873,2042.6722
2011-05-29,2057.2212,2056.6553,2056.944,2057.2102,2056.9333,2056.583,2056.368
2011-05-30,2070.9167,2070.351,2070.6396,2070.9058,2070.6292,2070.2786,2070.0635
2011-05-31,2084.6125,2084.0469,2084.3354,2084.6013,2084.325,2083.9746,2083.7593
2011-06-01,2098.308,2097.7424,2098.031,2098.297,2098.0205,2097.67,2097.4548
2011-06-02,2112.0042,2111.438,2111.7268,2111.993,2111.7163,2111.3657,2111.1506
2011-06-03,2125.6992,2125.1338,2125.4224,2125.6885,2125.4119,2125.0613,2124.8462
2011-06-05,2139.3953,2138.8296,2139.118,2139.384,2139.1074,2138.757,2138.542
2011-06-06,2153.0908,2152.5251,2152.8137,2153.08,2152.8032,2152.4526,2152.2375
2011-06-07,2166.7864,2166.2207,2166.5093,2166.7754,2166.499,2166.1484,2165.9333
