,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY
2011-04-01,132.41353,132.4532,132.43869,132.4591,132.42017,132.43199,132.42853
2011-04-03,132.39029,132.43997,132.44168,132.4659,132.46707,132.43294,132.43393
2011-04-04,132.40788,132.44308,132.426,132.43333,132.44366,132.4334,132.82469
2011-04-05,132.46202,132.44925,132.4522,132.42616,132.44586,132.78273,133.21413
2011-04-06,132.48755,132.43744,132.45325,132.46083,132.78644,133.20825,133.35698
2011-04-07,132.46822,132.42023,132.43417,132.7839,133.1807,133.38638,133.40044
2011-04-08,132.4089,132.42503,132.80817,133.2426,133.38455,133.42014,133.43663
2011-04-10,132.38104,132.79207,133.22382,133.35793,133.37369,133.40904,133.37039
2011-04-11,132.77324,133.21364,133.352,133.41617,133.42213,133.44397,133.42232
2011-04-12,133.19183,133.35922,133.40268,133.41875,133.44467,133.43771,133.45801
2011-04-13,133.3808,133.37347,133.39386,133.44456,133.40547,133.38841,133.39513
2011-04-14,133.3941,133.43834,133.40755,133.40088,133.39688,133.39438,133.45952
2011-04-15,133.3842,133.4179,133.44965,133.40182,133.43839,133.46358,133.44142
2011-04-17,133.43327,133.4324,133.4349,133.40144,133.45601,133.4552,133.45247
2011-04-18,133.3877,133.41754,133.39854,133.44078,133.4495,133.47237,134.4117
2011-04-19,133.4008,133.4329,133.467,133.48079,133.4242,134.39796,134.5345
2011-04-20,133.42924,133.4887,133.44757,133.46178,134.36832,134.5934,134.5853
2011-04-21,133.50143,133.46564,133.46002,134.37993,134.5609,134.60013,134.80025
2011-04-24,133.4091,133.47093,134.396,134.56898,134.59868,134.78078,135.14513
2011-04-25,133.48174,134.37796,134.57542,134.57591,134.77791,135.15169,135.24919
2011-04-26,134.43048,134.57742,134.58987,134.80356,135.15009,135.23302,135.33818
2011-04-27,134.60559,134.54071,134.8589,135.15648,135.20142,135.34587,135.37952
2011-04-28,134.58911,134.77988,135.16405,135.27147,135.3294,135.45616,135.36598
2011-04-29,134.8008,135.14731,135.30818,135.29709,135.45993,135.44406,135.45935
2011-05-01,135.15927,135.31282,135.26895,135.4085,135.4208,135.40767,135.43755
2011-05-02,135.18985,135.28964,135.4084,135.3697,135.4192,135.39961,135.35051
2011-05-03,135.27353,135.4103,135.44919,135.36055,135.44048,135.424,135.39598
2011-05-04,135.41249,135.40416,135.36674,135.4461,135.42815,135.42653,135.44322
2011-05-05,135.38931,135.45972,135.3644,135.42497,135.41849,135.40779,135.40198
2011-05-06,135.43237,135.41245,135.4075,135.42723,135.44037,135.44324,135.38698
2011-05-08,135.44447,135.40611,135.44742,135.42714,135.4282,135.37276,135.39497
2011-05-09,135.41109,135.46213,135.3662,135.42705,135.41792,135.42665,135.40451
2011-05-10,135.38762,135.41855,135.35954,135.42694,135.44116,135.41696,135.44235
2011-05-11,135.43256,135.4419,135.4127,135.42686,135.42824,135.42729,135.41295
2011-05-12,135.43555,135.42813,135.4527,135.42677,135.41737,135.43698,135.30713
2011-05-13,135.40706,135.42067,135.37256,135.42665,135.44188,135.28651,135.19582
2011-05-15,135.35693,135.44164,135.36592,135.42654,135.34032,135.29138,135.16148
2011-05-16,135.42401,135.4288,135.41833,135.3813,135.34108,135.16537,134.54697
2011-05-17,135.41112,135.4181,135.39546,135.2335,135.16025,134.5685,134.54932
2011-05-18,135.40762,135.3799,135.31079,135.21341,134.58241,134.4602,134.35425
2011-05-19,135.30907,135.23189,135.1522,134.54733,134.54321,134.40028,133.60614
2011-05-20,135.28287,135.137,134.60614,134.58043,134.38696,133.59776,133.33542
2011-05-22,135.14925,134.56062,134.58456,134.3957,133.56453,133.28894,133.20091
2011-05-23,134.55322,134.54916,134.37753,133.63046,133.2719,133.20139,133.20673
2011-05-24,134.53143,134.34909,133.57834,133.32681,133.18712,133.06837,133.19217
2011-05-25,134.40517,133.5632,133.3121,133.22655,133.16727,133.19272,133.17682
2011-05-26,133.6888,133.28145,133.25012,133.1355,133.18987,133.18958,133.19437
2011-05-27,133.26512,133.20183,133.2118,133.21051,133.17395,133.18375,133.11743
2011-05-29,133.27748,133.17752,133.19633,133.17503,133.19453,133.1457,132.85225
2011-05-30,133.1972,133.19194,133.16748,133.19492,133.16295,132.90094,132.75836
2011-05-31,133.20648,133.20691,133.19435,133.16377,132.831,132.739,132.63426
2011-06-01,133.16049,133.18666,133.15881,132.83229,132.72888,132.6597,132.59354
2011-06-02,133.19797,133.16763,132.81183,132.72678,132.65495,132.59158,132.38152
2011-06-03,133.16978,132.79774,132.73552,132.58156,132.51881,132.34134,132.35188
2011-06-05,132.91003,132.71947,132.67885,132.53548,132.38745,132.35426,132.21642
2011-06-06,132.7299,132.64372,132.52698,132.47328,132.3443,132.19125,132.21031
2011-06-07,132.61198,132.52664,132.41203,132.40382,132.22112,132.16196,132.08131
2011-06-08,132.60318,132.39244,132.27768,132.23433,132.21027,132.17198,131.96265
2011-06-09,132.38524,132.35233,132.22456,132.18954,132.07478,132.01834,131.89084
2011-06-10,132.3338,132.24643,132.19397,132.09595,132.08893,131.93146,131.90123
2011-06-12,132.26447,132.22021,132.09016,132.10597,131.99358,131.91502,131.852
2011-06-13,132.20778,132.0784,132.02266,131.9383,131.9613,131.92365,131.8553
2011-06-14,132.00786,132.03397,131.93843,131.95189,131.87624,131.90208,131.82613
2011-06-15,132.00299,131.9464,132.04121,131.87567,131.89642,131.83774,131.78983
2011-06-16,131.94232,131.94914,131.91351,131.92981,131.80495,131.75302,131.74767
2011-06-17,131.97804,131.86786,131.90987,131.81537,131.77223,131.77429,131.67155
2011-06-19,131.89656,131.87898,131.81186,131.80428,131.7508,131.67125,131.61967
2011-06-20,131.93234,131.80154,131.81056,131.77219,131.66759,131.6151,131.62994
2011-06-21,131.8351,131.76462,131.75925,131.64287,131.60019,131.624,131.62439
2011-06-22,131.77519,131.78853,131.66316,131.62834,131.6204,131.64178,131.61406
2011-06-23,131.75432,131.6555,131.63661,131.62337,131.61871,131.62537,131.61981
2011-06-24,131.68198,131.68895,131.60092,131.61543,131.61794,131.61856,131.39323
2011-06-26,131.66872,131.54501,131.61711,131.60983,131.61554,131.34827,131.31325
2011-06-27,131.62527,131.61243,131.62833,131.63396,131.35422,131.27795,131.19739
2011-06-28,131.59343,131.63329,131.58546,131.35149,131.29697,131.15877,131.02255
2011-06-29,131.61485,131.6142,131.36601,131.21068,131.21956,131.10219,130.95593
2011-06-30,131.64217,131.37755,131.35445,131.19997,131.01944,130.99303,130.55844
2011-07-01,131.39595,131.29605,131.21103,130.96777,130.9706,130.53488,130.42647
2011-07-03,131.27159,131.20053,131.05649,131.0129,130.55086,130.37714,130.20966
2011-07-04,131.16907,131.01614,130.94835,130.54149,130.38245,130.24655,130.19156
2011-07-05,131.10318,130.96123,130.57393,130.40567,130.29112,130.22087,130.09618
2011-07-06,130.987,130.52701,130.47275,130.23204,130.184,129.97394,129.88931
2011-07-07,130.57397,130.38644,130.24406,130.20059,130.00116,129.8671,129.87425
2011-07-08,130.39398,130.2504,130.24548,129.99197,129.92569,129.84341,129.8092
2011-07-10,130.24615,130.22452,130.04224,129.9091,129.84187,129.77867,129.77173
2011-07-11,130.20888,130.04321,129.87946,129.86604,129.80243,129.73145,129.69507
2011-07-12,130.06935,129.87823,129.90126,129.77777,129.7066,129.6406,129.61337
2011-07-13,129.92963,129.81029,129.81044,129.71155,129.65366,129.58542,129.61148
2011-07-14,129.80869,129.77971,129.72174,129.65826,129.65019,129.60452,129.60327
2011-07-15,129.8109,129.70195,129.6725,129.5893,129.58932,129.61847,129.54385
2011-07-17,129.7452,129.67622,129.63872,129.60814,129.50836,129.44917,129.46375
2011-07-18,129.65024,129.65755,129.5582,129.53314,129.51141,129.48303,129.34653
2011-07-19,129.62003,129.60623,129.48465,129.50949,129.46631,129.31854,129.28558
2011-07-20,129.51918,129.5628,129.48595,129.42366,129.33401,129.28783,129.2677
2011-07-21,129.56787,129.47525,129.48541,129.29065,129.33084,129.23567,129.21234
2011-07-22,129.47366,129.45909,129.36351,129.30434,129.30923,129.15512,129.01787
2011-07-24,129.46236,129.32845,129.31067,129.25569,129.21193,129.01996,128.89548
2011-07-25,129.32741,129.2218,129.25168,129.20326,129.03496,128.85075,128.53008
2011-07-26,129.2163,129.2791,129.22906,129.02797,128.81133,128.55608,128.47768
2011-07-27,129.31195,129.16942,129.06001,128.83232,128.51294,128.48772,128.1635
2011-07-28,129.2021,129.0201,128.84702,128.55466,128.44493,128.11687,127.89218
2011-07-29,129.04976,128.87556,128.56,128.50594,128.12276,127.91129,127.78363
2011-07-31,128.92998,128.5284,128.47188,128.08412,127.89029,127.819435,127.89711
2011-08-01,128.55724,128.46501,128.1125,127.95146,127.80475,127.84037,127.80568
2011-08-02,128.47562,128.14824,127.91944,127.805244,127.783226,127.88235,127.90156
2011-08-03,128.11113,127.991844,127.852356,127.84216,127.8197,127.8397,127.88163
2011-08-04,127.974884,127.87403,127.8266,127.88922,127.869736,127.75815,127.78787
2011-08-05,127.8773,127.74705,127.92486,127.85168,127.81381,127.773674,127.59296
2011-08-07,127.82081,127.85455,127.82103,127.78891,127.75505,127.55667,127.569
2011-08-08,127.808716,127.852684,127.73142,127.771225,127.53227,127.507,127.45464
2011-08-09,127.86888,127.79629,127.70377,127.57432,127.49666,127.51641,127.39446
2011-08-10,127.860344,127.703026,127.57588,127.53839,127.48384,127.48335,127.43656
2011-08-11,127.59142,127.59917,127.564835,127.46847,127.4047,127.39305,127.38048
2011-08-12,127.57833,127.555115,127.500824,127.44975,127.37557,127.35069,127.29424
2011-08-14,127.55567,127.50724,127.43196,127.392494,127.3493,127.32066,127.25851
2011-08-15,127.468376,127.433525,127.433334,127.39677,127.306244,127.16225,127.05234
2011-08-16,127.42784,127.42974,127.37549,127.29407,127.22697,127.061035,127.02192
2011-08-17,127.40727,127.34438,127.24246,127.25246,127.03726,127.04035,127.019905
2011-08-18,127.33556,127.30763,127.23651,127.06506,127.04072,127.030655,126.86486
2011-08-19,127.300934,127.23059,127.04673,127.02733,126.94825,126.909584,126.89822
2011-08-21,127.18706,127.19096,127.06163,127.00185,126.82274,126.85182,126.55066
2011-08-22,127.0698,127.06681,126.90234,126.89142,126.86654,126.54318,126.536644
2011-08-23,127.03731,127.02277,126.87839,126.900734,126.55303,126.542206,126.50297
2011-08-24,127.015305,126.85089,126.88772,126.53864,126.51906,126.5322,126.520325
2011-08-25,126.84821,126.94566,126.54595,126.55856,126.537155,126.521034,126.47916
2011-08-26,126.82083,126.534325,126.559326,126.49829,126.48796,126.447044,126.32139
2011-08-28,126.536804,126.53614,126.52126,126.486885,126.47118,126.368835,126.33587
2011-08-29,126.52344,126.51528,126.51082,126.47571,126.40128,126.33811,126.26229
2011-08-30,126.512314,126.51471,126.46471,126.40816,126.368996,126.23308,126.24335
2011-08-31,126.51476,126.47254,126.311356,126.2551,126.27344,126.19415,126.14999
2011-09-01,126.47364,126.40436,126.30053,126.248886,126.25739,126.14538,126.07268
2011-09-02,126.3608,126.30304,126.24341,126.22939,126.08007,126.07307,126.02632
2011-09-04,126.21076,126.32631,126.22979,126.14142,126.03924,125.96926,125.913376
2011-09-05,126.23607,126.24179,126.14806,126.07166,125.8721,125.86927,125.75491
2011-09-06,126.227165,126.10372,125.99767,125.94605,125.897804,125.75878,125.70406
2011-09-07,126.14147,126.04856,125.92249,125.86853,125.77753,125.6504,125.52386
2011-09-08,126.05745,125.953835,125.874565,125.749435,125.7169,125.56242,125.39499
2011-09-09,125.92203,125.90621,125.74694,125.73545,125.54563,125.4423,125.29389
2011-09-11,125.886284,125.755165,125.68675,125.55106,125.47808,125.35691,125.183754
2011-09-12,125.75714,125.70253,125.54349,125.39992,125.3787,125.19146,125.20608
2011-09-13,125.73362,125.55545,125.454285,125.38656,125.18022,125.15465,124.74712
2011-09-14,125.51483,125.44573,125.39144,125.21773,125.16197,124.80732,124.72644
2011-09-15,125.45192,125.36536,125.23398,125.159874,124.716064,124.68573,124.55219
2011-09-16,125.37941,125.20192,125.20509,124.82072,124.70977,124.5485,124.38783
2011-09-18,125.242226,125.16255,124.75973,124.692955,124.52808,124.38663,124.40683
2011-09-19,125.159744,124.850006,124.73968,124.55487,124.40662,124.410164,124.41963
2011-09-20,124.71681,124.71102,124.57696,124.42324,124.37941,124.42808,124.221275
2011-09-21,124.74553,124.51383,124.42506,124.38926,124.41771,124.21633,123.875
2011-09-22,124.52301,124.358864,124.39418,124.4275,124.26274,123.83331,123.80849
2011-09-23,124.44211,124.40675,124.40088,124.21121,123.90711,123.795586,123.67706
2011-09-25,124.41757,124.413994,124.20987,123.86036,123.824974,123.6757,123.53535
2011-09-26,124.36476,124.16343,123.8906,123.6974,123.71791,123.56286,123.44902
2011-09-27,124.206985,123.84593,123.76398,123.6701,123.58034,123.46894,122.85166
2011-09-28,123.93323,123.754906,123.64554,123.47654,123.41028,122.753914,122.141495
2011-09-29,123.79485,123.63523,123.46783,123.494484,122.838844,122.07045,121.59262
2011-09-30,123.68973,123.498695,123.43774,122.82544,122.145256,121.570366,121.28661
2011-10-02,123.48816,123.43758,122.79511,122.04251,121.56644,121.2923,121.13626
2011-10-03,123.43103,122.8075,122.12776,121.60824,121.25651,121.15833,120.96196
2011-10-04,122.76716,122.08104,121.55727,121.31394,121.15419,120.96575,120.85911
2011-10-05,122.09902,121.53948,121.27112,121.136154,120.998085,120.82893,120.237144
2011-10-06,121.59172,121.24467,121.13407,120.933975,120.855606,120.253456,120.07468
2011-10-07,121.2962,121.16942,120.98091,120.877594,120.24702,120.184135,120.20644
2011-10-09,121.13054,120.98351,120.9301,120.19923,120.1113,120.153015,120.10265
2011-10-10,120.98712,120.90586,120.242905,120.131935,120.15349,120.13292,120.12302
2011-10-11,120.7857,120.23557,120.17621,120.15733,120.14903,120.17404,120.1922
2011-10-12,120.24865,120.20611,120.1126,120.131714,120.10702,120.18263,120.065735
2011-10-13,120.14046,120.09895,120.14608,120.19051,120.1565,120.1561,120.21002
2011-10-14,120.106094,120.04935,120.134384,120.124664,120.152054,120.12171,120.100945
2011-10-16,120.14842,120.10155,120.10493,120.13186,120.112175,120.18939,120.127235
2011-10-17,120.14148,120.138885,120.16896,120.19489,120.16193,120.10735,120.20209
2011-10-18,120.135,120.20359,120.14717,120.15334,120.15823,120.18798,120.071686
2011-10-19,120.173645,120.17405,120.15743,120.13169,120.11547,120.09888,120.21972
2011-10-20,120.161606,120.11028,120.16736,120.16114,120.16557,120.11823,120.10723
2011-10-21,120.17073,120.14222,120.08797,120.09963,120.1616,120.10889,120.132835
2011-10-23,120.14486,120.21048,120.184525,120.1815,120.119,120.073006,120.21035
2011-10-24,120.13207,120.17929,120.11789,120.16265,120.16956,120.1579,120.07489
2011-10-25,120.1333,120.11339,120.15321,120.107315,120.165886,120.15845,120.227875
2011-10-26,120.127144,120.14589,120.12867,120.204216,120.1205,120.14401,120.111115
2011-10-27,120.1106,120.142395,120.14974,120.16339,120.17238,120.15592,120.13736
2011-10-28,120.15843,120.14175,120.14312,120.14657,120.16908,120.16839,120.71168
2011-10-30,120.16263,120.14797,120.08954,120.13419,120.124115,120.67569,120.958015
2011-10-31,120.138115,120.14368,120.1465,120.12433,120.70861,121.00228,120.95322
2011-11-01,120.10336,120.15888,120.08762,120.678474,120.940575,121.08215,121.08979
2011-11-02,120.16217,120.170876,120.694984,120.89812,121.10167,121.06248,121.12423
2011-11-03,120.16797,120.72164,121.01388,121.11668,121.10371,121.097984,121.316185
2011-11-04,120.69298,120.93725,120.99076,121.195854,121.15436,121.336136,121.37556
2011-11-06,120.95233,120.951645,121.16359,121.11385,121.30014,121.48754,121.43567
2011-11-07,121.023315,121.07348,121.1028,121.328026,121.40396,121.47539,121.56383
2011-11-08,121.08983,121.13058,121.32539,121.45112,121.46392,121.56404,121.656044
2011-11-09,121.12409,121.30266,121.39062,121.509,121.570564,121.57811,121.69079
2011-11-10,121.29939,121.40274,121.466896,121.55286,121.66668,121.727394,121.737686
2011-11-11,121.47009,121.495056,121.55827,121.60931,121.66514,121.72656,121.749115
2011-11-13,121.51484,121.58491,121.62818,121.65265,121.73793,121.69098,121.70665
2011-11-14,121.582016,121.59538,121.65212,121.64784,121.718346,121.731316,121.710556
2011-11-15,121.620766,121.68112,121.696815,121.69038,121.68058,121.727615,121.676674
2011-11-16,121.667145,121.67007,121.72045,121.690094,121.70456,121.69007,121.676865
