,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD
2011-04-01,1.578186,1.5817261,1.5801849,1.5789261,1.578598,1.5850983,1.5774612
2011-04-03,1.5716858,1.5930328,1.5825119,1.5690994,1.5822906,1.5770798,1.5787888
2011-04-04,1.5874863,1.5781784,1.5705338,1.5851822,1.5728836,1.574707,1.5842285
2011-04-05,1.5781784,1.5916595,1.5725403,1.5806122,1.5748596,1.5672684,1.5763702
2011-04-06,1.570694,1.5841293,1.5589142,1.5723572,1.5637512,1.5699158,1.5630188
2011-04-07,1.5785522,1.5676346,1.5871735,1.5642319,1.5608063,1.5629883,1.5837479
2011-04-08,1.5782928,1.5716553,1.5729523,1.5620422,1.5520248,1.5625153,1.5642014
2011-04-10,1.5715942,1.5914993,1.5729446,1.5775375,1.582489,1.5686569,1.562439
2011-04-11,1.5777206,1.5711212,1.5782089,1.5946426,1.5632553,1.5552292,1.5759964
2011-04-12,1.5746765,1.5587311,1.5860748,1.5658188,1.5748062,1.5864868,1.5920715
2011-04-13,1.556427,1.564415,1.5782166,1.5774765,1.5861816,1.5673447,1.5787506
2011-04-14,1.5633698,1.6005325,1.5835114,1.5813446,1.5927353,1.5834732,1.6079254
2011-04-15,1.5734329,1.5617142,1.5729065,1.5916824,1.5774002,1.6227264,1.5931854
2011-04-17,1.5801926,1.5734482,1.5738525,1.5626755,1.5605774,1.5696564,1.5319138
2011-04-18,1.5590439,1.5705872,1.5655136,1.5661087,1.5661011,1.56913,1.5540466
2011-04-19,1.5731888,1.5689316,1.5707474,1.562439,1.5539322,1.5713959,1.545372
2011-04-20,1.5525208,1.5676346,1.5753784,1.5737152,1.5703506,1.5701675,1.5805893
2011-04-21,1.5761414,1.5651855,1.568924,1.5577164,1.5703354,1.5583115,1.563797
2011-04-24,1.5734558,1.5771255,1.548111,1.5841675,1.5753632,1.5700684,1.5689087
2011-04-25,1.5731354,1.57827,1.5679703,1.526886,1.5731812,1.5685425,1.5688324
2011-04-26,1.5629425,1.5544968,1.5549469,1.5606842,1.5763779,1.564888,1.5686722
2011-04-27,1.5769958,1.5725403,1.560379,1.5703506,1.5693512,1.5731735,1.5695877
2011-04-28,1.5735016,1.5679779,1.5690918,1.5688629,1.5707016,1.5730591,1.562088
2011-04-29,1.569458,1.570198,1.5747757,1.571434,1.5642471,1.5764999,1.5741882
2011-05-01,1.5630875,1.5684586,1.5865479,1.5710983,1.5696335,1.5271912,1.5785065
2011-05-02,1.5710602,1.5709152,1.5972595,1.5752716,1.5678406,1.5637589,1.5771637
2011-05-03,1.5751114,1.5680695,1.5776596,1.5689316,1.5540237,1.5779572,1.5689697
2011-05-04,1.5668488,1.5680695,1.5635834,1.5681534,1.5806732,1.5819321,1.56781
2011-05-05,1.5648956,1.5680695,1.5813904,1.5721741,1.563858,1.5726318,1.5654144
2011-05-06,1.5642395,1.5679398,1.572876,1.5947266,1.5613785,1.572876,1.572113
2011-05-08,1.5824738,1.5679398,1.5710297,1.5666656,1.5706863,1.5684967,1.5748901
2011-05-09,1.5677414,1.5679398,1.5709839,1.5725784,1.5763245,1.5586243,1.58741
2011-05-10,1.5693665,1.5679398,1.5660553,1.5670853,1.5599594,1.5625534,1.5509796
2011-05-11,1.5665436,1.5679398,1.5688324,1.579216,1.5697098,1.5769653,1.5660248
2011-05-12,1.5679474,1.5647278,1.573761,1.5653534,1.588562,1.5682678,1.5744934
2011-05-13,1.5681839,1.5140228,1.5274582,1.5610504,1.5803909,1.5778351,1.5737915
2011-05-15,1.5727997,1.5333252,1.5517197,1.5606384,1.5650635,1.6157608,1.5586777
2011-05-16,1.5705109,1.58107,1.5600281,1.5713959,1.6015472,1.5485992,1.5752563
2011-05-17,1.579979,1.5514221,1.5724106,1.5525513,1.5543137,1.5559616,1.5743408
2011-05-18,1.5552902,1.594284,1.532341,1.5833054,1.5649567,1.6093826,1.5635986
2011-05-19,1.572258,1.5624161,1.6001511,1.5740356,1.5781479,1.5515671,1.578659
2011-05-20,1.5997391,1.5772476,1.5930634,1.5685654,1.5721436,1.5573883,1.5760574
2011-05-22,1.5351715,1.5630646,1.5411758,1.5649567,1.5797119,1.6059799,1.5682678
2011-05-23,1.5929031,1.5735931,1.5975647,1.5762558,1.5749054,1.5553589,1.572197
2011-05-24,1.5935364,1.5766296,1.5917511,1.5735092,1.5748062,1.5756073,1.576477
2011-05-25,1.5430756,1.5672607,1.5438766,1.5692368,1.5791626,1.5778427,1.5795593
2011-05-26,1.5981064,1.5807877,1.5960693,1.5558014,1.5721359,1.5757141,1.576088
2011-05-27,1.5911713,1.5743561,1.5775528,1.5734711,1.5775375,1.5751877,1.5739136
2011-05-29,1.5389862,1.5743637,1.5781937,1.5779877,1.5714798,1.5774078,1.5820694
2011-05-30,1.5764999,1.6009903,1.5825577,1.5660248,1.5747681,1.5781097,1.578392
2011-05-31,1.5763092,1.5527344,1.5768814,1.5739136,1.5741653,1.5771103,1.5838013
2011-06-01,1.5693359,1.5728378,1.5772476,1.5785446,1.5838089,1.5757141,1.5812836
2011-06-02,1.5797882,1.5615234,1.5790253,1.5852356,1.5809326,1.5844574,1.5844498
2011-06-03,1.5771332,1.5603638,1.576973,1.5779953,1.5746994,1.5763092,1.5887833
2011-06-05,1.5761108,1.5763397,1.5811234,1.5808334,1.581337,1.5837555,1.5898743
2011-06-06,1.5764542,1.57827,1.5792007,1.5886536,1.5842514,1.5793381,1.588974
2011-06-07,1.5798264,1.5767212,1.5769119,1.5845871,1.5822678,1.5851059,1.5817108
2011-06-08,1.5806046,1.5784073,1.5841522,1.5692062,1.5844803,1.5886841,1.5873718
2011-06-09,1.5817566,1.5775528,1.5814285,1.5902863,1.589386,1.5781021,1.5860062
2011-06-10,1.58107,1.5861359,1.5753098,1.5857925,1.5907593,1.5832138,1.5859146
2011-06-12,1.5797119,1.5832596,1.583435,1.5854111,1.5814743,1.5843048,1.5836716
2011-06-13,1.5807266,1.5883636,1.5827026,1.5835876,1.576767,1.5862427,1.5879822
2011-06-14,1.5868683,1.583992,1.5848541,1.584465,1.5860901,1.5868225,1.5764236
2011-06-15,1.5851746,1.5869522,1.58461,1.5844574,1.586052,1.5805893,1.5931702
2011-06-16,1.5914078,1.5845261,1.5848618,1.5870132,1.5824585,1.5865707,1.5896454
2011-06-17,1.5859833,1.5852966,1.5827179,1.5826035,1.59375,1.5901108,1.5909653
2011-06-19,1.5848465,1.5871048,1.5878067,1.5952911,1.5923233,1.5892715,1.5915298
2011-06-20,1.5841522,1.5806961,1.5870285,1.5846252,1.590683,1.5893631,1.5909424
2011-06-21,1.5898361,1.5892258,1.5905457,1.5871887,1.5740585,1.5896912,1.584816
2011-06-22,1.5931168,1.5893555,1.5868149,1.5916061,1.5734634,1.5898209,1.5854034
2011-06-23,1.5884323,1.5893555,1.5867615,1.5815506,1.5848236,1.5899506,1.5978241
2011-06-24,1.5871582,1.5893555,1.5842285,1.5901413,1.5907593,1.5900803,1.5903091
2011-06-26,1.5918121,1.5893555,1.5927811,1.5974884,1.5793304,1.5900803,1.5872498
2011-06-27,1.585846,1.5894852,1.586998,1.5957108,1.5818939,1.5903931,1.5863571
2011-06-28,1.5858154,1.5895538,1.5920486,1.578682,1.5846176,1.5904007,1.586525
2011-06-29,1.5869675,1.5896835,1.6021118,1.5922089,1.5888977,1.5904007,1.5799408
2011-06-30,1.583107,1.5896835,1.5825882,1.5796509,1.591217,1.5904007,1.5842056
2011-07-01,1.584343,1.5896835,1.5844574,1.5843353,1.5801163,1.5904083,1.6035156
2011-07-03,1.5858536,1.5898743,1.5849228,1.5868835,1.5858612,1.5905991,1.5858002
2011-07-04,1.5717545,1.5898743,1.5904694,1.5907211,1.5801697,1.5945511,1.5823059
2011-07-05,1.584343,1.5898743,1.5893326,1.5928574,1.5893402,1.5813446,1.6015778
2011-07-06,1.5764618,1.5898743,1.5870056,1.5903397,1.5845795,1.5870895,1.5725174
2011-07-07,1.5879364,1.5899429,1.5856552,1.5854874,1.584938,1.588913,1.5858765
2011-07-08,1.5806961,1.5853729,1.5868301,1.5756302,1.5944138,1.5830688,1.57901
2011-07-10,1.5840683,1.5833359,1.5892639,1.5779037,1.5784912,1.5769958,1.570549
2011-07-11,1.5905075,1.5911942,1.5748596,1.5663986,1.5726776,1.5706253,1.5733643
2011-07-12,1.5739822,1.590622,1.5779724,1.5771255,1.579834,1.5687943,1.5702972
2011-07-13,1.5862732,1.5695496,1.5769043,1.5779724,1.5738983,1.5729904,1.5657196
2011-07-14,1.5894775,1.5765228,1.5761871,1.5741043,1.5708618,1.5723877,1.5637589
2011-07-15,1.5761795,1.5695419,1.5772858,1.5756149,1.564537,1.5608597,1.5597076
2011-07-17,1.5711365,1.5776596,1.571022,1.5696945,1.562645,1.5614929,1.566391
2011-07-18,1.5688171,1.5757294,1.5672684,1.5631714,1.5572662,1.563118,1.5734253
2011-07-19,1.5679932,1.5659637,1.5615387,1.5588913,1.5971222,1.5761414,1.5709915
2011-07-20,1.5673218,1.5636139,1.5617981,1.5483398,1.5809631,1.5586014,1.5876541
2011-07-21,1.566597,1.5576019,1.5322342,1.577568,1.5577927,1.5516586,1.5756073
2011-07-22,1.5660706,1.5312805,1.5034103,1.509201,1.5484543,1.5823059,1.5350342
2011-07-24,1.5904922,1.5824051,1.6189423,1.5543213,1.5562363,1.5528183,1.5278625
2011-07-25,1.5525589,1.5919342,1.5300293,1.5612259,1.5491028,1.4986801,1.5616608
2011-07-26,1.5455551,1.5318604,1.5583801,1.5541687,1.5650253,1.578743,1.5765533
2011-07-27,1.5292664,1.5329208,1.5553665,1.5263443,1.5301819,1.5471191,1.5602112
2011-07-28,1.5168686,1.5659409,1.5400925,1.5590591,1.5644302,1.5540848,1.523262
2011-07-29,1.5686264,1.5347061,1.5610657,1.5351791,1.5491028,1.5496063,1.5288391
2011-07-31,1.5787277,1.5523376,1.5237656,1.5248413,1.5857925,1.5549698,1.5576324
2011-08-01,1.5437241,1.5383301,1.5236053,1.5283432,1.5646973,1.5388107,1.5367203
2011-08-02,1.5814743,1.5598602,1.5435181,1.5511398,1.5461578,1.5146561,1.545227
2011-08-03,1.5771179,1.5515976,1.544693,1.563736,1.5292816,1.5452347,1.5511093
2011-08-04,1.5530853,1.5385666,1.5459824,1.5375824,1.5365753,1.5503845,1.5502625
2011-08-05,1.5458527,1.5509567,1.5571289,1.546341,1.5661087,1.5390091,1.5428925
2011-08-07,1.5342026,1.5515976,1.5384064,1.5414047,1.5560837,1.5442123,1.5504227
2011-08-08,1.5538101,1.5385666,1.5523071,1.5497818,1.534256,1.5511017,1.5503922
2011-08-09,1.5472412,1.5509567,1.5540619,1.5496521,1.5324326,1.5590515,1.5562744
2011-08-10,1.5391006,1.5515976,1.5382156,1.5452042,1.5503387,1.5520706,1.547493
2011-08-11,1.5509415,1.5385666,1.5384445,1.5526123,1.5524521,1.5476761,1.5610123
2011-08-12,1.5326614,1.5509567,1.5385818,1.5493469,1.5549774,1.5463715,1.550148
2011-08-14,1.5307617,1.5404053,1.5606308,1.5543671,1.5553665,1.5494843,1.5504684
2011-08-15,1.5400162,1.5487213,1.5583496,1.5467377,1.5487747,1.5574112,1.555603
2011-08-16,1.5494843,1.5513229,1.5551605,1.5485306,1.551117,1.5561752,1.5593262
2011-08-17,1.5476608,1.5452499,1.5438004,1.5561981,1.5505905,1.5579834,1.5619354
2011-08-18,1.5462723,1.548317,1.552185,1.55719,1.5606003,1.5637131,1.563858
2011-08-19,1.5495529,1.5509415,1.5593109,1.5658264,1.5577774,1.5652924,1.5736694
2011-08-21,1.5509186,1.5562515,1.5540543,1.5629272,1.5660477,1.5734787,1.5812302
2011-08-22,1.561554,1.5626755,1.5615921,1.5647125,1.574173,1.588211,1.5963898
2011-08-23,1.5574875,1.5593338,1.5636139,1.5738754,1.5850449,1.5984802,1.6009827
2011-08-24,1.5596695,1.570015,1.5740814,1.5903091,1.5912704,1.5981216,1.598671
2011-08-25,1.5621796,1.577652,1.5880432,1.5942917,1.6004486,1.6019211,1.5910797
2011-08-26,1.5734406,1.5832291,1.5987549,1.6003036,1.6012344,1.6034088,1.6114731
2011-08-28,1.5850754,1.6011047,1.5993118,1.6011887,1.599266,1.5978851,1.5961227
2011-08-29,1.5907822,1.604042,1.6033096,1.5939102,1.5960999,1.6006927,1.6007538
2011-08-30,1.5987244,1.603035,1.5963058,1.5996017,1.6022797,1.6006927,1.6021118
2011-08-31,1.603302,1.6030579,1.594986,1.600914,1.6068878,1.6004333,1.6001053
2011-09-01,1.5955658,1.602684,1.6019058,1.6032333,1.602356,1.6009064,1.6021118
2011-09-02,1.6044312,1.6015701,1.59729,1.6006775,1.6004791,1.6072464,1.6001053
2011-09-04,1.5950317,1.6014404,1.604744,1.6001587,1.602356,1.6040344,1.6021805
2011-09-05,1.5977325,1.6018143,1.61026,1.601181,1.6003494,1.6047974,1.5998535
2011-09-06,1.5989227,1.6135712,1.6025772,1.6045685,1.602356,1.593193,1.6021805
2011-09-07,1.5966263,1.6041336,1.5960541,1.6007309,1.600029,1.6005325,1.5996094
2011-09-08,1.594101,1.6012421,1.6051865,1.6111374,1.602356,1.5998077,1.603859
2011-09-09,1.600975,1.5983582,1.5909729,1.6092224,1.5911255,1.595047,1.5904999
2011-09-11,1.6000671,1.60466,1.5948029,1.5919724,1.599968,1.5944214,1.6025848
2011-09-12,1.6150513,1.5973206,1.602211,1.5991211,1.5828705,1.6104736,1.60186
2011-09-13,1.6056213,1.6051636,1.5951843,1.6013565,1.5994797,1.6042175,1.5988083
2011-09-14,1.6114273,1.5958023,1.5983963,1.5960922,1.5934372,1.6004639,1.6079712
2011-09-15,1.6079407,1.60038,1.6023102,1.6014099,1.6006622,1.6010513,1.6001511
2011-09-16,1.6075821,1.6047058,1.5991287,1.5942535,1.6006393,1.5908813,1.591301
2011-09-18,1.5939636,1.6073761,1.5959473,1.5973206,1.6026001,1.5919113,1.588417
2011-09-19,1.59375,1.5904846,1.5937576,1.6032028,1.5980835,1.5960388,1.5948334
2011-09-20,1.5987015,1.6017685,1.6027069,1.6053619,1.5906525,1.597374,1.5892258
2011-09-21,1.6018829,1.5965424,1.5904999,1.6033859,1.5916061,1.5972443,1.5948486
2011-09-22,1.5986099,1.5898361,1.5946198,1.5949936,1.6028976,1.584938,1.5939407
2011-09-23,1.5908661,1.5916367,1.5952759,1.5934448,1.57164,1.5943527,1.5878754
