,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY
2011-03-31,11.714226,11.716049,11.757202,11.786148,11.790352,11.812454,11.857048
2011-04-01,11.725151,11.773521,11.7621765,11.806282,11.815315,11.8133545,11.870132
2011-04-03,11.74762,11.769577,11.79554,11.810707,11.834778,11.847305,11.864807
2011-04-04,11.787933,11.791237,11.796974,11.838905,11.8585205,11.915131,11.859894
2011-04-05,11.79805,11.829613,11.8146515,11.861305,11.856216,11.861374,11.880409
2011-04-06,11.819489,11.824333,11.862015,11.88459,11.897865,11.891876,11.946793
2011-04-07,11.823898,11.853218,11.880974,11.894012,11.899635,11.882378,11.944672
2011-04-08,11.849121,11.876625,11.883232,11.90081,11.895851,11.948425,11.934105
2011-04-10,11.873848,11.876801,11.947731,11.91127,11.932999,11.964935,11.924042
2011-04-11,11.890717,11.882469,11.899689,11.907967,11.938156,11.947128,11.990387
2011-04-12,11.888214,11.892876,11.924599,11.949799,11.95871,11.95797,11.962189
2011-04-13,11.898361,11.936531,11.941399,11.930321,11.943283,11.967743,12.007355
2011-04-14,11.867371,11.940987,11.951935,11.961922,11.975212,12.005173,12.018631
2011-04-15,11.94368,11.94693,11.981705,11.9561,12.002838,12.027351,12.05043
2011-04-17,11.973228,11.958321,12.00219,12.0008545,12.014267,12.058762,12.109459
2011-04-18,11.941498,11.96418,11.999535,12.026024,12.032921,12.067139,12.117249
2011-04-19,11.9681015,11.998573,12.011414,12.0371475,12.063225,12.152077,12.145714
2011-04-20,11.99633,12.023476,12.047371,12.062088,12.137131,12.128746,12.152184
2011-04-21,11.98822,12.044586,12.069351,12.132874,12.155716,12.152061,12.1684265
2011-04-24,12.035568,12.084938,12.155266,12.1206665,12.149574,12.137146,12.157967
2011-04-25,12.089508,12.082436,12.136002,12.174309,12.151161,12.1775055,12.190857
2011-04-26,12.0802,12.153282,12.139214,12.144241,12.167503,12.15255,12.185204
2011-04-27,12.169716,12.150894,12.181992,12.121971,12.171249,12.180511,12.219543
2011-04-28,12.146378,12.163376,12.136299,12.164558,12.156532,12.19062,12.201637
2011-04-29,12.163254,12.161018,12.1645355,12.151199,12.206055,12.242317,12.18364
2011-05-01,12.173378,12.152199,12.19455,12.19191,12.223618,12.2168045,12.211029
2011-05-02,12.158295,12.171715,12.201889,12.199142,12.165497,12.193207,12.178284
2011-05-03,12.176483,12.188477,12.18177,12.180885,12.209145,12.1788025,12.193466
2011-05-04,12.204239,12.23967,12.189247,12.210197,12.222435,12.199303,12.20639
2011-05-05,12.183914,12.190338,12.188271,12.208916,12.168671,12.195366,12.158478
2011-05-06,12.2063675,12.208672,12.171806,12.191582,12.204918,12.209045,12.247681
2011-05-08,12.223724,12.189354,12.211464,12.166946,12.22052,12.187119,12.199989
2011-05-09,12.182808,12.202057,12.162209,12.2198715,12.206276,12.200142,12.210449
2011-05-10,12.20546,12.219154,12.206383,12.201988,12.212631,12.218155,12.218048
2011-05-11,12.2228775,12.192703,12.207077,12.207031,12.19487,12.175308,12.162109
2011-05-12,12.18515,12.177734,12.2100525,12.191032,12.148834,12.183228,12.1732025
2011-05-13,12.219215,12.199417,12.189072,12.209061,12.165993,12.171043,12.163612
2011-05-15,12.230125,12.194756,12.181358,12.150391,12.169685,12.175713,12.149452
2011-05-16,12.207062,12.187103,12.18499,12.158806,12.157761,12.157043,12.126846
2011-05-17,12.200188,12.171928,12.133476,12.147179,12.161324,12.141289,12.144814
2011-05-18,12.174927,12.180672,12.168694,12.15387,12.148102,12.149506,12.132095
2011-05-19,12.163376,12.15506,12.133324,12.141327,12.131195,12.128601,12.111473
2011-05-20,12.1833725,12.171791,12.146217,12.1353,12.089378,12.058311,12.045097
2011-05-22,12.152557,12.160591,12.152672,12.133293,12.07843,12.045082,12.034019
2011-05-23,12.148331,12.142708,12.118713,12.070259,12.053078,12.0301285,11.981377
2011-05-24,12.15126,12.141899,12.0672,12.0490265,12.024345,11.970123,11.971573
2011-05-25,12.137856,12.086769,12.030029,12.014442,11.998039,11.95739,11.943901
2011-05-26,12.074974,12.04705,12.015381,11.976448,11.934471,11.9386215,11.920959
2011-05-27,12.046204,11.997055,12.000435,11.95858,11.94635,11.922379,11.907127
2011-05-29,12.006462,11.97821,11.975098,11.943008,11.916306,11.91658,11.894997
2011-05-30,11.9589,11.984726,11.939499,11.915001,11.892166,11.901161,11.90834
2011-05-31,11.967369,11.955505,11.912712,11.900635,11.910355,11.91745,11.914085
2011-06-01,11.919388,11.89975,11.883621,11.909027,11.908806,11.916145,11.902077
