,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK
2011-03-31,8.839692,8.844531,8.857621,8.861169,8.881649,8.875488,8.897372
2011-04-01,8.861396,8.844308,8.8613,8.874345,8.852997,8.873308,8.889711
2011-04-03,8.836753,8.847314,8.869825,8.875858,8.879743,8.89724,8.94771
2011-04-04,8.861,8.868522,8.880332,8.879295,8.890238,8.923324,8.881929
2011-04-05,8.870061,8.875457,8.875595,8.892384,8.924089,8.95285,8.877829
2011-04-06,8.875491,8.904626,8.90701,8.838707,8.911919,8.925452,8.951191
2011-04-07,8.920616,8.901006,8.895646,8.890536,8.957898,8.865524,8.955771
2011-04-08,8.884765,8.99034,8.939585,8.915045,8.851089,8.920085,8.97668
2011-04-10,8.92043,8.914111,8.8696375,8.933111,8.961281,8.911996,8.934034
2011-04-11,8.875664,8.922705,8.898464,8.853175,8.947119,8.95,8.925936
2011-04-12,8.935182,8.898797,8.913216,8.974515,8.985573,8.972793,8.92535
2011-04-13,8.962635,8.93483,8.960834,8.948847,8.960462,8.956464,8.969065
2011-04-14,8.934384,8.929286,8.960883,8.984322,8.933283,8.953583,8.981856
2011-04-15,8.978671,8.940856,8.924776,8.955639,8.968496,8.963561,8.963169
2011-04-17,8.972511,8.956536,8.961796,8.933135,8.927801,8.947918,8.946303
2011-04-18,8.950354,8.94187,8.932035,8.971084,8.978045,8.977715,8.948274
2011-04-19,8.953475,8.961665,8.980879,8.967145,8.927656,8.929969,8.957755
2011-04-20,8.954315,8.931437,8.964441,8.964158,8.950421,8.960756,8.934721
2011-04-21,8.961514,8.966946,8.965927,8.958581,8.960562,8.955207,8.928486
2011-04-24,8.974164,8.931638,8.929667,8.947711,8.962678,8.963906,8.961938
2011-04-25,8.959741,8.9661045,8.960235,8.961337,8.981131,8.934803,8.956932
2011-04-26,8.960226,8.932154,8.926777,8.968821,8.95694,8.947737,8.959104
2011-04-27,8.959284,8.966661,8.970544,8.937122,8.960468,8.95582,8.938666
2011-04-28,8.956579,8.932201,8.96896,8.952047,8.932376,8.964566,8.934772
2011-04-29,8.956604,8.948743,8.944101,8.947644,8.928216,8.947533,8.970032
2011-05-01,8.964609,8.9566765,8.943938,8.959596,8.954706,8.951665,8.96493
2011-05-02,8.951421,8.958834,8.955147,8.94288,8.929711,8.941704,8.955765
2011-05-03,8.963284,8.937627,8.950295,8.953539,8.953815,8.948454,8.954268
2011-05-04,8.942486,8.95816,8.930848,8.946172,8.9473915,8.961081,8.960806
2011-05-05,8.935047,8.947294,8.953689,8.94911,8.954288,8.964976,8.9587965
2011-05-06,8.94683,8.964427,8.953504,8.96187,8.947982,8.965973,8.951688
2011-05-08,8.946343,8.951344,8.95073,8.952458,8.947941,8.961722,8.962653
2011-05-09,8.954695,8.949821,8.96313,8.953246,8.956111,8.957223,8.95978
2011-05-10,8.958442,8.960506,8.956622,8.958477,8.958484,8.962843,8.968963
2011-05-11,8.958671,8.959453,8.951035,8.96422,8.976154,8.968447,8.96164
2011-05-12,8.955149,8.954481,8.954718,8.956966,8.966019,8.960312,8.971723
2011-05-13,8.958329,8.953628,8.9709635,8.961464,8.977291,8.965217,8.978361
2011-05-15,8.955283,8.956616,8.959711,8.966446,8.958524,8.975728,8.975079
2011-05-16,8.962393,8.957198,8.9642515,8.969668,8.973722,8.98295,8.968481
2011-05-17,8.953686,8.969228,8.972646,8.980919,8.964311,8.97033,8.967395
2011-05-18,8.972244,8.967753,8.967899,8.964131,8.989134,8.945708,8.957895
2011-05-19,8.981216,8.965631,8.976455,8.970498,8.945767,8.969037,8.960339
2011-05-20,8.9823,8.963961,8.960147,8.960694,8.964111,8.964308,8.933817
2011-05-22,8.973631,8.975676,8.962702,8.978769,8.943028,8.9540205,8.939758
2011-05-23,8.965748,8.94733,8.958648,8.961561,8.97971,8.959381,8.955965
2011-05-24,8.972788,8.95574,8.948085,8.937678,8.949557,8.911228,8.975555
2011-05-25,8.970975,8.941252,8.952319,8.947087,8.983732,8.904999,8.943161
2011-05-26,8.937336,8.943948,8.952873,8.943735,8.983323,8.948827,8.945692
2011-05-27,8.967792,8.9470215,8.956068,8.9379225,8.899547,8.941857,8.914709
2011-05-29,8.952473,8.959113,8.936665,8.961063,8.943536,8.910251,8.9134035
2011-05-30,8.937321,8.946804,8.936848,8.928604,8.942216,8.944225,8.971374
2011-05-31,8.916089,8.948089,8.936869,8.935728,8.956378,8.926397,8.920365
2011-06-01,8.93322,8.937979,8.918072,8.944029,8.939617,8.938013,8.95381
2011-06-02,8.940894,8.982585,8.925399,8.942645,8.9458,8.951766,8.961947
2011-06-03,8.956758,8.982541,8.969,8.945455,8.960828,8.962423,8.977339
2011-06-05,8.962177,8.932702,8.938839,8.95074,8.963626,8.958559,8.966928
2011-06-06,8.965524,8.945515,8.944117,8.95493,8.959244,8.983541,8.962182
2011-06-07,8.941544,8.947573,8.962166,8.971291,8.962687,8.963857,8.981577
2011-06-08,8.951886,8.957893,8.956778,8.954936,8.962651,8.973332,8.9933605
2011-06-09,8.946482,8.949185,8.960283,8.981726,8.9726515,8.979884,8.9787855
2011-06-10,8.963822,8.96781,8.958889,8.978303,8.977892,8.978338,8.981271
2011-06-12,8.963534,8.978438,8.969488,8.980467,8.997276,8.978745,8.983742
2011-06-13,8.978602,8.968635,8.96655,8.982417,8.977423,8.9775915,8.981543
2011-06-14,8.963609,8.974471,8.9909115,8.987392,8.98178,8.977575,8.981572
2011-06-15,8.981048,8.982173,8.984902,8.981337,8.974894,8.994762,8.983823
2011-06-16,8.979079,8.983358,8.981932,8.983477,8.989459,8.968903,8.973014
2011-06-17,8.990113,8.984726,8.979111,8.9804,8.981277,8.976881,8.989231
2011-06-19,8.979309,8.982749,8.98532,8.983559,8.9908285,8.996232,9.002324
2011-06-20,8.991606,8.982877,8.979096,9.003127,8.991047,8.993839,9.001556
2011-06-21,8.983753,9.004897,8.986126,8.992921,9.007569,9.005377,9.0027895
2011-06-22,8.975161,8.999724,8.990136,8.996387,8.997312,9.008217,8.9984
2011-06-23,8.981576,8.988887,8.996366,9.009964,9.005228,8.994564,9.015196
2011-06-24,8.9893055,8.995269,9.016633,9.002584,9.016124,9.023712,9.02361
2011-06-26,8.997949,9.001803,9.015493,9.001411,9.015244,9.034176,9.04098
2011-06-27,8.99633,9.01819,9.002185,9.015006,9.013311,9.049249,9.089487
2011-06-28,9.007969,9.005955,9.018469,9.027238,9.041305,9.086585,9.092191
2011-06-29,8.988943,9.004881,9.0134115,9.042418,9.077202,9.085487,9.087578
2011-06-30,9.010393,9.030278,9.033967,9.079061,9.087634,9.067252,9.08705
2011-07-01,9.022546,9.046505,9.059955,9.11143,9.07279,9.095026,9.085588
2011-07-03,9.041874,9.07864,9.086402,9.086116,9.080095,9.088412,9.10316
2011-07-04,9.066923,9.090651,9.1062565,9.098667,9.087047,9.084132,9.104894
2011-07-05,9.086277,9.073043,9.076296,9.086068,9.076831,9.083801,9.101881
2011-07-06,9.087345,9.096302,9.083385,9.099555,9.086732,9.108268,9.100405
2011-07-07,9.088182,9.072688,9.101501,9.096427,9.110862,9.102104,9.102904
2011-07-08,9.1067915,9.102577,9.052818,9.111013,9.100107,9.108057,9.112351
2011-07-10,9.074281,9.13716,9.101108,9.115321,9.127294,9.129057,9.124334
2011-07-11,9.117439,9.080351,9.118888,9.131153,9.137625,9.120423,9.152785
2011-07-12,9.115011,9.109431,9.117374,9.113449,9.149788,9.117862,9.174224
2011-07-13,9.105906,9.114432,9.113883,9.15145,9.125804,9.165278,9.150746
2011-07-14,9.1171255,9.134642,9.110894,9.142698,9.159255,9.164463,9.1509905
2011-07-15,9.121938,9.12312,9.151486,9.181529,9.142496,9.174524,9.175223
2011-07-17,9.135051,9.169245,9.147875,9.183698,9.152994,9.158995,9.183192
2011-07-18,9.152272,9.160962,9.1802435,9.168921,9.162889,9.142609,9.160263
2011-07-19,9.142977,9.167878,9.166429,9.1578245,9.163177,9.166243,9.169794
2011-07-20,9.13892,9.177783,9.124562,9.1669855,9.164601,9.170381,9.1952095
2011-07-21,9.160748,9.166843,9.16566,9.168267,9.161073,9.157598,9.159043
2011-07-22,9.151665,9.189296,9.165006,9.176692,9.16453,9.160272,9.156975
2011-07-24,9.196261,9.174152,9.163342,9.179066,9.151947,9.171125,9.16719
2011-07-25,9.160929,9.150061,9.195008,9.154609,9.1612835,9.168961,9.161176
2011-07-26,9.172235,9.173384,9.1658745,9.165043,9.172038,9.163313,9.156618
2011-07-27,9.164837,9.149601,9.15641,9.19033,9.1474495,9.1460285,9.134098
2011-07-28,9.165278,9.165451,9.156816,9.1444435,9.140019,9.140282,9.119869
2011-07-29,9.181669,9.159176,9.157255,9.157297,9.138784,9.11013,9.123965
2011-07-31,9.150827,9.158355,9.149798,9.142695,9.146746,9.1750145,9.204223
2011-08-01,9.163505,9.133015,9.148823,9.130476,9.145867,9.119524,9.130109
2011-08-02,9.172319,9.146563,9.124145,9.128988,9.110063,9.108654,9.119747
2011-08-03,9.128905,9.103219,9.18953,9.117924,9.093231,9.116974,9.12418
2011-08-04,9.126026,9.205965,9.177981,9.145458,9.154199,9.115764,9.102786
2011-08-05,9.121729,9.117741,9.115275,9.122934,9.152255,9.11554,9.12446
2011-08-07,9.098195,9.11083,9.112378,9.113966,9.120145,9.123166,9.0433655
2011-08-08,9.120202,9.113472,9.109041,9.130225,9.135603,9.0929985,9.135021
2011-08-09,9.116779,9.110841,9.119718,9.103151,9.1359215,9.144649,9.117759
2011-08-10,9.112474,9.11883,9.1363125,9.116349,9.138874,9.113402,9.147656
2011-08-11,9.125156,9.114745,9.067379,9.107649,9.088532,9.125479,9.174445
2011-08-12,9.110029,9.086503,9.130869,9.117799,9.099026,9.163421,9.17031
2011-08-14,9.120785,9.145755,9.112623,9.146993,9.180459,9.170774,9.188107
2011-08-15,9.113232,9.1100025,9.168993,9.1743,9.172707,9.172893,9.181148
2011-08-16,9.14101,9.16151,9.160031,9.16322,9.174048,9.190014,9.185115
2011-08-17,9.147149,9.166019,9.159336,9.189174,9.21291,9.19106,9.165564
2011-08-18,9.16407,9.18596,9.157184,9.186464,9.182317,9.182498,9.181731
2011-08-19,9.180029,9.178834,9.185377,9.211904,9.178844,9.175655,9.185972
2011-08-21,9.170093,9.182593,9.185752,9.148997,9.174893,9.181338,9.169503
2011-08-22,9.197864,9.186037,9.182737,9.180923,9.186197,9.166121,9.161855
2011-08-23,9.190203,9.187779,9.187566,9.187427,9.156581,9.17588,9.146706
2011-08-24,9.189818,9.178322,9.181414,9.16524,9.162218,9.160012,9.144903
2011-08-25,9.18639,9.174231,9.188806,9.14282,9.156454,9.175595,9.140011
2011-08-26,9.164621,9.165325,9.169516,9.132359,9.14398,9.128318,9.13336
2011-08-28,9.17281,9.165059,9.14713,9.1558,9.147793,9.146105,9.145669
2011-08-29,9.175064,9.155785,9.149527,9.152392,9.130375,9.140243,9.13986
2011-08-30,9.164798,9.147688,9.147416,9.167233,9.113283,9.137978,9.123277
2011-08-31,9.146872,9.16321,9.117399,9.12857,9.18228,9.145392,9.156234
2011-09-01,9.143317,9.130009,9.134833,9.112294,9.137748,9.118986,9.163383
2011-09-02,9.136663,9.155878,9.136101,9.110193,9.116986,9.148737,9.150683
2011-09-04,9.133847,9.145072,9.133463,9.152284,9.120898,9.137624,9.141515
2011-09-05,9.130661,9.136968,9.192847,9.117713,9.121186,9.106334,9.136387
2011-09-06,9.119628,9.131157,9.140037,9.1314,9.132798,9.090131,9.136889
2011-09-07,9.106114,9.1419115,9.134749,9.101003,9.136519,9.113729,9.133039
2011-09-08,9.117624,9.116048,9.12053,9.125647,9.133956,9.1261425,9.133562
2011-09-09,9.107077,9.152764,9.168645,9.127225,9.13502,9.134624,9.140015
2011-09-11,9.135057,9.12408,9.117624,9.120391,9.1377735,9.145924,9.138875
2011-09-12,9.17858,9.141926,9.12465,9.152923,9.136236,9.146058,9.120602
2011-09-13,9.154934,9.102666,9.111546,9.120715,9.153615,9.143729,9.137475
2011-09-14,9.117024,9.115138,9.13743,9.1418915,9.146102,9.135408,9.133778
2011-09-15,9.146424,9.137188,9.142178,9.139307,9.141915,9.139837,9.128858
2011-09-16,9.135002,9.153165,9.111633,9.129075,9.138467,9.137166,9.136917
2011-09-18,9.15336,9.1441555,9.114449,9.146982,9.123913,9.139936,9.11627
2011-09-19,9.134661,9.136332,9.162768,9.13371,9.122606,9.136138,9.119559
2011-09-20,9.129133,9.134718,9.128488,9.152652,9.139091,9.13358,9.145586
2011-09-21,9.122064,9.132499,9.151886,9.132546,9.133049,9.136957,9.129271
2011-09-22,9.154276,9.111514,9.145782,9.127011,9.147415,9.130704,9.143733
2011-09-23,9.1115,9.1319475,9.142869,9.129726,9.134208,9.133562,9.136157
2011-09-25,9.1355915,9.129965,9.140607,9.14247,9.107515,9.13702,9.126705
2011-09-26,9.1464615,9.114864,9.144091,9.138086,9.121495,9.13007,9.143969
2011-09-27,9.135482,9.120444,9.137119,9.123831,9.141278,9.1591,9.126708
2011-09-28,9.1251955,9.143835,9.135563,9.133295,9.124675,9.1383705,9.142864
2011-09-29,9.113855,9.13219,9.136471,9.116519,9.143185,9.124436,9.122904
2011-09-30,9.129579,9.14026,9.135472,9.120385,9.15105,9.133894,9.135877
2011-10-02,9.1360655,9.135865,9.138089,9.134024,9.141785,9.141168,9.159578
2011-10-03,9.131039,9.142286,9.121806,9.131436,9.130292,9.163378,9.133352
2011-10-04,9.137525,9.133536,9.139398,9.123001,9.143321,9.139417,9.144053
2011-10-05,9.135254,9.152549,9.148631,9.137322,9.151014,9.1407585,9.141624
2011-10-06,9.133282,9.13332,9.14364,9.1310005,9.151453,9.123189,9.127373
2011-10-07,9.129008,9.142815,9.140676,9.125578,9.146539,9.142069,9.141615
2011-10-09,9.12086,9.138668,9.135843,9.13763,9.159706,9.125612,9.144912
2011-10-10,9.142986,9.122516,9.140771,9.142093,9.127097,9.149202,9.14208
2011-10-11,9.135728,9.131915,9.135584,9.142842,9.127032,9.132388,9.136963
2011-10-12,9.137518,9.129269,9.127176,9.143129,9.132231,9.147685,9.138483
2011-10-13,9.155369,9.131599,9.124239,9.140927,9.136428,9.1488695,9.123635
2011-10-14,9.143433,9.126378,9.15343,9.13453,9.187833,9.153653,9.109781
2011-10-16,9.130593,9.134265,9.135298,9.075143,9.157263,9.130975,9.151112
2011-10-17,9.137985,9.14347,9.138986,9.142952,9.110171,9.113538,9.14758
2011-10-18,9.136497,9.133727,9.107282,9.136309,9.143384,9.177139,9.148993
2011-10-19,9.15647,9.1343155,9.1597,9.136977,9.159434,9.134512,9.161897
2011-10-20,9.121331,9.134286,9.135118,9.139234,9.147428,9.160683,9.145061
2011-10-21,9.147302,9.134266,9.134469,9.161293,9.133554,9.13498,9.142336
2011-10-23,9.142724,9.134254,9.110616,9.122844,9.153242,9.154879,9.154666
2011-10-24,9.152891,9.134255,9.139044,9.154955,9.15712,9.149319,9.135484
2011-10-25,9.147947,9.13425,9.149061,9.149371,9.125073,9.153724,9.140628
2011-10-26,9.135212,9.134239,9.141824,9.12459,9.140913,9.140237,9.132229
