,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY
2011-04-01,61.087994,61.040695,61.09797,61.07865,61.096703,61.060646,61.114693
2011-04-03,61.06716,61.10522,61.095436,61.097717,61.094074,61.068512,61.071518
2011-04-04,61.080837,61.10486,61.06939,61.086964,61.06717,61.099644,61.083603
2011-04-05,61.099174,61.01743,61.098907,61.077766,61.097645,61.058804,61.116905
2011-04-06,61.090572,61.053585,61.096127,61.09841,61.09477,61.064606,61.050537
2011-04-07,61.089054,61.070896,61.06794,61.08678,61.065716,61.098377,61.07685
2011-04-08,61.083122,61.07107,61.099888,61.076912,61.098618,61.07035,61.105564
2011-04-10,61.102364,61.07128,61.096905,61.09918,61.095528,61.07756,61.11012
2011-04-11,61.065353,61.088257,61.066547,61.086647,61.064316,61.10109,61.140644
2011-04-12,61.057083,61.080074,61.100945,61.076138,61.10213,61.142433,61.237286
2011-04-13,61.081913,61.099068,61.09787,61.08179,61.15711,61.238876,61.375618
2011-04-14,61.074215,61.08911,61.114754,61.160385,61.32077,61.3795,62.002293
2011-04-15,61.076435,61.114967,61.076405,61.280594,61.389347,62.030155,63.140564
2011-04-17,61.10693,61.180157,61.20696,61.341503,61.98409,63.11724,63.19286
2011-04-18,61.15089,61.254627,61.428223,62.004513,63.1313,63.213615,64.04817
2011-04-19,61.212196,61.39063,61.983337,63.144703,63.17797,64.05415,64.55332
2011-04-20,61.36753,61.991665,63.125286,63.204796,64.04442,64.55763,64.72426
2011-04-21,61.957478,63.14184,63.197445,64.08184,64.531555,64.66029,65.05209
2011-04-24,63.10786,63.20607,64.09032,64.591866,64.69826,65.00962,65.139275
2011-04-25,63.229313,64.1155,64.561104,64.69334,65.09058,65.18578,65.18852
2011-04-26,64.11544,64.57329,64.70034,65.08788,65.10164,65.239784,65.49659
2011-04-27,64.575836,64.67453,65.0643,65.11532,65.23084,65.49129,65.42755
2011-04-28,64.71687,65.10238,65.17287,65.18402,65.49886,65.50031,65.53245
2011-04-29,65.01013,65.11273,65.19969,65.44763,65.54069,65.51452,65.49617
2011-05-01,65.09916,65.20499,65.429634,65.54069,65.4258,65.48881,65.48075
2011-05-02,65.19303,65.42427,65.515884,65.41691,65.48819,65.50125,65.52738
2011-05-03,65.42387,65.44261,65.42374,65.48122,65.52879,65.51149,65.45921
2011-05-04,65.466675,65.452484,65.534325,65.52431,65.46806,65.486115,65.49001
2011-05-05,65.53393,65.4731,65.47641,65.473526,65.48933,65.537415,65.48977
2011-05-06,65.4562,65.42935,65.43488,65.49199,65.50531,65.4349,65.504425
2011-05-08,65.48406,65.50721,65.48667,65.533646,65.48892,65.46997,65.48941
2011-05-09,65.51872,65.45695,65.52109,65.432014,65.5058,65.451805,65.50488
2011-05-10,65.47108,65.45782,65.52238,65.495056,65.48849,65.51323,65.489006
2011-05-11,65.50714,65.50712,65.49749,65.45638,65.506256,65.517204,65.50528
2011-05-12,65.51136,65.48508,65.50289,65.469315,65.48806,65.48119,65.488625
2011-05-13,65.535934,65.50144,65.50759,65.48454,65.50666,65.49177,65.50565
