,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY
2011-04-03,2.1809845,2.2084274,2.2022247,2.1933975,2.2153015,2.2174606,2.1997375
2011-04-04,2.2078018,2.204773,2.2089157,2.2133255,2.205101,2.2108612,2.202858
2011-04-05,2.21212,2.2053986,2.1985397,2.1917953,2.2067795,2.2082748,2.20224
2011-04-06,2.1875687,2.205925,2.1972656,2.2006836,2.198845,2.2056427,2.202858
2011-04-07,2.2097778,2.2005157,2.2028122,2.2072449,2.2113113,2.201683,2.2020645
2011-04-08,2.2056732,2.2075653,2.1946716,2.2023926,2.19635,2.1980133,2.1837845
2011-04-10,2.202156,2.2028885,2.1993637,2.2019043,2.2022858,2.2002106,2.2041092
2011-04-11,2.1974335,2.2117004,2.2028198,2.199669,2.2097092,2.2030945,2.202736
2011-04-12,2.1956177,2.1991653,2.1897964,2.2053757,2.2123642,2.212654,2.1729355
2011-04-13,2.2034378,2.1972122,2.1846771,2.1959686,2.1939163,2.1804352,2.2045288
2011-04-14,2.206459,2.1922379,2.2077713,2.1904526,2.193863,2.2017746,2.193451
2011-04-15,2.2005157,2.1958008,2.1887054,2.206749,2.2074661,2.1745377,2.1958847
2011-04-17,2.2064743,2.197403,2.1918716,2.195572,2.1963806,2.198471,2.1909866
2011-04-18,2.1891403,2.208702,2.1861877,2.1920013,2.1887512,2.1827316,2.1970596
2011-04-19,2.1829987,2.1876984,2.2009277,2.2027664,2.201416,2.187645,2.194725
2011-04-20,2.1930084,2.185379,2.1792374,2.2080612,2.1849594,2.1840668,2.1971054
2011-04-21,2.1987686,2.195366,2.20224,2.1937485,2.1972656,2.1911926,2.197281
2011-04-24,2.1894379,2.1949234,2.1985855,2.201065,2.1991425,2.200203,2.1841583
2011-04-25,2.194687,2.2020645,2.18441,2.200859,2.202179,2.2013931,2.1893692
2011-04-26,2.189186,2.1970215,2.1987534,2.1897507,2.1977463,2.1941605,2.210762
2011-04-27,2.210884,2.1995392,2.2040634,2.1940079,2.197937,2.1991272,2.2016907
