,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN
2011-04-12,11.953804,11.980727,11.982983,11.940172,11.963794,11.923278,11.94672
2011-04-13,11.951565,11.988,11.985226,11.946223,11.9554405,11.933798,11.9529085
2011-04-14,11.966668,11.963645,11.948939,11.960428,11.94444,11.9185505,11.914167
2011-04-15,11.955312,11.931804,11.940831,11.94177,11.921033,11.908052,11.899825
2011-04-17,11.943675,11.928337,11.966559,11.918,11.911955,11.908735,11.893844
2011-04-18,11.958823,11.954081,11.935564,11.913041,11.90087,11.90232,11.86343
2011-04-19,11.935601,11.916059,11.918076,11.904761,11.898668,11.852889,11.841523
2011-04-20,11.928701,11.91874,11.906089,11.893721,11.862886,11.835888,11.821398
2011-04-21,11.918802,11.906881,11.907332,11.859266,11.832813,11.839358,11.831504
2011-04-24,11.911135,11.898475,11.868648,11.850689,11.829545,11.820799,11.853531
2011-04-25,11.902048,11.83914,11.844681,11.840434,11.823766,11.777736,11.811812
2011-04-26,11.853695,11.846037,11.83663,11.8185835,11.792767,11.827756,11.837772
2011-04-27,11.847841,11.827783,11.80868,11.777094,11.802024,11.79617,11.7807455
2011-04-28,11.8305,11.8206415,11.783998,11.786102,11.760595,11.803173,11.765096
2011-04-29,11.811692,11.841045,11.819321,11.774394,11.780339,11.766176,11.738842
2011-05-01,11.78426,11.803374,11.797813,11.77604,11.75214,11.747453,11.734912
2011-05-02,11.819903,11.782031,11.803946,11.771752,11.740475,11.724363,11.72781
2011-05-03,11.767329,11.767078,11.771377,11.750395,11.74337,11.731292,11.727951
2011-05-04,11.748915,11.758874,11.740391,11.757781,11.735367,11.722445,11.699429
2011-05-05,11.760714,11.743295,11.744095,11.726498,11.719309,11.706154,11.696829
2011-05-06,11.747019,11.731023,11.725785,11.733025,11.707236,11.704835,11.681921
2011-05-08,11.736502,11.713618,11.723161,11.7041,11.688097,11.685982,11.664449
2011-05-09,11.744052,11.728864,11.709774,11.699753,11.689969,11.688401,11.6658535
2011-05-10,11.716549,11.705275,11.70495,11.689412,11.657181,11.678175,11.656474
2011-05-11,11.7014475,11.696105,11.678674,11.6736,11.668349,11.651498,11.676016
2011-05-12,11.702794,11.685209,11.656945,11.657081,11.657587,11.672476,11.666125
2011-05-13,11.70102,11.6579075,11.668526,11.680846,11.669719,11.663947,11.656402
2011-05-15,11.651627,11.674458,11.663629,11.637276,11.669437,11.627637,11.629622
2011-05-16,11.661247,11.666155,11.69247,11.64128,11.658669,11.674591,11.677888
2011-05-17,11.671007,11.689873,11.657861,11.682072,11.657074,11.643197,11.636565
2011-05-18,11.666435,11.635166,11.674952,11.642961,11.644967,11.622449,11.674509
2011-05-19,11.664728,11.662255,11.638754,11.657276,11.654112,11.622246,11.655104
2011-05-20,11.667807,11.666941,11.674724,11.643763,11.649992,11.652421,11.673131
2011-05-22,11.692281,11.66362,11.62833,11.663641,11.657583,11.668614,11.618183
2011-05-23,11.6739025,11.672049,11.636894,11.636127,11.651523,11.638157,11.639385
2011-05-24,11.659595,11.63193,11.648554,11.647986,11.686983,11.656007,11.662678
2011-05-25,11.64438,11.646536,11.649433,11.681377,11.646393,11.626967,11.632149
2011-05-26,11.646388,11.650319,11.652059,11.635167,11.629291,11.629838,11.617466
2011-05-27,11.644488,11.62392,11.654658,11.631845,11.640072,11.6170635,11.662233
2011-05-29,11.658151,11.659364,11.650486,11.630954,11.628956,11.628792,11.6317835
2011-05-30,11.649959,11.627214,11.632878,11.622544,11.626503,11.626482,11.644622
2011-05-31,11.628408,11.637426,11.6262,11.634042,11.612988,11.618021,11.616197
2011-06-01,11.630446,11.618762,11.644881,11.619308,11.626454,11.636156,11.645111
2011-06-02,11.616054,11.633624,11.604455,11.619314,11.623325,11.615688,11.642433
2011-06-03,11.679552,11.58196,11.639656,11.617006,11.632227,11.656748,11.649311
2011-06-05,11.60656,11.629687,11.636129,11.633298,11.620681,11.6661215,11.648312
2011-06-06,11.613067,11.631754,11.600787,11.65715,11.6434765,11.67134,11.622411
2011-06-07,11.627435,11.6494,11.644448,11.66388,11.656471,11.667114,11.681718
2011-06-08,11.636845,11.674755,11.637935,11.641644,11.668898,11.639872,11.663872
2011-06-09,11.641906,11.628359,11.668424,11.647911,11.647274,11.67607,11.681652
2011-06-10,11.635048,11.642681,11.63359,11.676301,11.660908,11.672466,11.64007
2011-06-12,11.658544,11.638349,11.673471,11.651611,11.665149,11.693033,11.679572
2011-06-13,11.645816,11.690338,11.670136,11.640609,11.672831,11.7019005,11.674785
2011-06-14,11.660177,11.675166,11.678268,11.670883,11.674266,11.670311,11.692113
2011-06-15,11.660132,11.6933975,11.692722,11.673933,11.675208,11.694771,11.710236
2011-06-16,11.671774,11.669098,11.685711,11.680986,11.698594,11.700096,11.703676
2011-06-17,11.670747,11.670612,11.688954,11.6903715,11.708647,11.705246,11.700063
2011-06-19,11.683843,11.665797,11.689451,11.699524,11.713987,11.699029,11.734174
2011-06-20,11.67723,11.709176,11.695599,11.7011595,11.710107,11.718535,11.725637
2011-06-21,11.691267,11.702283,11.704994,11.705367,11.714063,11.749471,11.737948
2011-06-22,11.703646,11.70349,11.709184,11.731154,11.725647,11.735665,11.734403
2011-06-23,11.710221,11.725899,11.738037,11.733665,11.735335,11.743049,11.74412
2011-06-24,11.72492,11.728819,11.726221,11.732827,11.726397,11.75146,11.763199
2011-06-26,11.730348,11.736557,11.735289,11.7458515,11.758244,11.774896,11.790661
2011-06-27,11.723918,11.727691,11.749106,11.745637,11.780117,11.785835,11.778496
2011-06-28,11.737717,11.737052,11.743951,11.779627,11.768034,11.773456,11.756503
2011-06-29,11.744243,11.726222,11.778497,11.773982,11.7816925,11.774694,11.762615
2011-06-30,11.735767,11.774426,11.77189,11.780032,11.780546,11.786881,11.776497
2011-07-01,11.7814665,11.782772,11.787052,11.773943,11.767436,11.773155,11.7810335
2011-07-03,11.7787695,11.770759,11.774814,11.780322,11.7824745,11.774413,11.773308
2011-07-04,11.776951,11.784514,11.779409,11.773761,11.781139,11.787867,11.775987
2011-07-05,11.773173,11.783271,11.7851715,11.780615,11.766551,11.77258,11.793107
2011-07-06,11.770454,11.769905,11.789561,11.773513,11.783184,11.773955,11.766616
2011-07-07,11.782641,11.785231,11.762805,11.780943,11.781761,11.7889185,11.809448
2011-07-08,11.779362,11.783765,11.766785,11.773298,11.765532,11.778643,11.793704
2011-07-10,11.777241,11.769077,11.7836685,11.781215,11.795232,11.793097,11.796719
2011-07-11,11.772758,11.785944,11.769151,11.785998,11.76042,11.794969,11.783386
2011-07-12,11.778981,11.75895,11.762256,11.799774,11.764485,11.764845,11.788446
2011-07-13,11.775919,11.784445,11.795953,11.772383,11.770578,11.770566,11.786131
2011-07-14,11.799901,11.783392,11.780507,11.757481,11.790315,11.768921,11.783338
2011-07-15,11.802267,11.807082,11.782277,11.78281,11.779628,11.768301,11.8018055
2011-07-17,11.765961,11.765264,11.798374,11.773404,11.750145,11.783533,11.767637
2011-07-18,11.753357,11.776596,11.78028,11.784339,11.75164,11.789297,11.7774725
2011-07-19,11.784224,11.802646,11.782303,11.775683,11.73473,11.776226,11.755621
2011-07-20,11.784302,11.77263,11.814833,11.784212,11.749605,11.774516,11.7304125
2011-07-21,11.790115,11.802628,11.767139,11.751016,11.78155,11.731043,11.680696
2011-07-22,11.795659,11.760248,11.768993,11.732896,11.7286825,11.699044,11.71711
2011-07-24,11.785627,11.767527,11.790784,11.738559,11.713738,11.724562,11.711034
2011-07-25,11.759723,11.7793,11.720822,11.742589,11.7303915,11.677,11.718249
2011-07-26,11.7176695,11.746938,11.775799,11.732236,11.690382,11.714444,11.700925
2011-07-27,11.71111,11.713935,11.717222,11.708562,11.707599,11.69436,11.694541
2011-07-28,11.721795,11.721322,11.7345295,11.658144,11.695866,11.678939,11.701346
2011-07-29,11.690481,11.709913,11.712249,11.6961355,11.687746,11.675917,11.694612
2011-07-31,11.700276,11.711783,11.713158,11.699537,11.698908,11.687548,11.702142
2011-08-01,11.718207,11.745439,11.6912775,11.691459,11.683332,11.698616,11.694822
2011-08-02,11.689164,11.694443,11.682082,11.694804,11.690323,11.711717,11.702611
2011-08-03,11.689861,11.698317,11.712842,11.687622,11.69727,11.712275,11.694727
2011-08-04,11.695059,11.7156725,11.685141,11.6989975,11.695943,11.724251,11.703103
2011-08-05,11.698185,11.694656,11.7035,11.694786,11.690782,11.719863,11.694533
2011-08-07,11.701482,11.695207,11.689843,11.705928,11.699907,11.722758,11.703693
2011-08-08,11.688454,11.687718,11.69458,11.687019,11.683404,11.71011,11.694555
2011-08-09,11.693406,11.694485,11.697827,11.700623,11.698046,11.695354,11.685697
2011-08-10,11.696831,11.697152,11.681013,11.695844,11.704577,11.701199,11.671836
2011-08-11,11.705478,11.708542,11.710207,11.694659,11.686602,11.729536,11.733386
2011-08-12,11.700701,11.691455,11.710323,11.679996,11.71296,11.725275,11.734745
2011-08-14,11.694986,11.721857,11.708138,11.724794,11.744677,11.741785,11.757604
2011-08-15,11.691183,11.696388,11.708744,11.728512,11.751912,11.754431,11.779779
2011-08-16,11.691662,11.728775,11.739911,11.717887,11.714228,11.776834,11.7767515
2011-08-17,11.729462,11.754566,11.730077,11.742611,11.751403,11.7767,11.763844
2011-08-18,11.701236,11.728733,11.723788,11.769683,11.786588,11.790392,11.786585
2011-08-19,11.729926,11.753483,11.766592,11.770261,11.797118,11.79658,11.839843
2011-08-21,11.75151,11.773983,11.771308,11.7603035,11.802308,11.834605,11.952341
2011-08-22,11.731152,11.791361,11.783145,11.815533,11.844175,11.955046,12.0050335
2011-08-23,11.779984,11.77061,11.803801,11.828621,11.93617,12.025556,12.074906
2011-08-24,11.798879,11.823723,11.816077,11.93917,12.00913,12.069834,12.182647
2011-08-25,11.803928,11.814646,11.951036,11.996,12.059873,12.174475,12.194673
2011-08-26,11.809305,11.964514,11.993564,12.065719,12.18355,12.204797,12.247632
2011-08-28,11.944953,12.007992,12.071108,12.183042,12.225064,12.252873,12.243714
2011-08-29,12.005763,12.067683,12.200409,12.198563,12.229963,12.257886,12.279617
2011-08-30,12.076745,12.192043,12.193711,12.22811,12.2754345,12.265387,12.286485
