,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD
2011-04-01,1.5953968,1.6023875,1.6029494,1.5933026,1.5975975,1.5991757,1.5942242
2011-04-03,1.5899588,1.6021005,1.600415,1.604064,1.601828,1.6026707,1.6017245
2011-04-04,1.6046436,1.599864,1.6011927,1.5915427,1.5994176,1.6018648,1.5949541
2011-04-05,1.6060317,1.5996331,1.6001316,1.6009588,1.6007178,1.5977302,1.5963349
2011-04-06,1.603734,1.5987624,1.5980114,1.5994754,1.5950474,1.5942888,1.5985591
2011-04-07,1.6022952,1.6001425,1.599958,1.5949788,1.5946021,1.5965768,1.5973576
2011-04-08,1.6008393,1.6009758,1.5962903,1.5959226,1.5998986,1.5968997,1.5918267
2011-04-10,1.6023484,1.5961227,1.594147,1.5991551,1.596693,1.5935612,1.5863198
2011-04-11,1.5952967,1.5950786,1.595325,1.5936812,1.5918907,1.585877,1.5721107
2011-04-12,1.595414,1.5967404,1.5957907,1.5922425,1.5861834,1.5713451,1.5687611
2011-04-13,1.5972975,1.5951895,1.5900805,1.5867414,1.5739894,1.5698721,1.5653076
2011-04-14,1.5925502,1.5886468,1.5878973,1.5724579,1.5702347,1.5655534,1.5607713
2011-04-15,1.5916063,1.5893731,1.572922,1.5704923,1.5667877,1.5644327,1.5608059
2011-04-17,1.5858364,1.5721874,1.5701296,1.5656176,1.5608594,1.5621799,1.5627929
2011-04-18,1.5718848,1.5712605,1.5639787,1.5618992,1.5598929,1.558264,1.555459
2011-04-19,1.5686216,1.5636098,1.5594044,1.5569192,1.5646962,1.5547651,1.5589103
2011-04-20,1.5653363,1.5605401,1.5654012,1.5635915,1.5530663,1.5543119,1.5646983
2011-04-21,1.5656619,1.5592444,1.5555899,1.5512427,1.5608011,1.5522614,1.5491314
2011-04-24,1.5621642,1.5625826,1.5640763,1.5486364,1.556566,1.5555403,1.5540186
2011-04-25,1.5588971,1.5623428,1.5622454,1.5564032,1.554466,1.5489116,1.5587404
2011-04-26,1.5601465,1.5556595,1.5550263,1.5556912,1.5491949,1.5550759,1.5525639
