,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP
2011-04-01,877.5417,878.2504,879.07764,879.65717,880.28485,881.2075,881.92706
2011-04-03,878.24115,879.05743,879.6455,880.2948,881.2053,881.9425,882.6348
2011-04-04,879.0827,879.6574,880.28467,881.1818,881.9387,882.62836,883.06647
2011-04-05,879.64435,880.2828,881.1776,881.9279,882.6244,883.074,883.25616
2011-04-06,880.3132,881.19037,881.9446,882.6192,883.0777,883.25653,883.8594
2011-04-07,881.19904,881.93115,882.63806,883.0752,883.248,883.84314,883.8723
2011-04-08,881.93445,882.63055,883.0675,883.2672,883.8575,883.8584,885.5049
2011-04-10,882.6222,883.07965,883.25446,883.874,883.8726,885.5228,885.7972
2011-04-11,883.0676,883.24347,883.8415,883.8712,885.4677,885.7949,886.635
2011-04-12,883.2552,883.8656,883.8766,885.4851,885.7872,886.6235,887.09894
2011-04-13,883.86096,883.86957,885.4488,885.78656,886.6145,887.0867,887.1709
2011-04-14,883.89594,885.45056,885.7939,886.6418,887.08124,887.1777,888.71375
2011-04-15,885.48596,885.7965,886.6257,887.1066,887.1654,888.6796,888.84595
2011-04-17,885.78937,886.6201,887.0876,887.17236,888.72577,888.84625,888.9336
2011-04-18,886.62915,887.07654,887.17816,888.6883,888.8397,888.93494,889.7746
2011-04-19,887.0953,887.1782,888.6934,888.8419,888.9189,889.7879,890.6952
2011-04-20,887.1781,888.6991,888.8683,888.9249,889.7963,890.711,890.8289
2011-04-21,888.6885,888.84424,888.9283,889.786,890.684,890.84406,891.19464
2011-04-24,888.8379,888.9295,889.7974,890.7118,890.83594,891.187,893.18976
2011-04-25,888.9114,889.78705,890.71497,890.831,891.1845,893.1251,893.5861
2011-04-26,889.8009,890.7123,890.83905,891.1884,893.1498,893.60297,894.6833
2011-04-27,890.737,890.84686,891.1955,893.14825,893.61066,894.6684,895.5478
2011-04-28,890.84,891.1866,893.1988,893.6199,894.6723,895.5465,896.7096
2011-04-29,891.20703,893.15,893.6233,894.6865,895.5401,896.6953,897.73804
2011-05-01,893.1759,893.6254,894.6879,895.54456,896.7023,897.7011,898.0005
2011-05-02,893.5993,894.6952,895.51196,896.7079,897.71954,897.9909,900.40173
2011-05-03,894.664,895.5813,896.70264,897.7043,898.0362,900.3543,905.76044
2011-05-04,895.5183,896.7161,897.73737,898.0238,900.4047,905.7147,906.84174
