,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY
2011-04-01,83.98222,84.00311,83.99882,83.99961,83.99162,83.99645,84.035614
2011-04-03,83.984245,84.00267,83.98843,83.99555,83.9973,84.0317,84.06779
2011-04-04,84.00534,83.97735,83.99918,83.99211,84.02026,84.06123,84.22558
2011-04-05,83.98143,84.02286,83.98814,84.02385,84.065186,84.22873,84.29861
2011-04-06,83.983696,84.02398,84.019646,84.04735,84.23442,84.273865,84.371666
2011-04-07,84.006805,84.018394,84.059235,84.18939,84.36219,84.36919,84.393074
2011-04-08,84.02188,84.029434,84.21799,84.31736,84.381226,84.42438,84.53995
2011-04-10,84.05489,84.2213,84.31983,84.349594,84.427376,84.48861,84.57579
2011-04-11,84.205734,84.303604,84.3582,84.43825,84.51452,84.58164,84.71006
2011-04-12,84.27554,84.3366,84.37799,84.48341,84.60255,84.761154,84.969315
2011-04-13,84.365005,84.42929,84.51383,84.55173,84.73465,84.968254,85.21229
2011-04-14,84.40302,84.50146,84.60384,84.754074,84.96619,85.19024,85.32208
2011-04-15,84.52599,84.5647,84.70308,84.96931,85.14683,85.298996,85.39438
2011-04-17,84.59656,84.72238,84.97387,85.18604,85.30324,85.42232,85.53734
2011-04-18,84.73328,84.99348,85.182686,85.33442,85.35812,85.49262,85.66996
2011-04-19,84.97924,85.169685,85.38168,85.381714,85.53177,85.660904,85.90587
2011-04-20,85.19545,85.346954,85.375694,85.55159,85.63119,85.89419,85.86881
2011-04-21,85.3323,85.45101,85.5302,85.68156,85.89835,85.99888,86.121346
2011-04-24,85.36918,85.560005,85.67251,85.88739,85.8741,86.08386,86.10505
2011-04-25,85.528656,85.66209,85.93992,85.88243,86.09462,86.126816,86.121864
2011-04-26,85.706116,85.8559,85.8933,86.10641,86.11784,86.109764,86.104935
2011-04-27,85.931915,85.93691,86.04314,86.12549,86.08689,86.10794,86.122375
2011-04-28,85.919266,86.11611,86.068245,86.070885,86.095215,86.10057,86.10469
