,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF
2011-03-22,0.6936739,0.69739956,0.6921952,0.69271123,0.69157934,0.6856943,0.6880016
2011-03-23,0.6960585,0.69242454,0.6893712,0.68855274,0.6887393,0.6860651,0.6875855
2011-03-24,0.69359356,0.69247395,0.6901486,0.69158345,0.6889963,0.68918943,0.6880536
2011-03-25,0.6921718,0.68289745,0.6912263,0.6897596,0.68675864,0.6901587,0.6899948
2011-03-27,0.6887073,0.6892706,0.6861889,0.68809116,0.68421924,0.6862482,0.6878395
2011-03-28,0.68882716,0.6832118,0.68193024,0.68203825,0.683995,0.68150723,0.6831254
2011-03-29,0.69045913,0.6912389,0.68934417,0.689862,0.69063056,0.68923384,0.69272494
2011-03-30,0.6887375,0.6884688,0.6882384,0.6877223,0.6893425,0.6894692,0.6889968
2011-03-31,0.6900766,0.68863064,0.68859524,0.6873849,0.6908258,0.68829644,0.6874439
2011-04-01,0.6895808,0.6886659,0.6916342,0.68949056,0.6876763,0.68811655,0.6892284
2011-04-03,0.68554014,0.6868532,0.68584657,0.68504536,0.68593884,0.68926954,0.6871038
2011-04-04,0.69001853,0.68847764,0.6889394,0.68802905,0.6884086,0.6876292,0.6902572
2011-04-05,0.68867445,0.6884473,0.685935,0.68647873,0.6892756,0.68718594,0.6871294
2011-04-06,0.68942595,0.69108367,0.6907264,0.68856174,0.6889092,0.6913613,0.6925124
2011-04-07,0.6855087,0.68612075,0.687982,0.688487,0.6876339,0.68759185,0.6871877
2011-04-08,0.69127053,0.6891018,0.6875899,0.68685585,0.68810505,0.68943274,0.6870296
2011-04-10,0.6875552,0.6862017,0.68464386,0.6887612,0.6861255,0.68535954,0.68851745
2011-04-11,0.6892843,0.68935984,0.68866193,0.68781054,0.68834025,0.69179165,0.68950784
2011-04-12,0.6879393,0.68969285,0.6904685,0.68889177,0.69015443,0.69042337,0.69064134
2011-04-13,0.68799496,0.68998045,0.6879995,0.6906663,0.6875015,0.6906701,0.69163954
2011-04-14,0.6871824,0.6873137,0.68824005,0.6892171,0.69007474,0.6924492,0.69331557
2011-04-15,0.6865098,0.68833476,0.6896761,0.6894303,0.6908456,0.6934399,0.6935107
2011-04-17,0.68959326,0.68867093,0.68961865,0.6904013,0.6938422,0.698039,0.6989597
2011-04-18,0.68919843,0.68960303,0.6912099,0.69376934,0.6967443,0.69924796,0.7043562
2011-04-19,0.6913855,0.6921942,0.69603944,0.6995078,0.70346254,0.7072214,0.7081245
2011-04-20,0.69464755,0.6935059,0.6991867,0.70927244,0.6995741,0.6932714,0.6968484
2011-04-21,0.6921941,0.6958488,0.69133,0.7011253,0.6781584,0.7014145,0.6885272
2011-04-24,0.6932522,0.6844207,0.687076,0.68753743,0.69508636,0.67644995,0.70351446
2011-04-25,0.7006066,0.70292264,0.705631,0.7067448,0.7033095,0.7067949,0.7051835
2011-04-26,0.7034352,0.7030877,0.7049122,0.70539176,0.7043805,0.7067969,0.70587444
2011-04-27,0.7078018,0.7025871,0.703961,0.7050082,0.7044798,0.7029722,0.7066971
2011-04-28,0.7047678,0.7080612,0.7121969,0.7114377,0.7137197,0.7031748,0.7066709
2011-04-29,0.69969416,0.7120172,0.7059619,0.7066809,0.7040359,0.7100335,0.7045664
2011-05-01,0.7046094,0.7035421,0.70471257,0.70393014,0.70496655,0.7069694,0.70545375
2011-05-02,0.7069102,0.7055384,0.70691746,0.7055466,0.7063382,0.7045313,0.7059084
2011-05-03,0.7051406,0.7077093,0.70658875,0.7061436,0.70639944,0.7071047,0.70665616
2011-05-04,0.7051405,0.70279926,0.7033596,0.70450175,0.7052157,0.70570815,0.7046499
2011-05-05,0.7045419,0.7036719,0.70291793,0.70276237,0.7033869,0.7054798,0.7021011
2011-05-06,0.706823,0.70327055,0.7002545,0.7055851,0.7068052,0.7037052,0.702765
2011-05-08,0.70481396,0.7059237,0.70904636,0.702828,0.69826233,0.7025674,0.70378655
2011-05-09,0.70616233,0.7065356,0.70235515,0.70574474,0.7053442,0.70552814,0.7070256
2011-05-10,0.7057024,0.7043143,0.7071066,0.7052926,0.7058246,0.70676446,0.70634544
