,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD
2011-03-22,0.9853178,0.9825407,0.98376966,0.980923,0.98227775,0.9780244,0.9793716
2011-03-23,0.98189485,0.9861405,0.97562236,0.9797174,0.9833933,0.98193055,0.98330814
2011-03-24,0.9808908,0.9760344,0.9797003,0.98011947,0.9802394,0.98335963,0.9772664
2011-03-25,0.98390543,0.98097515,0.9818592,0.98344386,0.9803211,0.9789255,0.97937983
2011-03-27,0.981059,0.9820422,0.9793911,0.9793868,0.9789717,0.97752094,0.9809813
2011-03-28,0.97874534,0.9796325,0.9790303,0.9826939,0.982901,0.97900987,0.98035085
2011-03-29,0.9796454,0.9773815,0.981263,0.97777915,0.97812426,0.9765623,0.9770384
2011-03-30,0.9802269,0.97472566,0.978424,0.9750391,0.9753033,0.9739804,0.9756559
2011-03-31,0.97845745,0.9778325,0.97940105,0.98216045,0.975864,0.9765622,0.97456634
2011-04-01,0.9791216,0.9764278,0.97657555,0.97833705,0.97751224,0.9771047,0.97512484
2011-04-03,0.97932684,0.9774108,0.97812873,0.97831243,0.9790169,0.97544557,0.97716933
2011-04-04,0.98686755,0.9764023,0.9848517,0.9836637,0.9841378,0.97483647,0.9775123
2011-04-05,0.97561,0.97682846,0.9731965,0.97494066,0.9774293,0.9731423,0.97425675
2011-04-06,0.97528464,0.9741918,0.97377026,0.9722875,0.97494423,0.9734983,0.97245675
2011-04-07,0.98220134,0.97409475,0.97622097,0.9761822,0.96823967,0.9691954,0.97788584
2011-04-08,0.9780713,0.97783226,0.9740019,0.97168225,0.9718387,0.9745201,0.97463036
2011-04-10,0.98525214,0.9850991,0.98093885,0.981306,0.98179275,0.9841552,0.98140574
2011-04-11,0.96508956,0.96568286,0.9652124,0.96929735,0.9663497,0.96179247,0.96693206
2011-04-12,0.9765502,0.9728545,0.96634305,0.9685142,0.9737158,0.96769834,0.97199005
2011-04-13,0.96726775,0.96772426,0.9745251,0.9682694,0.9713143,0.9709633,0.9683217
2011-04-14,0.9718978,0.97159845,0.9678149,0.9689644,0.96828413,0.9706408,0.97144353
2011-04-15,0.9767959,0.97487736,0.9720684,0.9719878,0.9697113,0.97263575,0.9709822
2011-04-17,0.9750376,0.9724889,0.97205853,0.9728971,0.9719926,0.96966577,0.9707888
2011-04-18,0.97362804,0.97292936,0.9705419,0.9719574,0.9693464,0.97035885,0.9666503
2011-04-19,0.972102,0.9706699,0.97122234,0.968981,0.9694723,0.9664707,0.96641266
2011-04-20,0.97234356,0.9710915,0.97039187,0.9688759,0.9666046,0.96652853,0.966031
2011-04-21,0.9707541,0.9712664,0.96925443,0.9673889,0.9655593,0.965768,0.96424425
2011-04-24,0.97068745,0.9702722,0.9672127,0.96730494,0.965922,0.9652103,0.9660003
2011-04-25,0.96885276,0.96661526,0.9659507,0.9640688,0.9652796,0.96238565,0.96291685
2011-04-26,0.96717966,0.966751,0.9652097,0.9630749,0.9632852,0.9639584,0.9605864
2011-04-27,0.9663586,0.9650456,0.9658497,0.96222085,0.9654527,0.96303064,0.95913893
2011-04-28,0.9646441,0.96630347,0.96322685,0.96236265,0.9616294,0.9590562,0.95964336
2011-04-29,0.96222794,0.961812,0.960693,0.9605229,0.9603704,0.9622289,0.9618082
2011-05-01,0.9640596,0.96117187,0.96121466,0.96280134,0.9586841,0.9599423,0.9603094
2011-05-02,0.96251553,0.9607129,0.9617691,0.96200454,0.9537827,0.9590763,0.95601547
2011-05-03,0.9575737,0.96286654,0.9595091,0.95648754,0.9581711,0.95833075,0.9562949
2011-05-04,0.9656054,0.9624349,0.96562773,0.9639677,0.9650346,0.9650818,0.96213645
2011-05-05,0.9553704,0.95739686,0.9556481,0.96121895,0.9577724,0.9597904,0.9527889
2011-05-06,0.96110606,0.96020246,0.96066105,0.96144855,0.9616411,0.962391,0.96062547
2011-05-08,0.9637116,0.96178114,0.9634564,0.9643603,0.9656609,0.9635152,0.9629047
2011-05-09,0.9625105,0.9599479,0.96010387,0.9624269,0.9591516,0.95768005,0.95855206
2011-05-10,0.9651714,0.9650345,0.96294534,0.9606555,0.96214616,0.96416175,0.9589716
2011-05-11,0.95956916,0.96139,0.9586468,0.9573542,0.95883036,0.9591293,0.9588567
2011-05-12,0.96055794,0.96265405,0.9628861,0.96089137,0.9625138,0.9630873,0.96475685
2011-05-13,0.9591445,0.9568158,0.95682806,0.9597461,0.9525131,0.9599448,0.96017927
2011-05-15,0.96280247,0.96293217,0.9581116,0.9625119,0.9619945,0.96323943,0.9610542
2011-05-16,0.9572891,0.9574137,0.9592651,0.9597833,0.9590972,0.95802194,0.960259
2011-05-17,0.9557371,0.95749784,0.95680094,0.95837665,0.9581523,0.9564899,0.95732313
2011-05-18,0.96242476,0.96100825,0.9615091,0.96088505,0.9591249,0.9620427,0.96383333
2011-05-19,0.9605017,0.9581536,0.9580071,0.95905066,0.95815206,0.9590422,0.9611268
2011-05-20,0.96010756,0.96078056,0.95945084,0.95797646,0.9596847,0.9611491,0.9619409
2011-05-22,0.9582346,0.9607572,0.9580305,0.9619458,0.96098214,0.96027434,0.96764225
2011-05-23,0.9639884,0.96150357,0.9615692,0.9648732,0.9618186,0.96229565,0.9652653
2011-05-24,0.9571974,0.95915914,0.96076864,0.9621317,0.9673584,0.9606056,0.9659975
2011-05-25,0.96023995,0.96103626,0.9609494,0.96778214,0.96047163,0.96099055,0.96264523
2011-05-26,0.96230775,0.9657521,0.96280086,0.9626087,0.9616035,0.9596081,0.965738
2011-05-27,0.9633559,0.96246564,0.96451163,0.9626625,0.9660421,0.9687097,0.9674815
2011-05-29,0.96096975,0.9613019,0.961998,0.9616771,0.9615059,0.9663706,0.96444464
2011-05-30,0.96142113,0.9649019,0.96009934,0.9667251,0.96316415,0.962908,0.96185577
2011-05-31,0.96160614,0.9671321,0.96531284,0.96269906,0.96389425,0.9692691,0.9756995
2011-06-01,0.957096,0.9578694,0.9556848,0.95995986,0.9632669,0.96434355,0.9642222
2011-06-02,0.96852505,0.96321344,0.96851736,0.9656285,0.9711373,0.96440977,0.9668256
2011-06-03,0.9641936,0.9706522,0.9655361,0.968434,0.97119915,0.9705351,0.9725877
2011-06-05,0.9692602,0.9657533,0.964508,0.9683895,0.9722296,0.9690625,0.96952355
2011-06-06,0.9673768,0.9638602,0.971541,0.9672508,0.96946,0.96886456,0.97029775
2011-06-07,0.97035456,0.9727298,0.97430015,0.9693415,0.9766487,0.9644115,0.9691634
2011-06-08,0.9698484,0.9712183,0.97748965,0.9735721,0.97888553,0.96779364,0.97155476
2011-06-09,0.96170986,0.96267974,0.9688232,0.9701478,0.971907,0.97156173,0.9616966
