,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF
2011-03-22,1.5146676,1.5143782,1.5143144,1.511318,1.507513,1.5027027,1.5045776
2011-03-23,1.5072703,1.5141438,1.5122187,1.510018,1.496654,1.5087807,1.4967791
2011-03-24,1.4981759,1.5144768,1.5052595,1.5034246,1.4990509,1.5056444,1.4965204
2011-03-25,1.5055332,1.5029881,1.501056,1.5017043,1.4974878,1.4998846,1.500082
2011-03-27,1.5023947,1.5106604,1.4931319,1.5084317,1.4990782,1.5050184,1.492333
2011-03-28,1.5101331,1.5054343,1.5082855,1.5067648,1.492666,1.4898745,1.4886664
2011-03-29,1.4991841,1.4967102,1.499841,1.4842111,1.4933046,1.4942535,1.489022
2011-03-30,1.5031424,1.5071557,1.497982,1.472844,1.488593,1.4936794,1.486796
2011-03-31,1.5100795,1.4905294,1.4926697,1.5047588,1.4970813,1.4988985,1.4823823
2011-04-01,1.494692,1.4930241,1.4820657,1.4864782,1.4838635,1.4834121,1.4867516
2011-04-03,1.4977384,1.4998912,1.4974754,1.5035068,1.496933,1.4924802,1.4869301
2011-04-04,1.5017209,1.5005012,1.4919949,1.501727,1.4909017,1.4918494,1.4971144
2011-04-05,1.4992292,1.4810721,1.4876146,1.4951451,1.488073,1.4925487,1.4936726
2011-04-06,1.4886286,1.4956,1.4897547,1.4874424,1.4928498,1.4885118,1.4892793
2011-04-07,1.4811099,1.4941417,1.4854199,1.4896514,1.4952645,1.4847853,1.483397
2011-04-08,1.4874241,1.4871597,1.4908397,1.4881161,1.4883684,1.4848082,1.482796
2011-04-10,1.4871922,1.4909674,1.4919425,1.4895825,1.489064,1.4838,1.4830931
2011-04-11,1.4858704,1.4946606,1.4850388,1.4843053,1.4881921,1.4807734,1.4769571
2011-04-12,1.4935582,1.4854573,1.4863602,1.487784,1.491211,1.4888812,1.4821072
2011-04-13,1.4874759,1.4800699,1.4810778,1.4868361,1.4783572,1.4751416,1.4838113
2011-04-14,1.4838847,1.4844631,1.479592,1.4777344,1.4774768,1.4723831,1.4691335
2011-04-15,1.4819843,1.4787328,1.4826734,1.477295,1.4720806,1.4790182,1.4736083
2011-04-17,1.4869839,1.4790695,1.4806218,1.4725754,1.4765319,1.4755793,1.4703579
2011-04-18,1.4818686,1.4762926,1.4736189,1.4755356,1.4743558,1.4733146,1.4710326
2011-04-19,1.4783332,1.472312,1.4805682,1.4726733,1.4771532,1.4779898,1.4714082
2011-04-20,1.4853096,1.4746462,1.4800833,1.4672494,1.4726022,1.4667941,1.4689049
2011-04-21,1.4807987,1.4761299,1.4633961,1.4712774,1.4672831,1.4706217,1.4675633
2011-04-24,1.4706048,1.4777519,1.4698999,1.4686596,1.4685433,1.4657383,1.4651308
2011-04-25,1.4745336,1.4701507,1.4690766,1.4640288,1.4655619,1.4645684,1.4663293
2011-04-26,1.4726444,1.476161,1.4705074,1.4738532,1.4762492,1.4693131,1.466004
2011-04-27,1.4641008,1.4593248,1.462602,1.4646814,1.467119,1.4549091,1.4639528
2011-04-28,1.4670264,1.4655962,1.4671421,1.4640156,1.4623216,1.466317,1.4731017
2011-04-29,1.4673665,1.468107,1.4644029,1.4677281,1.4682213,1.4599057,1.4625045
2011-05-01,1.464042,1.4628663,1.4635979,1.4654663,1.4528137,1.4612242,1.4634199
2011-05-02,1.4730952,1.4659493,1.4642348,1.4668931,1.4661674,1.4607282,1.462061
2011-05-03,1.4630197,1.4646668,1.4696013,1.4550158,1.4658494,1.4643642,1.4591302
2011-05-04,1.4679105,1.468026,1.4646571,1.4635396,1.4591227,1.4593809,1.4582173
2011-05-05,1.4674398,1.4605293,1.464263,1.4626595,1.4594754,1.4638442,1.4569886
2011-05-06,1.4658798,1.4637759,1.4606073,1.4598126,1.4593205,1.4593983,1.4677097
2011-05-08,1.4663688,1.4548073,1.4614695,1.4663413,1.4589497,1.457515,1.4550391
2011-05-09,1.4575138,1.4584928,1.4594703,1.4585339,1.4480941,1.4499127,1.4542364
