,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK
2011-04-12,17.361156,17.352957,17.320932,17.3326,17.301645,17.299137,17.30604
2011-04-13,17.339949,17.333643,17.31736,17.299925,17.304564,17.24971,17.294245
2011-04-14,17.330355,17.314291,17.330597,17.297209,17.287205,17.282272,17.264168
2011-04-15,17.330643,17.308865,17.284248,17.29976,17.273863,17.24308,17.193588
2011-04-17,17.282923,17.281681,17.274002,17.279331,17.228743,17.191507,17.202776
2011-04-18,17.288042,17.287941,17.281006,17.258478,17.20381,17.216753,17.196796
2011-04-19,17.275196,17.259165,17.261189,17.207422,17.194258,17.188349,17.177664
2011-04-20,17.249804,17.261208,17.236984,17.206823,17.165865,17.176891,17.177113
2011-04-21,17.2578,17.257263,17.184607,17.18772,17.195711,17.171167,17.189384
2011-04-24,17.203085,17.201283,17.18053,17.150755,17.146523,17.143978,17.105925
2011-04-25,17.211004,17.20076,17.200813,17.167686,17.183975,17.04609,17.049332
2011-04-26,17.195293,17.165586,17.181086,17.176632,17.082918,17.04235,16.941454
2011-04-27,17.194618,17.16954,17.156153,17.089893,17.024693,16.990126,16.96206
2011-04-28,17.157879,17.153734,17.072289,17.0416,16.913668,16.919958,16.8844
2011-04-29,17.17552,17.084415,17.051937,16.969145,16.931664,16.891407,16.880016
2011-05-01,17.090275,17.053219,16.967115,16.875256,16.907179,16.892841,16.856297
2011-05-02,17.032503,16.918703,16.894474,16.89466,16.90049,16.90405,16.847776
2011-05-03,16.935589,16.907495,16.914858,16.870535,16.867989,16.818111,16.822441
2011-05-04,16.909594,16.92801,16.882725,16.86881,16.897827,16.857372,16.828224
2011-05-05,16.89585,16.869223,16.863699,16.857306,16.85519,16.855532,16.829754
2011-05-06,16.900616,16.878496,16.875734,16.85222,16.84478,16.851389,16.838766
2011-05-08,16.879154,16.883291,16.83529,16.831215,16.831648,16.842485,16.857395
2011-05-09,16.858028,16.861736,16.836,16.874744,16.836525,16.858904,16.816708
2011-05-10,16.83926,16.845951,16.868301,16.843124,16.85887,16.848026,16.83631
2011-05-11,16.849127,16.828102,16.86811,16.850151,16.844194,16.849966,16.852575
2011-05-12,16.834677,16.854576,16.819412,16.83882,16.84734,16.832655,16.860573
2011-05-13,16.845045,16.83971,16.828653,16.845377,16.86252,16.822683,16.836712
2011-05-15,16.852388,16.840612,16.858135,16.775875,16.838722,16.842068,16.856302
2011-05-16,16.85477,16.858345,16.85255,16.853489,16.836264,16.837036,16.860027
2011-05-17,16.8256,16.832077,16.830973,16.849558,16.82173,16.818302,16.836256
2011-05-18,16.836946,16.784166,16.862133,16.831554,16.837437,16.843262,16.834877
2011-05-19,16.843958,16.873846,16.836714,16.834084,16.855598,16.850368,16.859674
2011-05-20,16.863087,16.81817,16.861593,16.851885,16.851007,16.84182,16.843456
2011-05-22,16.828512,16.85075,16.834831,16.848791,16.824972,16.845709,16.839396
2011-05-23,16.83943,16.83589,16.833368,16.832312,16.825008,16.834278,16.872349
2011-05-24,16.830303,16.858469,16.836018,16.839655,16.855413,16.830475,16.816706
2011-05-25,16.880836,16.845484,16.836405,16.846596,16.849703,16.866968,16.868017
2011-05-26,16.84495,16.846844,16.855019,16.855665,16.83711,16.914852,16.903204
2011-05-27,16.864107,16.84734,16.846357,16.89495,16.868984,16.933662,16.984629
2011-05-29,16.848236,16.882685,16.867416,16.877464,16.963947,17.004469,16.967232
2011-05-30,16.857517,16.839859,16.862728,16.929796,16.961697,16.949148,16.966196
2011-05-31,16.86875,16.870768,16.921305,16.97578,16.962866,16.965673,16.990091
2011-06-01,16.879045,16.924343,16.925602,16.985615,16.972427,16.967289,16.974667
2011-06-02,16.955112,16.966425,16.975082,16.95407,16.997675,16.993248,16.951298
