,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF
2011-03-31,0.9482096,0.94846714,0.9479947,0.9474952,0.94782335,0.9460137,0.9469628
2011-04-01,0.9505626,0.95047414,0.9506469,0.95077634,0.94974333,0.9498141,0.950037
2011-04-03,0.9476995,0.94718504,0.9478785,0.94704425,0.94670033,0.94846773,0.948985
2011-04-04,0.9512095,0.9465656,0.9474393,0.94899654,0.9486607,0.94870156,0.95256436
2011-04-05,0.9479968,0.94435906,0.94288903,0.94472164,0.9398875,0.945305,0.9404218
2011-04-06,0.9469342,0.9465785,0.94509995,0.9491221,0.9505255,0.9403654,0.9412097
2011-04-07,0.94942784,0.94982564,0.948963,0.9507061,0.95056134,0.94856864,0.9463639
2011-04-08,0.9488224,0.94853723,0.9502641,0.9509119,0.95167935,0.94920397,0.9505325
2011-04-10,0.9491615,0.9501691,0.95198274,0.9516843,0.95165694,0.94720984,0.9494139
2011-04-11,0.9512976,0.955519,0.9522797,0.949883,0.9507556,0.95231414,0.94246745
2011-04-12,0.9523389,0.9509911,0.9499613,0.94592446,0.9501696,0.94699407,0.9462064
2011-04-13,0.9520283,0.949242,0.94915026,0.94925594,0.94873124,0.9439697,0.94420135
2011-04-14,0.94705415,0.94712406,0.9509663,0.9475996,0.9468427,0.94309604,0.9399426
2011-04-15,0.94954073,0.9516882,0.94719946,0.94575334,0.9438815,0.9416015,0.93927
2011-04-17,0.94782317,0.9471607,0.94696563,0.9449347,0.94145614,0.938563,0.9367856
2011-04-18,0.9434923,0.946429,0.940379,0.940138,0.9395961,0.94148046,0.93419987
2011-04-19,0.94307876,0.9430218,0.93869835,0.94081044,0.934536,0.93517417,0.9371318
2011-04-20,0.9385247,0.93447316,0.93543255,0.93767357,0.93259823,0.9315309,0.9239656
2011-04-21,0.94273126,0.934957,0.9428295,0.93725014,0.93669176,0.93407667,0.93626267
2011-04-24,0.937027,0.93963766,0.93514717,0.93585545,0.9344765,0.9357796,0.928658
2011-04-25,0.931125,0.93340504,0.92823243,0.92979085,0.9257499,0.9291259,0.9260498
2011-04-26,0.93657184,0.93232954,0.93672645,0.932977,0.9345172,0.930724,0.9363871
2011-04-27,0.93789816,0.93154705,0.9367081,0.93158066,0.93565667,0.9308412,0.92728984
2011-04-28,0.93301654,0.93539774,0.9342719,0.9310299,0.93055654,0.9300013,0.9336069
2011-04-29,0.9348322,0.9301044,0.93058217,0.93570644,0.9270764,0.93335915,0.9303095
2011-05-01,0.93131465,0.93238974,0.9363074,0.93208677,0.93907684,0.93077445,0.933534
2011-05-02,0.93696404,0.93016064,0.92812467,0.93464607,0.9339242,0.93377435,0.9316425
2011-05-03,0.93590224,0.9339833,0.9298177,0.9279707,0.9338365,0.9269932,0.930496
2011-05-04,0.9329101,0.93365884,0.9318227,0.9337099,0.93185675,0.93295896,0.9342589
2011-05-05,0.9282651,0.9245982,0.92672014,0.92857206,0.92655206,0.92544806,0.9269776
2011-05-06,0.9353615,0.93009686,0.9329529,0.9317491,0.93448734,0.9309304,0.92919403
2011-05-08,0.9305505,0.9343661,0.92671955,0.92974705,0.9346721,0.9292469,0.92803454
2011-05-09,0.9356416,0.9314732,0.93384206,0.9326236,0.9272454,0.92593527,0.9265549
2011-05-10,0.92865056,0.9240449,0.9313173,0.9328656,0.93563104,0.9256749,0.92461044
2011-05-11,0.92672837,0.9252027,0.9247638,0.9283639,0.9299389,0.92237103,0.9205236
