,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP
2011-03-31,1075.7085,1083.2773,1080.3242,1078.9702,1081.5734,1085.3491,1087.3048
2011-04-01,1089.7343,1097.2837,1094.3119,1091.9962,1095.462,1099.3562,1101.2935
2011-04-03,1103.7379,1111.269,1107.3352,1105.8833,1109.4663,1113.3425,1115.2631
2011-04-04,1117.7207,1124.2909,1121.2211,1119.8854,1123.4502,1127.3096,1129.213
2011-04-05,1130.7408,1138.1758,1135.2216,1133.8667,1137.4143,1141.2592,1142.198
2011-04-06,1144.624,1152.1744,1149.2014,1147.8286,1151.3615,1154.2411,1156.0536
2011-04-07,1158.621,1166.1526,1163.1621,1161.7733,1164.3414,1168.0925,1170.0237
2011-04-08,1172.597,1180.1116,1177.105,1174.7513,1178.1888,1182.0618,1183.9749
2011-04-10,1186.5537,1194.0527,1190.0814,1188.597,1192.156,1196.0117,1197.9086
2011-04-11,1200.4928,1207.0276,1203.927,1202.5627,1206.1061,1209.9436,1211.8273
2011-04-12,1213.4661,1220.8723,1217.8917,1216.5112,1220.0363,1223.8604,1224.7817
2011-04-13,1227.3097,1234.8357,1231.8386,1230.441,1233.9508,1236.8136,1238.6063
2011-04-14,1241.2717,1248.7815,1245.7688,1244.3542,1246.9028,1250.6376,1252.5525
2011-04-15,1255.2158,1262.7115,1259.6805,1257.3055,1260.7258,1264.582,1266.4822
2011-04-17,1269.1453,1276.6223,1272.6313,1271.1278,1274.6692,1278.5115,1280.3861
2011-04-18,1283.055,1289.5725,1286.453,1285.0697,1288.5972,1292.4192,1293.3402
2011-04-19,1296.004,1303.394,1300.3944,1298.9968,1302.507,1305.3727,1305.265
2011-04-20,1309.8252,1317.3346,1314.3206,1312.9069,1315.4567,1317.2968,1318.1243
2011-04-21,1323.7648,1331.2598,1328.2303,1325.8551,1327.3809,1330.1556,1331.1674
2011-04-24,1337.6888,1345.1697,1341.1785,1337.7766,1340.2389,1343.1981,1344.2524
2011-04-25,1351.5989,1358.1177,1353.0978,1350.6343,1353.2805,1356.2825,1357.3801
