,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF
2011-04-01,1.2885041,1.289564,1.2881322,1.2886372,1.2882047,1.2877481,1.2918869
2011-04-03,1.2882036,1.2875584,1.2883174,1.2892611,1.2884518,1.2927872,1.2925617
2011-04-04,1.28855,1.2896813,1.2887827,1.288715,1.2914419,1.2920035,1.2926499
2011-04-05,1.2881515,1.2881165,1.2883627,1.2911899,1.2922105,1.2930022,1.2927158
2011-04-06,1.2882333,1.2892152,1.2915026,1.2924147,1.2928982,1.2930835,1.2942781
2011-04-07,1.2888327,1.2915145,1.2920238,1.2931252,1.2934982,1.2929658,1.2932028
2011-04-08,1.2912704,1.2932394,1.2920804,1.2937187,1.2933801,1.294467,1.2938751
2011-04-10,1.2917154,1.2928562,1.2936449,1.29329,1.2943252,1.2937816,1.2943714
2011-04-11,1.2921042,1.2932037,1.2929883,1.2938877,1.2936133,1.293969,1.2938908
2011-04-12,1.2932044,1.29373,1.2933168,1.2936769,1.2942201,1.2938286,1.293161
2011-04-13,1.2934555,1.2944316,1.294349,1.2942153,1.2943242,1.2937603,1.2936401
2011-04-14,1.2936624,1.2941589,1.2941515,1.2940998,1.2933935,1.2931645,1.2934353
2011-04-15,1.2940878,1.2932491,1.2940462,1.2939037,1.2933071,1.2928157,1.2915728
2011-04-17,1.2941309,1.293778,1.2940655,1.2935803,1.2942532,1.2932746,1.2920017
2011-04-18,1.2936022,1.2936808,1.2938949,1.2936411,1.2938819,1.2927896,1.2933878
2011-04-19,1.2938087,1.2928205,1.2933645,1.2937919,1.2924618,1.2923942,1.2914871
2011-04-20,1.2935132,1.2934992,1.2939322,1.291919,1.2919458,1.2920554,1.292089
2011-04-21,1.2932132,1.2929895,1.2914455,1.2925397,1.2923646,1.2915695,1.291966
2011-04-24,1.2930204,1.2918427,1.2927786,1.2917967,1.2922152,1.2913612,1.2918804
2011-04-25,1.291834,1.2924888,1.2927824,1.291393,1.2915002,1.291682,1.2922301
2011-04-26,1.2929682,1.2931755,1.2921236,1.2907338,1.2916979,1.2926818,1.2929238
2011-04-27,1.2914265,1.2923025,1.2916329,1.2925444,1.2916251,1.2931718,1.2910348
2011-04-28,1.2924064,1.291957,1.2908053,1.2918307,1.2902234,1.2918956,1.2917764
2011-04-29,1.290781,1.2903268,1.2922443,1.2921572,1.291438,1.2922615,1.2912229
2011-05-01,1.2933936,1.2918037,1.2921529,1.2925955,1.2927399,1.2919397,1.2917396
2011-05-02,1.2919254,1.2915899,1.2922591,1.2918972,1.2919493,1.292063,1.2931097
2011-05-03,1.2916263,1.2915667,1.2924347,1.2910656,1.2918913,1.2921817,1.2910687
2011-05-04,1.2915374,1.2915723,1.2936332,1.2916954,1.2925183,1.2915345,1.2921562
2011-05-05,1.2925193,1.2927722,1.29163,1.2928498,1.2920514,1.2907212,1.2916417
2011-05-06,1.2920872,1.2915037,1.2921506,1.2913021,1.2916737,1.2907254,1.2901481
2011-05-08,1.2925113,1.291889,1.2918394,1.2918751,1.2909625,1.2908118,1.2903504
2011-05-09,1.2922559,1.2920157,1.291495,1.2903272,1.2904174,1.2904816,1.2890989
2011-05-10,1.2916814,1.2909173,1.2897927,1.2896737,1.2890885,1.2890756,1.2879505
2011-05-11,1.2909452,1.2902035,1.2899299,1.2895176,1.2862452,1.2875713,1.2860322
2011-05-12,1.2902358,1.289556,1.2884394,1.2897234,1.2870718,1.2870721,1.2849107
2011-05-13,1.2893012,1.2890608,1.2890494,1.2883434,1.2865131,1.2873768,1.2837912
2011-05-15,1.2908257,1.2873034,1.2872077,1.2858778,1.2857615,1.2844554,1.2836312
2011-05-16,1.2889704,1.2879796,1.2861286,1.2854005,1.2847445,1.2835505,1.2828832
2011-05-17,1.289194,1.28539,1.2858164,1.2849032,1.2842898,1.2824633,1.2811118
2011-05-18,1.286587,1.285704,1.2827505,1.2844409,1.2820728,1.2814088,1.2783881
2011-05-19,1.2848296,1.2852188,1.2851855,1.2826263,1.2801832,1.2793062,1.2784759
2011-05-20,1.2851614,1.284334,1.2828771,1.2808014,1.278312,1.2795141,1.2778076
2011-05-22,1.28393,1.2834628,1.2808694,1.2808349,1.2784326,1.2783148,1.2687788
2011-05-23,1.282297,1.2811923,1.2797794,1.2786257,1.276129,1.2701719,1.2663333
2011-05-24,1.2812197,1.2787939,1.2788918,1.2781664,1.2708559,1.2657694,1.2630172
2011-05-25,1.2790052,1.2788385,1.2788999,1.2688051,1.2649176,1.2622585,1.2619208
2011-05-26,1.2780915,1.2748034,1.2695949,1.2656974,1.2627243,1.2615726,1.2597345
2011-05-27,1.2775705,1.2707211,1.2651905,1.262829,1.2628,1.2590944,1.2609147
2011-05-29,1.2697124,1.2657354,1.2619777,1.2611088,1.2611283,1.2617054,1.2602478
2011-05-30,1.2661321,1.2644231,1.2622232,1.2613896,1.2611984,1.2598481,1.2597249
2011-05-31,1.2621602,1.2614303,1.2615062,1.2600092,1.2586253,1.2574036,1.2568134
2011-06-01,1.2625288,1.2610527,1.2603943,1.2593609,1.2603761,1.257367,1.2564931
2011-06-02,1.2619148,1.2619451,1.2603574,1.2589837,1.2572298,1.2547302,1.2545937
2011-06-03,1.2603828,1.2605239,1.2576622,1.2556037,1.2560017,1.25548,1.2547622
2011-06-05,1.2587571,1.257623,1.2577329,1.2545066,1.2546632,1.2541333,1.2521311
2011-06-06,1.2608155,1.25798,1.2547272,1.2543836,1.2545048,1.25283,1.2518058
2011-06-07,1.2549616,1.2553121,1.2545555,1.2533481,1.2531132,1.2512208,1.2396903
2011-06-08,1.2563728,1.2554687,1.2542925,1.2530594,1.252901,1.2410272,1.2398336
2011-06-09,1.2543358,1.2540878,1.2541986,1.2527305,1.2403009,1.2396241,1.2398162
2011-06-10,1.2547387,1.2540818,1.2533993,1.240729,1.2402865,1.2390145,1.2304537
2011-06-12,1.2543118,1.2528886,1.2413081,1.238128,1.2370857,1.2310277,1.2285742
2011-06-13,1.2523615,1.2409482,1.2397245,1.2391028,1.2303408,1.2278951,1.2256485
2011-06-14,1.2409084,1.2382683,1.2372831,1.2303565,1.2273536,1.2262955,1.2255831
2011-06-15,1.2396982,1.2387985,1.2315488,1.2274231,1.2274088,1.2251058,1.2226548
2011-06-16,1.2378862,1.231541,1.2269684,1.2260264,1.2261822,1.2222741,1.2222189
2011-06-17,1.2317255,1.2267916,1.2273148,1.2255374,1.2237954,1.2235701,1.220219
2011-06-19,1.2283247,1.2266448,1.2250154,1.2243222,1.219904,1.2219145,1.2219697
2011-06-20,1.2252648,1.2257601,1.2225488,1.2215713,1.2210737,1.2186021,1.2203127
2011-06-21,1.2249815,1.2244859,1.2218691,1.221366,1.2204356,1.2184018,1.2183546
2011-06-22,1.222958,1.2213031,1.2239621,1.2208182,1.2196269,1.2183317,1.2172554
2011-06-23,1.2207034,1.2201653,1.2197927,1.2203577,1.2196844,1.2168922,1.2166452
2011-06-24,1.2213049,1.2194511,1.2197198,1.2187283,1.2170687,1.2184505,1.2160596
2011-06-26,1.2207943,1.2199025,1.2190373,1.2172394,1.2151142,1.2171175,1.2153386
2011-06-27,1.2186859,1.2178731,1.2177652,1.2161756,1.215442,1.2161772,1.2152689
2011-06-28,1.2193962,1.2183989,1.2166709,1.2161531,1.2174467,1.2150495,1.2161219
2011-06-29,1.2182482,1.2180668,1.2161645,1.2147627,1.2157277,1.2153583,1.2159259
2011-06-30,1.2175792,1.2172644,1.216242,1.215896,1.2169857,1.2162342,1.2147679
2011-07-01,1.2159257,1.2158911,1.21625,1.2168144,1.2166269,1.2159439,1.2150433
2011-07-03,1.2161618,1.2161422,1.2157246,1.2160493,1.2163739,1.2167838,1.214286
2011-07-04,1.2158896,1.2158526,1.215675,1.215419,1.215332,1.2148114,1.2137545
2011-07-05,1.2150445,1.215427,1.215719,1.214082,1.2151853,1.2126871,1.2132955
2011-07-06,1.2150879,1.2161815,1.2159221,1.2141296,1.2141085,1.2119015,1.2131106
2011-07-07,1.2161157,1.2173436,1.216653,1.2149636,1.2133143,1.211783,1.2105997
2011-07-08,1.2156202,1.2151065,1.2145462,1.2138062,1.2134852,1.2104309,1.2111081
2011-07-10,1.215376,1.2153281,1.2137871,1.2128031,1.2098892,1.2104441,1.206752
2011-07-11,1.2149153,1.2134483,1.2117947,1.2105353,1.2089244,1.2089309,1.2076511
2011-07-12,1.2124375,1.2125531,1.2103591,1.2096988,1.2101619,1.2088441,1.2078599
2011-07-13,1.2117434,1.2116736,1.2084008,1.208774,1.208328,1.2065524,1.2068459
2011-07-14,1.210817,1.2083119,1.209153,1.2079324,1.2087593,1.2072562,1.2056197
