,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR
2011-04-01,919.4147,871.7233,945.8303,921.0486,854.70496,849.53357,927.0307
2011-04-03,933.28485,885.5584,958.7558,934.8313,868.561,863.3694,940.90894
2011-04-04,947.1408,898.44617,972.5519,948.7412,882.40283,877.1996,954.76514
2011-04-05,960.052,912.2025,986.46716,962.6302,896.2388,891.0155,967.6796
2011-04-06,973.8334,926.0775,1000.37024,976.49866,910.0606,903.8949,981.4629
2011-04-07,987.74194,939.93353,1014.2516,990.35474,922.94507,917.6384,995.37274
2011-04-08,1001.62744,953.7821,1028.1113,1003.2654,936.69293,931.4972,1009.263
2011-04-10,1015.4929,967.61804,1041.0282,1017.0464,950.5591,945.3509,1023.1322
2011-04-11,1029.3489,980.51245,1054.8125,1030.954,964.4152,959.187,1036.9882
2011-04-12,1042.2585,994.2737,1068.7224,1044.8386,978.25604,973.02075,1049.8988
2011-04-13,1056.0378,1008.15735,1082.6174,1058.7031,992.09204,985.90753,1063.68
2011-04-14,1069.9434,1022.01953,1096.489,1072.5592,1004.9822,999.6633,1077.588
2011-04-15,1083.8267,1035.8756,1110.3452,1085.4679,1018.741,1013.5371,1091.473
2011-04-17,1097.6892,1049.7126,1123.2573,1099.2471,1032.621,1027.3934,1105.3378
2011-04-18,1111.5454,1062.6116,1137.039,1113.1519,1046.4786,1041.2411,1118.258
2011-04-19,1124.4531,1076.3818,1150.9487,1127.0349,1060.3306,1054.1461,1130.1545
2011-04-20,1138.232,1090.2693,1164.8346,1140.8965,1073.2374,1066.0261,1142.9879
2011-04-21,1152.1359,1104.137,1178.7013,1153.815,1085.1195,1078.8455,1156.0066
2011-04-24,1166.0177,1117.9929,1191.6224,1165.7086,1097.9412,1091.8506,1169.0687
2011-04-25,1179.8783,1130.9032,1203.5192,1178.5398,1110.9479,1104.8999,1182.1714
2011-04-26,1192.7953,1142.7891,1216.3535,1191.5566,1123.9989,1117.991,1194.3468
2011-04-27,1204.6885,1155.6146,1229.373,1204.6177,1137.0916,1130.1538,1206.4785
2011-04-28,1217.519,1168.6249,1242.4359,1217.7192,1149.2554,1142.276,1219.6938
2011-04-29,1230.5352,1181.6794,1255.5394,1229.8939,1161.3788,1155.4824,1233.0724
2011-05-01,1243.5956,1194.7755,1267.715,1242.0245,1174.5868,1168.853,1246.4731
2011-05-02,1256.6967,1206.9432,1279.8469,1255.2394,1187.9585,1182.2454,1259.8945
2011-05-03,1268.8707,1219.0688,1293.0626,1268.6173,1201.352,1195.6581,1272.3479
2011-05-04,1281.0009,1232.2802,1306.4417,1282.017,1214.766,1208.1028,1284.7424
2011-05-05,1294.2153,1245.6543,1319.8431,1295.4371,1227.2112,1220.4908,1298.2205
2011-05-06,1307.5928,1259.0503,1333.2643,1307.8903,1239.5995,1233.9641,1311.8491
2011-05-08,1320.992,1272.467,1345.7188,1320.2838,1253.0739,1247.5912,1325.4836
2011-05-09,1334.412,1284.916,1358.1135,1333.7635,1266.7036,1261.2266,1339.1191
2011-05-10,1346.865,1297.3064,1371.592,1347.3922,1280.3391,1274.8623,1351.7584
2011-05-11,1359.2582,1310.7816,1385.2207,1361.0258,1293.9746,1287.4939,1364.3281
2011-05-12,1372.7351,1324.417,1398.8555,1374.6613,1306.6056,1300.0591,1377.9846
2011-05-13,1386.3638,1338.0527,1412.491,1387.3,1319.1696,1313.7104,1391.7805
2011-05-15,1399.997,1351.6882,1425.1307,1399.8699,1332.8221,1327.5044,1405.5671
2011-05-16,1413.6324,1364.3209,1437.7014,1413.5258,1346.6174,1341.2803,1419.3427
2011-05-17,1426.2709,1376.888,1451.3584,1427.3215,1360.3933,1355.0562,1432.1079
2011-05-18,1438.8405,1390.5424,1465.1543,1441.1066,1374.1691,1367.8171,1444.7957
2011-05-19,1452.496,1404.3383,1478.9417,1454.8826,1386.9308,1380.5022,1458.5704
2011-05-20,1466.292,1418.1176,1492.7177,1467.6467,1399.6161,1394.271,1472.4733
2011-05-22,1480.0767,1431.8934,1505.4825,1480.3342,1413.3853,1408.174,1486.3638
2011-05-23,1493.8524,1444.6559,1518.1704,1494.1074,1427.2883,1422.0605,1500.2446
2011-05-24,1506.6165,1457.3419,1531.9457,1508.0104,1441.1753,1435.9379,1513.0896
2011-05-25,1519.3037,1471.1111,1545.8486,1521.9,1455.053,1448.7805,1525.8512
2011-05-26,1533.0764,1485.0142,1559.7393,1535.7806,1467.8956,1461.54,1539.7039
2011-05-27,1546.9792,1498.9023,1573.6204,1548.6249,1480.6554,1475.3921,1553.6855
2011-05-29,1560.8691,1512.7814,1586.4655,1561.3861,1494.5073,1489.372,1567.6418
2011-05-30,1574.7494,1525.6251,1599.2268,1575.2388,1508.4874,1503.3257,1581.5795
2011-05-31,1587.594,1538.3854,1613.0802,1589.2202,1522.4417,1517.2617,1594.4788
2011-06-01,1600.3547,1552.2378,1627.0618,1603.1763,1536.3778,1530.1592,1608.3228
2011-06-02,1614.2078,1566.2185,1641.018,1617.1138,1549.2758,1544.0013,1623.3042
2011-06-03,1628.1892,1580.1733,1654.956,1630.013,1563.1182,1558.981,1638.3188
2011-06-05,1642.1447,1594.1101,1667.8552,1643.8569,1578.0983,1573.994,1653.2252
2011-06-06,1656.0823,1607.0088,1681.699,1658.8379,1593.1113,1588.8994,1668.0354
2011-06-07,1668.9813,1620.8525,1696.6808,1673.8523,1608.0166,1603.7085,1681.7656
2011-06-08,1682.8252,1635.833,1711.6952,1688.7588,1622.826,1617.4374,1696.354
2011-06-09,1697.8063,1650.8468,1726.6018,1703.5687,1636.555,1632.025,1711.0037
2011-06-10,1712.8209,1665.7522,1741.4122,1717.2985,1651.1428,1646.6741,1725.5786
2011-06-12,1727.727,1680.562,1755.1423,1731.887,1665.792,1661.2484,1740.0879
2011-06-13,1742.5371,1694.2911,1769.7307,1746.5365,1680.3666,1675.7567,1754.5322
2011-06-14,1756.2667,1708.8794,1784.3804,1761.1115,1694.8748,1690.1998,1767.9526
2011-06-15,1770.8553,1723.5287,1798.9553,1775.6206,1709.3184,1703.6202,1782.2322
2011-06-16,1785.5048,1738.1033,1813.4646,1790.0647,1722.7388,1717.8994,1796.5973
2011-06-17,1800.0798,1752.6123,1827.9087,1803.4852,1737.018,1732.2642,1810.9135
2011-06-19,1814.5889,1767.0562,1841.3293,1817.7648,1751.3824,1746.5797,1825.1786
2011-06-20,1829.0331,1780.4766,1855.6089,1832.1296,1765.6984,1760.8447,1839.4034
2011-06-21,1842.4536,1794.756,1869.9744,1846.4458,1779.9634,1775.0692,1852.6326
2011-06-22,1856.7332,1809.121,1884.2905,1860.7109,1794.1877,1788.2979,1866.7251
2011-06-23,1871.0981,1823.4369,1898.5554,1874.9358,1807.4165,1802.3906,1880.9159
2011-06-24,1885.4142,1837.7017,1912.7804,1888.1647,1821.5093,1816.5808,1895.0719
2011-06-26,1899.679,1851.9264,1926.0094,1902.2573,1835.6995,1830.7366,1909.1907
2011-06-27,1913.9038,1865.1553,1940.102,1916.448,1849.8551,1844.855,1923.2767
2011-06-28,1927.1327,1879.2479,1954.293,1930.6038,1863.9735,1858.9407,1936.3876
2011-06-29,1941.2253,1893.4382,1968.449,1944.7224,1878.0592,1872.0513,1950.358
2011-06-30,1955.4159,1907.594,1982.5675,1958.8086,1891.1698,1886.0217,1964.4384
2011-07-01,1969.5718,1921.7125,1996.6539,1971.9194,1905.1405,1900.1019,1978.4933
2011-07-03,1983.6906,1935.7983,2009.7649,1985.89,1919.2206,1914.1566,1992.5208
2011-07-04,1997.7764,1948.9093,2023.7354,1999.9703,1933.2753,1928.1838,2006.5259
2011-07-05,2010.8873,1962.8799,2037.8158,2014.0253,1947.3025,1942.1886,2019.562
2011-07-06,2024.8578,1976.9603,2051.8706,2028.0525,1961.3076,1955.2249,2033.4652
2011-07-07,2038.938,1991.0151,2065.898,2042.0577,1974.3438,1969.1279,2047.4806
2011-07-08,2052.993,2005.0427,2079.9028,2055.094,1988.2468,1983.1432,2061.4739
2011-07-10,2067.0205,2019.0474,2092.9395,2068.997,2002.2621,1997.1364,2075.4438
2011-07-11,2081.0254,2032.0835,2106.8425,2083.0125,2016.2551,2011.1057,2089.3901
2011-07-12,2094.0615,2045.9868,2120.858,2097.0059,2030.2246,2025.052,2102.3828
2011-07-13,2107.9646,2060.0017,2134.8513,2110.9756,2044.1708,2038.0444,2116.242
2011-07-14,2121.98,2073.9956,2148.8213,2124.9219,2057.1633,2051.9033,2130.2126
2011-07-15,2135.9731,2087.9653,2162.7676,2137.9146,2071.0225,2065.8743,2144.1594
2011-07-17,2149.943,2101.9114,2175.7603,2151.774,2084.9932,2079.821,2158.089
2011-07-18,2163.8894,2114.904,2189.6191,2165.7444,2098.94,2093.7507,2172.0037
2011-07-19,2176.882,2128.7634,2203.59,2179.6914,2112.8696,2107.665,2184.9639
2011-07-20,2190.7415,2142.7341,2217.537,2193.6208,2126.7842,2120.6252,2198.7854
2011-07-21,2204.712,2156.681,2231.4668,2207.5354,2139.7444,2134.4463,2212.7263
2011-07-22,2218.659,2170.6108,2245.381,2220.4956,2153.5657,2148.3875,2226.6494
2011-07-24,2232.5886,2184.5251,2258.3418,2234.317,2167.5063,2162.3105,2240.5552
2011-07-25,2246.5027,2197.4854,2272.1626,2248.258,2181.4297,2176.216,2254.4485
2011-07-26,2259.4634,2211.3064,2286.104,2262.1814,2195.3352,2190.1094,2267.3916
2011-07-27,2273.2847,2225.2476,2300.0269,2276.0872,2209.2285,2203.0525,2281.1936
2011-07-28,2287.2258,2239.1707,2313.9326,2289.9805,2222.1716,2216.8547,2295.117
2011-07-29,2301.1487,2253.0762,2327.8262,2302.9233,2235.9739,2230.7778,2309.0225
2011-07-31,2315.0544,2266.9695,2340.7693,2316.7256,2249.8972,2244.6836,2322.9158
2011-08-01,2328.9478,2279.9126,2354.5713,2330.6487,2263.8027,2258.577,2336.7988
2011-08-02,2341.8906,2293.715,2368.4944,2344.5544,2277.696,2272.4597,2349.7305
2011-08-03,2355.6936,2307.6382,2382.4,2358.4478,2291.579,2285.3916,2363.5256
2011-08-04,2369.6165,2321.5437,2396.2937,2372.3308,2304.5107,2299.1868,2377.4377
2011-08-05,2383.5222,2335.4373,2410.1765,2385.2622,2318.3057,2313.0986,2391.3372
2011-08-07,2397.4153,2349.3203,2423.108,2399.0574,2332.2178,2326.9983,2405.2202
2011-08-08,2411.2983,2362.2515,2436.9033,2412.9697,2346.1174,2340.881,2419.0906
2011-08-09,2424.23,2376.0469,2450.8154,2426.8694,2360.0,2354.7512,2432.0144
2011-08-10,2438.025,2389.959,2464.7148,2440.7522,2373.8706,2367.675,2445.8018
2011-08-11,2451.9373,2403.8584,2478.598,2454.6223,2386.7942,2381.4626,2459.7048
2011-08-12,2465.837,2417.7415,2492.4683,2467.5464,2400.5815,2395.3655,2473.5952
2011-08-14,2479.7197,2431.6116,2505.3918,2481.3337,2414.4846,2409.2559,2487.476
2011-08-15,2493.59,2444.5356,2519.1794,2495.237,2428.375,2423.1367,2501.339
2011-08-16,2506.514,2458.3228,2533.0825,2509.127,2442.256,2436.9998,2514.2568
2011-08-17,2520.3015,2472.2258,2546.973,2523.008,2456.1191,2449.9177,2528.0366
2011-08-18,2534.2043,2486.1162,2560.8538,2536.871,2469.0369,2463.6978,2541.94
2011-08-19,2548.0947,2499.9973,2574.7168,2549.7888,2482.8167,2477.6003,2555.824
2011-08-21,2561.9756,2513.8604,2587.6345,2563.5684,2496.7197,2491.4849,2569.6992
2011-08-22,2575.8384,2526.778,2601.4143,2577.4714,2510.604,2505.3599,2583.562
2011-08-23,2588.7563,2540.5579,2615.3176,2591.3557,2524.479,2519.223,2596.4763
2011-08-24,2602.5361,2554.461,2629.202,2605.231,2538.342,2532.137,2610.2546
2011-08-25,2616.4392,2568.3452,2643.077,2619.0942,2551.256,2545.9153,2624.1553
2011-08-26,2630.3235,2582.2202,2656.9397,2632.008,2565.0344,2559.8157,2638.038
2011-08-28,2644.1987,2596.0833,2669.854,2645.7866,2578.9348,2573.6987,2651.909
2011-08-29,2658.0615,2608.9976,2683.6323,2659.6868,2592.8179,2587.5698,2665.7717
2011-08-30,2670.9756,2622.776,2697.5327,2673.5698,2606.689,2601.4326,2678.6833
2011-08-31,2684.754,2636.676,2711.4158,2687.441,2620.5518,2614.344,2692.4602
2011-09-01,2698.6545,2650.559,2725.2866,2701.304,2633.4631,2628.1206,2706.358
2011-09-02,2712.537,2664.43,2739.1494,2714.2153,2647.2395,2642.0188,2720.2407
2011-09-04,2726.4082,2678.293,2752.061,2727.992,2661.1377,2655.9016,2734.1094
2011-09-05,2740.2712,2691.2043,2765.838,2741.8896,2675.0208,2669.7698,2747.9727
2011-09-06,2753.1829,2704.981,2779.7356,2755.7727,2688.8892,2683.6328,2760.882
2011-09-07,2766.9595,2718.8792,2793.6184,2769.6414,2702.7522,2696.5422,2774.6584
2011-09-08,2780.8572,2732.7622,2807.4873,2783.5042,2715.6619,2710.319,2788.555
2011-09-09,2794.7402,2746.6304,2821.35,2796.4138,2729.438,2724.2153,2802.4377
