,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY
2011-04-12,114.89108,114.968185,114.987946,115.0401,115.04253,115.07296,115.04226
2011-04-13,114.92644,115.00011,115.01633,115.05595,115.04239,115.03611,115.05791
2011-04-14,114.99048,115.02292,115.03917,115.04373,115.083435,115.07135,115.94069
2011-04-15,115.03954,115.02409,115.05288,115.069626,115.05831,115.924484,116.991615
2011-04-17,115.04425,115.068825,115.06188,115.05841,115.934425,117.0532,117.71007
2011-04-18,115.06601,115.08787,115.07673,115.91832,117.02728,117.67744,117.93044
2011-04-19,115.04923,115.054405,115.91661,117.03611,117.68544,117.94888,118.14729
2011-04-20,115.075,115.90206,117.0349,117.68628,117.96017,118.132324,118.9386
2011-04-21,115.92695,117.03005,117.715576,117.960266,118.17112,118.94397,119.33693
2011-04-24,117.04258,117.69546,117.94138,118.15069,118.92093,119.36514,119.36898
2011-04-25,117.69683,117.92458,118.149086,118.91812,119.383705,119.39867,119.39913
2011-04-26,117.946976,118.120834,118.949524,119.38478,119.3812,119.41176,119.56438
2011-04-27,118.134735,118.941216,119.37452,119.421326,119.43894,119.544556,119.59639
2011-04-28,118.914085,119.39079,119.39427,119.42232,119.523476,119.519745,119.59841
2011-04-29,119.36195,119.43563,119.43348,119.551865,119.545586,119.66216,119.72164
2011-05-01,119.39315,119.414566,119.54445,119.569824,119.58463,119.675606,119.68997
2011-05-02,119.40228,119.53848,119.542885,119.65571,119.76784,119.74318,119.693016
2011-05-03,119.52867,119.59365,119.564224,119.75384,119.72766,119.770485,119.72329
2011-05-04,119.59758,119.61897,119.68582,119.658,119.72319,119.73502,119.68912
2011-05-05,119.566956,119.71501,119.698685,119.73323,119.70478,119.67653,119.69237
2011-05-06,119.71028,119.72545,119.71002,119.716896,119.68572,119.68843,119.72475
2011-05-08,119.70247,119.7054,119.7161,119.66506,119.67875,119.728195,119.688194
2011-05-09,119.71588,119.71004,119.727905,119.759865,119.65342,119.69765,119.69168
2011-05-10,119.71998,119.71911,119.705376,119.652405,119.7084,119.7063,119.72609
2011-05-11,119.74281,119.70159,119.71056,119.73649,119.72375,119.745224,119.687294
2011-05-12,119.66203,119.6764,119.72059,119.71818,119.69075,119.70993,119.591194
2011-05-13,119.69503,119.68349,119.70106,119.66068,119.68623,119.596375,119.54404
2011-05-15,119.71419,119.697945,119.67328,119.7655,119.58887,119.588715,119.55717
2011-05-16,119.67955,119.71056,119.68119,119.60826,119.60135,119.538795,119.43294
2011-05-17,119.70814,119.717285,119.570656,119.590904,119.553375,119.47986,119.36575
2011-05-18,119.655,119.6336,119.558044,119.566864,119.433205,119.38419,119.3579
2011-05-19,119.566,119.57506,119.56209,119.402275,119.340546,119.341354,118.15826
2011-05-20,119.55482,119.54318,119.40011,119.3807,119.353264,118.17393,117.96722
2011-05-22,119.54149,119.38171,119.41235,119.29831,118.178345,117.966736,117.73144
2011-05-23,119.432396,119.38838,119.33922,118.19807,117.98447,117.701485,116.763054
2011-05-24,119.423134,119.38957,118.17849,117.92979,117.700226,116.68413,116.57047
2011-05-25,119.37809,118.12399,117.97105,117.69891,116.74683,116.488625,116.30379
2011-05-26,118.1237,117.90317,117.768585,116.733284,116.61432,116.31644,116.30044
2011-05-27,117.99848,117.70007,116.7484,116.53455,116.29613,116.31594,116.287285
2011-05-29,117.7481,116.81047,116.54465,116.30868,116.316826,116.31556,116.31856
