,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF
2011-03-30,1214.7761,1214.5958,1214.7661,1214.2869,1214.0309,1214.2422,1214.5332
2011-03-31,1233.5544,1233.3743,1233.5444,1233.0651,1232.8093,1233.0204,1233.3114
2011-04-01,1252.3328,1252.1525,1252.3226,1251.8434,1251.5875,1251.7987,1252.0897
2011-04-03,1270.8738,1270.706,1270.8638,1270.4095,1270.1659,1270.3647,1270.6433
2011-04-04,1287.546,1287.3914,1287.5359,1287.1211,1286.904,1287.0896,1287.3418
2011-04-05,1300.5149,1300.4102,1300.5049,1300.2147,1300.0591,1300.1963,1300.3728
2011-04-06,1308.8824,1308.8503,1308.8724,1308.7269,1309.0646,1309.6107,1309.7389
2011-04-07,1312.1665,1312.1481,1312.1564,1312.9445,1313.8999,1314.699,1314.642
2011-04-08,1313.576,1313.5719,1314.2092,1315.2622,1316.7847,1317.563,1316.5206
2011-04-10,1313.9354,1314.5039,1315.8671,1317.946,1318.9615,1318.3971,1317.2527
2011-04-11,1314.4651,1316.1985,1318.396,1319.639,1319.344,1317.9321,1317.4348
2011-04-12,1316.2238,1318.6704,1319.8378,1319.3582,1318.804,1317.4346,1317.4346
2011-04-13,1318.7552,1319.9514,1319.3391,1318.7283,1318.1454,1317.4314,1317.4332
2011-04-14,1320.0107,1319.4314,1318.6539,1318.044,1317.462,1317.4333,1317.4307
2011-04-15,1319.4707,1318.6061,1317.9423,1317.4149,1317.4358,1317.4332,1317.4319
2011-04-17,1318.5745,1317.8678,1317.4384,1317.4338,1317.4325,1317.4314,1317.4349
2011-04-18,1317.8082,1317.4365,1317.4344,1317.4337,1317.4318,1317.4338,1317.4333
2011-04-19,1317.4369,1317.4325,1317.4316,1317.4333,1317.4352,1317.4336,1318.1205
2011-04-20,1317.4336,1317.4346,1317.435,1317.4324,1317.436,1318.1512,1318.2446
2011-04-21,1317.4357,1317.4305,1317.4312,1317.4341,1318.1853,1318.2456,1318.2472
2011-04-24,1317.4331,1317.4309,1317.4281,1318.2244,1318.243,1318.2458,1319.0443
2011-04-25,1317.431,1317.4336,1318.2231,1318.2495,1318.2423,1319.063,1321.3398
2011-04-26,1317.4369,1318.292,1318.245,1318.245,1319.1096,1321.3547,1322.2339
2011-04-27,1318.3102,1318.2456,1318.2493,1319.1344,1321.3618,1322.2377,1323.4089
2011-04-28,1318.2472,1318.2439,1319.1683,1321.359,1322.242,1323.4279,1324.8761
2011-04-29,1318.2472,1319.1926,1321.3269,1322.2477,1323.4772,1324.9198,1325.9429
2011-05-01,1319.2465,1321.3226,1322.2281,1323.5311,1324.9657,1326.025,1327.049
2011-05-02,1321.2826,1322.2462,1323.562,1325.0162,1326.1128,1327.1714,1327.1805
2011-05-03,1322.2274,1323.5986,1325.074,1326.2078,1327.2272,1327.1807,1327.177
2011-05-04,1323.6637,1325.1338,1326.3123,1327.1776,1327.1812,1327.1768,1327.1772
2011-05-05,1325.1882,1326.4183,1327.1567,1327.1786,1327.1781,1327.1775,1327.6736
2011-05-06,1326.5212,1327.1726,1327.1781,1327.1765,1327.1766,1327.6708,1328.9094
2011-05-08,1327.1742,1327.1808,1327.1776,1327.181,1327.6844,1328.9733,1329.2461
2011-05-09,1327.18,1327.179,1327.1776,1327.6771,1328.9286,1329.2444,1330.4679
2011-05-10,1327.1796,1327.1724,1327.6772,1328.9987,1329.2396,1330.4708,1331.0991
2011-05-11,1327.1754,1327.6776,1329.114,1329.2513,1330.4725,1331.0938,1331.1005
2011-05-12,1327.6757,1329.1362,1329.2498,1330.4615,1331.113,1331.0944,1331.102
2011-05-13,1329.1892,1329.2421,1330.4392,1331.1047,1331.0945,1331.0984,1331.0947
2011-05-15,1329.2389,1330.4045,1331.0978,1331.0964,1331.1041,1331.1058,1330.4261
2011-05-16,1330.3948,1331.1041,1331.1011,1331.0948,1331.0968,1330.4098,1329.2867
2011-05-17,1331.1035,1331.1008,1331.103,1331.103,1330.4093,1329.2795,1328.3573
2011-05-18,1331.1034,1331.0994,1331.0955,1330.4066,1329.2726,1328.36,1328.354
2011-05-19,1331.0996,1331.0928,1330.4082,1329.272,1328.3625,1328.3597,1328.3627
2011-05-20,1331.1016,1330.4171,1329.2289,1328.37,1328.3599,1328.3654,1328.365
2011-05-22,1330.4211,1329.2393,1328.3485,1328.3589,1328.361,1328.3597,1328.3553
2011-05-23,1329.2356,1328.3595,1328.3691,1328.3601,1328.3612,1328.3605,1328.3533
2011-05-24,1328.3512,1328.3585,1328.3536,1328.355,1328.3588,1328.3531,1328.3634
2011-05-25,1328.3622,1328.3617,1328.3569,1328.359,1328.3499,1328.3623,1328.3658
2011-05-26,1328.3646,1328.3584,1328.3678,1328.3638,1328.3635,1328.3445,1328.3549
2011-05-27,1328.3535,1328.3619,1328.3477,1328.358,1328.3594,1328.3569,1327.3285
2011-05-29,1328.351,1328.3583,1328.3707,1328.3644,1328.355,1327.3408,1327.1837
2011-05-30,1328.3633,1328.362,1328.3523,1328.3594,1327.3427,1327.1858,1324.6766
2011-05-31,1328.366,1328.3582,1328.3567,1327.3196,1327.1835,1324.5908,1321.9478
2011-06-01,1328.3525,1328.362,1327.3444,1327.1876,1324.5103,1321.963,1320.2406
2011-06-02,1328.3496,1327.3232,1327.1675,1324.3394,1321.9758,1320.2467,1318.3069
2011-06-03,1327.3239,1327.1746,1324.3165,1321.9778,1320.1644,1318.228,1317.9836
2011-06-05,1327.166,1324.1923,1321.9956,1320.1473,1318.3041,1317.984,1317.0596
2011-06-06,1324.0325,1321.9358,1320.156,1318.2549,1317.982,1317.0544,1316.4065
2011-06-07,1321.9664,1320.1589,1318.3041,1317.9719,1317.0558,1316.4135,1313.9736
2011-06-08,1320.2152,1318.2399,1317.9753,1317.0542,1316.4222,1313.9432,1312.9957
2011-06-09,1318.207,1317.9724,1317.0729,1316.3972,1314.0059,1312.9843,1310.846
2011-06-10,1317.9839,1317.0752,1316.4138,1314.011,1312.9965,1310.8414,1308.9287
2011-06-12,1317.0764,1316.4154,1313.9727,1313.011,1310.7823,1308.8649,1308.8175
2011-06-13,1316.4276,1313.9658,1313.0017,1310.775,1308.869,1308.8059,1308.8059
2011-06-14,1313.9781,1312.9792,1310.7651,1308.8962,1308.808,1308.8123,1308.8191
2011-06-15,1312.999,1310.7635,1308.8768,1308.8124,1308.8147,1308.8319,1307.7297
2011-06-16,1310.7577,1308.8542,1308.8318,1308.8074,1308.8352,1307.7367,1307.3386
2011-06-17,1308.8657,1308.8159,1308.8102,1308.8131,1307.7284,1307.348,1307.222
2011-06-19,1308.8146,1308.7958,1308.8054,1307.7302,1307.3618,1307.2068,1302.6257
2011-06-20,1308.8085,1308.8054,1307.7189,1307.3634,1307.1974,1302.5508,1301.4384
2011-06-21,1308.8289,1307.7312,1307.3488,1307.2059,1302.474,1301.4071,1301.0529
2011-06-22,1307.7184,1307.3616,1307.1892,1302.249,1301.4103,1301.0449,1299.0555
2011-06-23,1307.3524,1307.2201,1302.0312,1301.4229,1301.0441,1299.0742,1298.6802
2011-06-24,1307.2112,1301.7098,1301.415,1301.0621,1299.0933,1298.6947,1298.1616
2011-06-26,1301.8713,1301.4379,1301.043,1299.0192,1298.6896,1298.1613,1297.6702
2011-06-27,1301.4268,1301.0731,1299.066,1298.7074,1298.163,1297.6537,1294.442
2011-06-28,1301.073,1299.0737,1298.7146,1298.2041,1297.6626,1294.3586,1294.3018
2011-06-29,1299.0797,1298.7069,1298.1666,1297.6659,1294.4172,1294.3027,1293.7803
2011-06-30,1298.6836,1298.1748,1297.682,1294.4579,1294.3094,1293.7697,1291.8159
2011-07-01,1298.1908,1297.6733,1294.413,1294.3223,1293.7949,1291.7456,1291.3265
2011-07-03,1297.6938,1294.3956,1294.3168,1293.7836,1291.7743,1291.3517,1291.0272
2011-07-04,1294.3541,1294.3253,1293.7946,1291.7482,1291.3624,1291.0459,1291.031
2011-07-05,1294.3146,1293.7933,1291.7666,1291.3473,1290.9932,1290.993,1291.0143
2011-07-06,1293.7837,1291.746,1291.3389,1291.0638,1291.0286,1291.01,1291.022
2011-07-07,1291.7349,1291.3326,1291.0326,1290.9911,1291.0366,1291.0024,1291.0063
2011-07-08,1291.326,1291.0115,1291.0001,1291.0486,1290.9988,1291.0208,1291.0162
2011-07-10,1290.9913,1291.0033,1291.0118,1291.0363,1290.9901,1291.0349,1291.046
2011-07-11,1291.008,1291.0436,1291.0349,1290.996,1291.0304,1291.0109,1291.0245
2011-07-12,1291.0459,1291.0526,1291.0204,1291.0701,1291.0393,1291.0271,1291.3507
2011-07-13,1291.028,1291.0099,1291.0372,1290.9858,1290.9968,1291.3214,1291.7471
2011-07-14,1290.9883,1291.0005,1291.0052,1291.0521,1291.3766,1291.7311,1292.2761
2011-07-15,1291.0074,1291.0457,1291.0187,1291.3335,1291.744,1292.2227,1293.6138
2011-07-17,1291.0487,1291.0548,1291.3452,1291.7592,1292.2699,1293.5737,1293.6051
2011-07-18,1291.0289,1291.3452,1291.7648,1292.2657,1293.5586,1293.6442,1293.5856
2011-07-19,1291.314,1291.7858,1292.2466,1293.554,1293.6252,1293.6543,1293.6448
2011-07-20,1291.7902,1292.2549,1293.6108,1293.6265,1293.59,1293.605,1293.9485
2011-07-21,1292.287,1293.5302,1293.6329,1293.6273,1293.6193,1293.9598,1295.0594
2011-07-22,1293.5797,1293.576,1293.6263,1293.6288,1293.929,1295.1045,1295.5828
2011-07-24,1293.6399,1293.62,1293.6423,1293.84,1295.0305,1295.6099,1295.0808
2011-07-25,1293.6552,1293.5944,1293.9598,1295.074,1295.5988,1295.0548,1294.4453
2011-07-26,1293.604,1293.9718,1295.0432,1295.649,1295.1068,1294.437,1293.9933
2011-07-27,1293.9344,1295.0713,1295.6727,1295.0691,1294.4225,1293.8932,1293.6173
2011-07-28,1295.1375,1295.5999,1295.0634,1294.4542,1293.9153,1293.6329,1293.597
2011-07-29,1295.5898,1295.0586,1294.429,1293.845,1293.6722,1293.5801,1292.3158
2011-07-31,1295.0677,1294.4705,1293.9003,1293.6404,1293.5648,1292.2577,1290.2732
2011-08-01,1294.441,1293.9532,1293.6385,1293.4851,1292.1921,1290.2482,1290.2205
2011-08-02,1293.9647,1293.6,1293.5812,1292.2766,1290.2408,1290.2161,1290.2277
2011-08-03,1293.6488,1293.5419,1292.2516,1290.2228,1290.2092,1290.197,1292.2728
