,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK
2011-04-01,24.409431,24.408134,24.426796,24.428108,24.423225,24.427925,24.423378
2011-04-03,24.41745,24.413559,24.442696,24.427467,24.432228,24.420494,24.409805
2011-04-04,24.416458,24.434723,24.425003,24.420761,24.440369,24.410065,24.39962
2011-04-05,24.42942,24.413635,24.424644,24.439163,24.40931,24.401733,24.3992
2011-04-06,24.42939,24.44226,24.417458,24.402863,24.448402,24.443512,24.397911
2011-04-07,24.413383,24.42295,24.421638,24.419464,24.414627,24.423508,24.38356
2011-04-08,24.42598,24.413643,24.419518,24.399345,24.41027,24.405968,24.417442
2011-04-10,24.42498,24.417038,24.400192,24.425934,24.421196,24.41957,24.417686
2011-04-11,24.420654,24.41259,24.419159,24.402458,24.408905,24.417778,24.432518
2011-04-12,24.401115,24.399033,24.418442,24.446106,24.437843,24.430023,24.407074
2011-04-13,24.4132,24.402336,24.422173,24.394203,24.397095,24.41581,24.428864
2011-04-14,24.388588,24.425705,24.405334,24.417221,24.432297,24.430214,24.40171
2011-04-15,24.444115,24.40519,24.44384,24.420639,24.391647,24.415688,24.41713
2011-04-17,24.415672,24.426811,24.42147,24.436523,24.412437,24.411934,24.41217
2011-04-18,24.428719,24.398026,24.418259,24.442406,24.415215,24.410858,24.408607
2011-04-19,24.399643,24.418274,24.4216,24.429688,24.433609,24.423286,24.428925
2011-04-20,24.415436,24.440407,24.418259,24.418243,24.417076,24.406105,24.433113
2011-04-21,24.427193,24.428528,24.4216,24.39701,24.415901,24.408745,24.405228
2011-04-24,24.429459,24.412628,24.41819,24.411522,24.410957,24.403976,24.419083
2011-04-25,24.398537,24.427467,24.421799,24.416634,24.404564,24.415924,24.420471
2011-04-26,24.411613,24.44268,24.41806,24.409554,24.421242,24.41941,24.431435
2011-04-27,24.41507,24.413094,24.421799,24.405098,24.396454,24.418182,24.40245
2011-04-28,24.393112,24.418526,24.41787,24.420265,24.40741,24.412003,24.418839
2011-04-29,24.415184,24.436562,24.464897,24.413551,24.425087,24.421753,24.409172
2011-05-01,24.419823,24.41439,24.427849,24.411018,24.424736,24.409325,24.396255
2011-05-02,24.415909,24.410202,24.413483,24.403183,24.399261,24.398544,24.254211
2011-05-03,24.416405,24.431015,24.405296,24.401505,24.398888,24.250206,24.24279
2011-05-04,24.412712,24.405663,24.408028,24.40081,24.248726,24.244064,24.216995
2011-05-05,24.412094,24.406052,24.405914,24.240799,24.241562,24.223854,24.217995
2011-05-06,24.401245,24.398819,24.25734,24.244217,24.223724,24.223198,24.216927
2011-05-08,24.378273,24.240814,24.23777,24.223381,24.22255,24.224373,24.217499
2011-05-09,24.248848,24.242882,24.215096,24.22425,24.2219,24.219444,24.231865
2011-05-10,24.2425,24.229324,24.216164,24.223907,24.214905,24.224525,24.218346
2011-05-11,24.222809,24.22464,24.218262,24.224854,24.215012,24.216957,24.218498
2011-05-12,24.220612,24.215607,24.213226,24.223724,24.217865,24.234695,24.207817
2011-05-13,24.214561,24.21453,24.217873,24.20691,24.20594,24.220932,24.219025
2011-05-15,24.210503,24.220757,24.213158,24.210503,24.227478,24.205353,24.217728
2011-05-16,24.225029,24.217491,24.218132,24.218903,24.215416,24.221489,24.21798
2011-05-17,24.22168,24.216812,24.212967,24.213524,24.21859,24.209732,24.218971
2011-05-18,24.215385,24.215164,24.218391,24.21811,24.221504,24.221687,24.218796
2011-05-19,24.224731,24.221947,24.212898,24.213264,24.220055,24.212631,24.212608
2011-05-20,24.219833,24.21724,24.218712,24.218239,24.219437,24.213066,24.217773
2011-05-22,24.222511,24.222137,24.212769,24.213135,24.2182,24.21849,24.212479
2011-05-23,24.22052,24.217041,24.218971,24.218437,24.213028,24.212875,24.218346
2011-05-24,24.214958,24.222206,24.212769,24.213005,24.218452,24.21862,24.212479
2011-05-25,24.230835,24.216911,24.21904,24.21894,24.212898,24.212677,24.242157
2011-05-26,24.224243,24.222466,24.2127,24.212997,24.218712,24.241058,24.257256
2011-05-27,24.209724,24.216911,24.219742,24.21907,24.200104,24.229729,24.253395
2011-05-29,24.232903,24.222725,24.212318,24.223679,24.249832,24.260437,24.281456
2011-05-30,24.226936,24.216782,24.262077,24.240135,24.2641,24.289078,24.37999
2011-05-31,24.218056,24.242119,24.23948,24.259666,24.292824,24.388199,24.381546
2011-06-01,24.229683,24.24781,24.25875,24.289497,24.368294,24.374985,24.39936
2011-06-02,24.243607,24.25531,24.284424,24.372192,24.366173,24.37387,24.340523
2011-06-03,24.24562,24.270714,24.396217,24.37822,24.388672,24.390427,24.393196
2011-06-05,24.284142,24.380043,24.384315,24.36905,24.395027,24.397903,24.354385
2011-06-06,24.360558,24.370178,24.395699,24.372429,24.374252,24.374535,24.4086
2011-06-07,24.392738,24.370598,24.396927,24.372307,24.37114,24.373184,24.36866
2011-06-08,24.38578,24.393349,24.38208,24.381485,24.381454,24.392418,24.36805
2011-06-09,24.363075,24.378975,24.354248,24.384148,24.376968,24.385956,24.377922
2011-06-10,24.404488,24.386345,24.364952,24.365692,24.387276,24.383888,24.369019
2011-06-12,24.357262,24.367065,24.390144,24.36731,24.364128,24.40184,24.381393
2011-06-13,24.391792,24.39045,24.37526,24.384407,24.361435,24.374924,24.378677
2011-06-14,24.356804,24.368095,24.381355,24.365242,24.392097,24.370903,24.377792
2011-06-15,24.38807,24.367294,24.366692,24.36705,24.372887,24.384003,24.391754
2011-06-16,24.371208,24.377258,24.37761,24.385445,24.367401,24.36528,24.377388
2011-06-17,24.37658,24.38424,24.40136,24.364532,24.378204,24.371323,24.371292
2011-06-19,24.393158,24.370522,24.411674,24.36634,24.388908,24.375313,24.366829
2011-06-20,24.374123,24.371567,24.34935,24.386658,24.386879,24.370735,24.42025
2011-06-21,24.37593,24.393417,24.398064,24.363754,24.36145,24.349525,24.395592
2011-06-22,24.393997,24.364098,24.412003,24.365883,24.365578,24.384758,24.370094
2011-06-23,24.373474,24.365852,24.340462,24.401352,24.409752,24.413795,24.41925
2011-06-24,24.37535,24.38514,24.348671,24.392685,24.378296,24.3928,24.371407
2011-06-26,24.395027,24.423706,24.391365,24.437897,24.402008,24.376228,24.318924
2011-06-27,24.372566,24.401749,24.38372,24.432251,24.403679,24.346687,24.306465
2011-06-28,24.396202,24.388474,24.407219,24.376778,24.37017,24.370453,24.343056
2011-06-29,24.410873,24.393608,24.372192,24.358994,24.341728,24.348724,24.338364
2011-06-30,24.375412,24.374046,24.343224,24.361275,24.33751,24.321404,24.30008
2011-07-01,24.381683,24.365921,24.342056,24.327469,24.313965,24.249397,24.334274
2011-07-03,24.384262,24.36966,24.335464,24.318153,24.321503,24.290344,24.287994
2011-07-04,24.339462,24.333847,24.277962,24.285583,24.274666,24.29406,24.250694
2011-07-05,24.337288,24.327255,24.287262,24.290146,24.272552,24.269783,24.279404
2011-07-06,24.285515,24.331085,24.344223,24.275314,24.279587,24.272186,24.252266
2011-07-07,24.314056,24.309555,24.288261,24.253838,24.295258,24.25138,24.252846
2011-07-08,24.270943,24.27398,24.297249,24.283897,24.28041,24.252098,24.256126
2011-07-10,24.286392,24.310387,24.282043,24.255829,24.252571,24.24984,24.262108
2011-07-11,24.29702,24.26242,24.261963,24.247322,24.23745,24.236107,24.278374
2011-07-12,24.301697,24.266586,24.255615,24.264862,24.247673,24.25039,24.254593
2011-07-13,24.25978,24.250381,24.250275,24.24759,24.256592,24.24871,24.2537
2011-07-14,24.266533,24.260445,24.251648,24.263824,24.264984,24.236206,24.241837
2011-07-15,24.250008,24.244133,24.26384,24.25209,24.256897,24.250412,24.26287
2011-07-17,24.260788,24.266586,24.256683,24.2501,24.269684,24.268967,24.275444
2011-07-18,24.244072,24.253258,24.244652,24.24237,24.24916,24.253159,24.271889
2011-07-19,24.265884,24.257385,24.23259,24.258377,24.269958,24.287872,24.257782
2011-07-20,24.250397,24.25576,24.260078,24.269432,24.278374,24.324417,24.279022
2011-07-21,24.259499,24.26088,24.255585,24.293541,24.275032,24.279999,24.313812
2011-07-22,24.245407,24.279053,24.264969,24.294724,24.327278,24.314705,24.307014
2011-07-24,24.272049,24.270287,24.269829,24.314873,24.3154,24.295929,24.314255
2011-07-25,24.295334,24.281898,24.31057,24.306938,24.313148,24.304573,24.311401
2011-07-26,24.249817,24.30458,24.300789,24.320099,24.309937,24.324257,24.310303
2011-07-27,24.288643,24.329796,24.31646,24.319061,24.316216,24.314964,24.319221
2011-07-28,24.30957,24.34523,24.295876,24.306557,24.319672,24.293549,24.298393
2011-07-29,24.311676,24.313438,24.307747,24.320618,24.309814,24.303932,24.294334
2011-07-31,24.31591,24.308678,24.304993,24.31939,24.317154,24.326836,24.29187
2011-08-01,24.314362,24.316948,24.29866,24.3059,24.310425,24.316124,24.296371
2011-08-02,24.328835,24.308609,24.31195,24.321327,24.312263,24.30069,24.30017
2011-08-03,24.31314,24.313583,24.320473,24.319717,24.32415,24.304337,24.272133
