,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD
2011-04-01,1.2699728,1.2686328,1.2719114,1.2696654,1.2671297,1.2668928,1.26709
2011-04-03,1.2730551,1.2717165,1.273014,1.2667738,1.2698116,1.2660985,1.2701721
2011-04-04,1.2698363,1.2747768,1.2680984,1.2673755,1.271693,1.2681966,1.2660605
2011-04-05,1.2719102,1.2691412,1.2697935,1.2725481,1.269592,1.2697722,1.270363
2011-04-06,1.2712481,1.272228,1.272028,1.2650499,1.2664666,1.267491,1.2653655
2011-04-07,1.2672502,1.2696642,1.2636766,1.2657737,1.2625134,1.2625281,1.26086
2011-04-08,1.2693968,1.2684064,1.2641478,1.2579361,1.2633562,1.2604029,1.2672079
2011-04-10,1.2702103,1.2671872,1.2682451,1.2647047,1.2649904,1.268479,1.2652915
2011-04-11,1.2643937,1.2657124,1.2550881,1.2648021,1.2576333,1.2550217,1.264838
2011-04-12,1.2667543,1.2653975,1.2632215,1.2670857,1.2614055,1.2586116,1.2600452
2011-04-13,1.2521739,1.2435597,1.254154,1.2506413,1.2546837,1.2504709,1.2535708
2011-04-14,1.2651451,1.2685586,1.2697027,1.2671179,1.2646561,1.2640915,1.2698544
2011-04-15,1.2637578,1.2646633,1.2553685,1.258911,1.2610959,1.2643666,1.2645557
2011-04-17,1.2610043,1.2612342,1.2666703,1.2611245,1.2599888,1.2617137,1.262404
2011-04-18,1.2469405,1.2572725,1.2565317,1.2621423,1.2550583,1.2593015,1.2541487
2011-04-19,1.2660773,1.2645224,1.2563357,1.2590588,1.2607361,1.2563226,1.2648058
2011-04-20,1.261972,1.2531319,1.2588203,1.2616495,1.2638139,1.2581732,1.2579432
2011-04-21,1.2597346,1.2605615,1.2593994,1.2586284,1.2550757,1.2639015,1.2614731
2011-04-24,1.2596473,1.2626767,1.2554351,1.2585723,1.2650967,1.2592999,1.2585927
2011-04-25,1.267032,1.2603912,1.2622182,1.2621131,1.2641386,1.2592012,1.2576386
2011-04-26,1.2575593,1.2553924,1.2613113,1.2566956,1.2566572,1.2508858,1.2580225
2011-04-27,1.2655102,1.2553506,1.2640153,1.2635319,1.2648754,1.2595869,1.2580396
2011-04-28,1.2570034,1.2619127,1.260273,1.2523073,1.2472563,1.2476147,1.2490513
2011-04-29,1.2612717,1.2604527,1.2546892,1.2573514,1.2549562,1.2557228,1.2589681
2011-05-01,1.2599958,1.2586993,1.2545896,1.2551668,1.2538792,1.2549436,1.2552114
2011-05-02,1.2563394,1.254127,1.2542254,1.2536379,1.2538824,1.2537186,1.2511162
2011-05-03,1.2560631,1.2491114,1.2588353,1.2558103,1.2517016,1.2481791,1.2471552
2011-05-04,1.2563744,1.2543993,1.2553356,1.2519817,1.2490536,1.2453924,1.246553
2011-05-05,1.2552143,1.256062,1.2533396,1.248706,1.2460873,1.2446816,1.2422014
2011-05-06,1.2573111,1.2543864,1.2482985,1.2475363,1.2476053,1.246599,1.2445681
2011-05-08,1.2548448,1.2491484,1.2484487,1.2440902,1.2428548,1.2441692,1.2406995
2011-05-09,1.2491515,1.2465628,1.2454672,1.2455188,1.2431629,1.2425287,1.2415079
2011-05-10,1.247515,1.2444755,1.2462546,1.2401427,1.2419205,1.2417616,1.2420189
2011-05-11,1.24704,1.2456387,1.2425419,1.2419109,1.2405095,1.2433167,1.2412531
2011-05-12,1.2423116,1.2444198,1.240413,1.241587,1.2401805,1.2410846,1.2405497
2011-05-13,1.2407578,1.2412405,1.2415756,1.2414527,1.2403169,1.2416298,1.2407161
2011-05-15,1.2391545,1.240581,1.2394872,1.240512,1.2412093,1.2374625,1.2375153
2011-05-16,1.24102,1.2406992,1.2378803,1.2394595,1.239404,1.2387378,1.2361486
2011-05-17,1.2407858,1.2413106,1.2413124,1.2412728,1.23703,1.2445345,1.2396691
2011-05-18,1.2382412,1.2389629,1.2373798,1.2350289,1.2416147,1.242264,1.240063
2011-05-19,1.233838,1.2318411,1.234743,1.2298958,1.2372633,1.2346059,1.235666
2011-05-20,1.2431518,1.2398896,1.2292813,1.2348495,1.2357901,1.227061,1.2333711
2011-05-22,1.240062,1.2464675,1.2378038,1.2430389,1.2451152,1.244149,1.2399812
2011-05-23,1.237613,1.2412938,1.2429658,1.23837,1.2434262,1.2315176,1.2373447
2011-05-24,1.2403662,1.2401928,1.2395766,1.2401603,1.23933,1.2471669,1.2421821
2011-05-25,1.2374059,1.23433,1.2341834,1.2365957,1.2401445,1.2428975,1.2386472
2011-05-26,1.2355123,1.2397537,1.2420373,1.2355986,1.2369399,1.241744,1.23787
2011-05-27,1.2414364,1.2395723,1.2391591,1.2354362,1.2411697,1.2425619,1.2321965
2011-05-29,1.2446454,1.2419138,1.2444047,1.2424682,1.2320142,1.2437713,1.2361164
2011-05-30,1.2395487,1.2407584,1.2394379,1.2389318,1.2411802,1.239578,1.2361841
2011-05-31,1.2424347,1.2425189,1.2417774,1.2423544,1.2346114,1.2492628,1.2381468
2011-06-01,1.2387321,1.2338018,1.2380745,1.2395684,1.2313215,1.2379128,1.2385454
2011-06-02,1.2363579,1.2426381,1.2322311,1.2384247,1.236291,1.2374036,1.2344941
2011-06-03,1.2387141,1.2420795,1.2390798,1.2382233,1.2367522,1.240196,1.2366993
2011-06-05,1.2294142,1.2281975,1.2272359,1.231106,1.2280579,1.2294812,1.2303381
2011-06-06,1.2410278,1.2364972,1.2336696,1.235324,1.2356031,1.2368683,1.2333673
2011-06-07,1.2383451,1.2364236,1.2357179,1.2353845,1.2361108,1.2356662,1.2393066
2011-06-08,1.2337439,1.2306689,1.2311999,1.2309396,1.2323457,1.2314956,1.2338881
2011-06-09,1.2346739,1.2344902,1.2340083,1.2347219,1.2360471,1.2381642,1.2391446
2011-06-10,1.2358465,1.2334433,1.2333626,1.2375273,1.2344762,1.2386703,1.235813
2011-06-12,1.2299786,1.2301961,1.2318089,1.2315955,1.2327625,1.2309862,1.2333882
2011-06-13,1.2358292,1.2342757,1.2365133,1.2329189,1.2357751,1.2378006,1.2369896
2011-06-14,1.2323377,1.2317032,1.2304547,1.2315953,1.2315103,1.2346585,1.2340995
2011-06-15,1.2390947,1.2383152,1.2352461,1.2387586,1.2397542,1.2384411,1.2399267
2011-06-16,1.2333558,1.236573,1.2367184,1.2370765,1.2348366,1.2355359,1.2346249
2011-06-17,1.233448,1.2362721,1.2364609,1.2375696,1.236598,1.2362568,1.2371249
2011-06-19,1.2411247,1.2375842,1.231018,1.2379409,1.235923,1.2369715,1.2387669
2011-06-20,1.2333947,1.2342526,1.2317,1.2376846,1.2359235,1.2382398,1.2337689
2011-06-21,1.2360511,1.2361245,1.2345843,1.2399927,1.2405409,1.235555,1.2385155
2011-06-22,1.2373235,1.2369705,1.2344723,1.2384439,1.2349964,1.2373594,1.2413824
2011-06-23,1.2368076,1.2413921,1.2381413,1.2361277,1.2421544,1.2356167,1.2428849
2011-06-24,1.2354276,1.2365774,1.2362514,1.2393221,1.2361228,1.2355857,1.2366142
2011-06-26,1.2343702,1.2362965,1.237112,1.2350669,1.2339115,1.2380296,1.2356362
2011-06-27,1.2389852,1.2376826,1.2396376,1.2351313,1.2394812,1.2393477,1.2281724
2011-06-28,1.2391601,1.23545,1.2317282,1.2388862,1.2332342,1.2353317,1.2377958
2011-06-29,1.2348654,1.236444,1.234489,1.2367127,1.2394979,1.2341297,1.234446
2011-06-30,1.2375447,1.2382244,1.2362282,1.2284982,1.237021,1.2352202,1.2339301
2011-07-01,1.2385849,1.2357992,1.237386,1.2343093,1.2350249,1.2313625,1.2330014
2011-07-03,1.237165,1.2359521,1.2365726,1.2364359,1.2344637,1.2335147,1.2350708
2011-07-04,1.2322555,1.2338153,1.2341601,1.2326815,1.2340887,1.232662,1.2331387
2011-07-05,1.2402563,1.2341077,1.2377938,1.2359747,1.2349583,1.2382091,1.234002
2011-07-06,1.2341586,1.2313054,1.2354121,1.2329965,1.2356293,1.2336106,1.2310798
2011-07-07,1.2324288,1.2313731,1.2311991,1.232253,1.2312644,1.2285874,1.2320998
2011-07-08,1.2351559,1.2345349,1.2323002,1.2314527,1.2327513,1.232369,1.2302274
2011-07-10,1.2347932,1.2339376,1.2320194,1.23276,1.2351087,1.2315836,1.2319565
2011-07-11,1.2355464,1.2329967,1.2338266,1.2322007,1.2318697,1.2324667,1.2316809
2011-07-12,1.2367195,1.2326972,1.2340351,1.2311113,1.2305294,1.2320931,1.2317683
2011-07-13,1.2342594,1.2346009,1.2317613,1.2310067,1.2286276,1.2310063,1.2304282
2011-07-14,1.2323525,1.2329257,1.2331326,1.2295222,1.2301998,1.2310271,1.2301353
2011-07-15,1.2313261,1.2284424,1.2303935,1.2293386,1.2328243,1.2291183,1.2302824
2011-07-17,1.2328129,1.227747,1.2303592,1.2297126,1.2294178,1.2302312,1.2294824
2011-07-18,1.231154,1.2321585,1.2314284,1.2295284,1.2301728,1.2289193,1.2274591
2011-07-19,1.2301695,1.2296556,1.2292835,1.2301453,1.2263446,1.2286193,1.2276897
2011-07-20,1.230079,1.2300959,1.2299259,1.2301488,1.2285022,1.2259041,1.2277721
2011-07-21,1.2310382,1.2278471,1.2287209,1.2289972,1.2266349,1.2265291,1.2268178
2011-07-22,1.228341,1.228482,1.2257617,1.2283511,1.2261573,1.2249027,1.2254429
2011-07-24,1.2278496,1.2292713,1.2300973,1.2272644,1.2246922,1.2244356,1.2270517
2011-07-25,1.2290218,1.2288654,1.2260717,1.2267503,1.2259177,1.2252982,1.225889
2011-07-26,1.2289355,1.2277427,1.2271929,1.2225449,1.2235327,1.2211761,1.2251358
2011-07-27,1.2285722,1.2277445,1.2273192,1.2261374,1.2240019,1.2233937,1.2244499
2011-07-28,1.2245284,1.2237451,1.2228953,1.2234449,1.2208681,1.220802,1.2244108
2011-07-29,1.2278605,1.224758,1.224505,1.2232562,1.2217267,1.2216512,1.2233573
2011-07-31,1.2255782,1.2248058,1.223522,1.2230895,1.2224114,1.2179782,1.2198963
2011-08-01,1.2230595,1.2223418,1.2210016,1.22282,1.2206099,1.2208204,1.2197357
2011-08-02,1.2235582,1.2233142,1.2218709,1.2196414,1.2181418,1.2231474,1.2199712
2011-08-03,1.2230191,1.2197886,1.2211438,1.2190751,1.2165312,1.2209132,1.2168763
2011-08-04,1.217671,1.2189713,1.2175401,1.2126877,1.217907,1.2151275,1.2104645
2011-08-05,1.2184781,1.216231,1.2199628,1.2200621,1.217105,1.2187341,1.2140272
2011-08-07,1.2201648,1.2169597,1.2169707,1.2176229,1.2166277,1.2158741,1.2173523
2011-08-08,1.217623,1.2215061,1.2191054,1.2129846,1.2131386,1.2147912,1.2147162
2011-08-09,1.2194057,1.2155674,1.2189734,1.2198842,1.2164997,1.2162104,1.2180283
2011-08-10,1.2192533,1.2181833,1.216143,1.2168444,1.2170696,1.2144891,1.214274
2011-08-11,1.2148222,1.2157458,1.214046,1.2127951,1.2129223,1.2137187,1.2110484
2011-08-12,1.2135404,1.2171392,1.2136284,1.210746,1.2095968,1.211207,1.2075616
2011-08-14,1.2133663,1.2161759,1.2169962,1.2147114,1.2135205,1.2137221,1.208098
2011-08-15,1.2154891,1.2139726,1.2156247,1.2138467,1.209775,1.2099574,1.211987
2011-08-16,1.2143363,1.2118518,1.212949,1.2124472,1.2128108,1.2120548,1.2139461
2011-08-17,1.208679,1.2079837,1.2106711,1.2139986,1.2087647,1.2082037,1.2067318
2011-08-18,1.215643,1.2115378,1.2127283,1.2150283,1.2147596,1.2127296,1.2090176
2011-08-19,1.2146776,1.2162156,1.2151157,1.2107224,1.2169685,1.2123442,1.2149959
2011-08-21,1.2117252,1.2094622,1.2116388,1.211446,1.2097344,1.2096529,1.2085975
2011-08-22,1.2100685,1.2136654,1.2113712,1.2095215,1.2097399,1.2124612,1.2123761
2011-08-23,1.2139474,1.2100701,1.2119666,1.2085046,1.2094772,1.2107408,1.2060308
2011-08-24,1.2096542,1.21049,1.2080271,1.2106867,1.2098894,1.2078766,1.2105062
2011-08-25,1.2093284,1.2103217,1.2079561,1.2120775,1.210425,1.207973,1.2097235
2011-08-26,1.2087871,1.2075306,1.2095811,1.208349,1.2087586,1.2056966,1.2089765
2011-08-28,1.2111001,1.210131,1.2088207,1.2088106,1.2094624,1.2058934,1.2095728
2011-08-29,1.2151293,1.2153761,1.2086675,1.2134066,1.2127044,1.2121358,1.2119107
2011-08-30,1.2088978,1.2109071,1.2125608,1.2100441,1.2088003,1.2084312,1.2065547
2011-08-31,1.2054626,1.2065506,1.2072741,1.2040706,1.204506,1.2029166,1.2051984
2011-09-01,1.207646,1.2066153,1.2079562,1.2075357,1.2051395,1.2049928,1.2089703
2011-09-02,1.2063364,1.2073448,1.2072409,1.204281,1.2064548,1.2070916,1.2082993
2011-09-04,1.2188246,1.2062235,1.2070946,1.2066464,1.2075757,1.2068768,1.207305
2011-09-05,1.2089164,1.206324,1.2045356,1.2060791,1.2073264,1.2084559,1.2040204
2011-09-06,1.20702,1.2055713,1.2074801,1.2070465,1.2069976,1.2073514,1.2073073
2011-09-07,1.2063143,1.209219,1.2058761,1.2054318,1.2068647,1.2088642,1.2087922
2011-09-08,1.2029768,1.208222,1.2074195,1.2067276,1.2055515,1.2083265,1.2090398
2011-09-09,1.2056466,1.2081883,1.2079313,1.2069559,1.2071841,1.2083097,1.2084678
2011-09-11,1.2048113,1.2071475,1.2076182,1.2074537,1.2089806,1.208315,1.2094853
2011-09-12,1.2066429,1.2065554,1.2088422,1.209014,1.2087376,1.2094297,1.2092634
2011-09-13,1.2059929,1.208326,1.206352,1.2082617,1.2091888,1.2093956,1.2090331
2011-09-14,1.2087765,1.2075227,1.2088015,1.2103475,1.208945,1.2104037,1.2095345
2011-09-15,1.2086606,1.208963,1.2091143,1.209336,1.2091844,1.208607,1.209712
2011-09-16,1.208805,1.2098186,1.2093376,1.2098811,1.2100761,1.2091869,1.2086323
2011-09-18,1.2098572,1.2103062,1.2080679,1.20927,1.2096786,1.209199,1.2093801
2011-09-19,1.2089056,1.2090558,1.2091719,1.2094601,1.2102032,1.2091271,1.2103692
2011-09-20,1.2095227,1.209851,1.209681,1.2093217,1.2090714,1.2095323,1.2106175
2011-09-21,1.2092819,1.2079573,1.2100285,1.2091686,1.2084984,1.208416,1.2091415
2011-09-22,1.209662,1.2096689,1.2086352,1.2094771,1.2089466,1.2097653,1.2090619
2011-09-23,1.2107393,1.2091297,1.2103083,1.2081742,1.210794,1.2116508,1.212506
2011-09-25,1.2103446,1.2112836,1.2056623,1.2101107,1.2116663,1.211949,1.2151483
2011-09-26,1.2085272,1.2074157,1.2210922,1.2097585,1.2128036,1.2125602,1.2240101
2011-09-27,1.2138761,1.2092556,1.2110829,1.2113409,1.215498,1.2239498,1.2308547
2011-09-28,1.2096527,1.2099699,1.2112862,1.2126157,1.2237573,1.2319508,1.2331146
2011-09-29,1.2108271,1.2120764,1.2145896,1.2226018,1.2316165,1.2359283,1.2351615
2011-09-30,1.2076144,1.213465,1.223717,1.2303809,1.2327292,1.2361953,1.2402264
2011-10-02,1.2129655,1.2226566,1.2326884,1.2353468,1.2390041,1.2427578,1.2436585
2011-10-03,1.2223324,1.2314578,1.2359612,1.2387424,1.2400938,1.2436407,1.2458507
2011-10-04,1.2331926,1.2355703,1.2406934,1.2416792,1.2448308,1.2455198,1.2508765
2011-10-05,1.2343702,1.239415,1.2416245,1.2439656,1.2459298,1.249255,1.2618666
2011-10-06,1.2397958,1.242466,1.243961,1.243515,1.2483069,1.2574514,1.26153
2011-10-07,1.2401698,1.2440553,1.2463166,1.2495149,1.2620683,1.2645047,1.2729838
2011-10-09,1.2429994,1.2460644,1.2480673,1.2607847,1.2651258,1.2766209,1.2758117
2011-10-10,1.2460511,1.2479626,1.2645239,1.2640435,1.2762258,1.2792723,1.276742
2011-10-11,1.2477148,1.2581216,1.2620516,1.2764354,1.2750425,1.275749,1.2748775
2011-10-12,1.2570798,1.2604543,1.2769955,1.2769539,1.2754681,1.2780645,1.2809572
2011-10-13,1.2653071,1.2745411,1.2740287,1.2725804,1.2738587,1.2761323,1.2759047
2011-10-14,1.2746708,1.2764779,1.2799782,1.2785186,1.2799785,1.274767,1.2767568
2011-10-16,1.2765601,1.2748039,1.2756884,1.274318,1.2755401,1.2807809,1.2807072
2011-10-17,1.2773285,1.2746226,1.2747009,1.2762895,1.27787,1.27701,1.281543
2011-10-18,1.281349,1.279099,1.2741393,1.2777789,1.2782193,1.270879,1.2766596
2011-10-19,1.2778537,1.2795844,1.279101,1.282243,1.2820754,1.277624,1.2846668
2011-10-20,1.2757627,1.2704355,1.2755492,1.2787819,1.2817574,1.2794427,1.2737145
2011-10-21,1.2764142,1.2771261,1.2805438,1.2779589,1.2817228,1.281017,1.2792712
2011-10-23,1.2771319,1.2738954,1.2799947,1.2750955,1.2750599,1.2794304,1.2730657
2011-10-24,1.2770833,1.2767255,1.2780195,1.2766197,1.2776086,1.2787428,1.2789376
2011-10-25,1.2799658,1.2730664,1.2830391,1.2813332,1.2765706,1.2760359,1.272875
2011-10-26,1.2792761,1.2765372,1.2821836,1.2780643,1.271624,1.2761848,1.2768528
2011-10-27,1.2766309,1.2753415,1.2768372,1.2752347,1.2777388,1.2821927,1.27726
