,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY
2011-04-10,1382.8994,1383.0555,1382.9102,1381.529,1383.2413,1382.5513,1382.7262
2011-04-11,1401.6776,1401.834,1401.6884,1400.3074,1402.0198,1401.3295,1401.5046
2011-04-12,1420.4559,1420.6122,1420.4666,1419.0856,1420.798,1420.1078,1420.283
2011-04-13,1439.2341,1439.3905,1439.2449,1437.864,1439.5762,1438.8862,1439.0612
2011-04-14,1458.0125,1458.1687,1458.0232,1456.6423,1458.3546,1457.6644,1457.8395
2011-04-15,1476.7909,1476.947,1476.8015,1475.4205,1477.1328,1476.4427,1476.6178
2011-04-17,1495.5691,1495.7252,1495.5797,1494.1987,1495.911,1495.221,1495.396
2011-04-18,1514.3474,1514.5035,1514.3582,1512.977,1514.6893,1513.9993,1514.1743
2011-04-19,1533.1256,1533.2819,1533.1364,1531.7554,1533.4677,1532.7775,1532.9525
2011-04-20,1551.9039,1552.0599,1551.9146,1550.5336,1552.2458,1551.5557,1551.7307
2011-04-21,1570.6816,1570.8378,1570.6924,1569.3113,1571.0236,1570.3334,1570.5084
2011-04-24,1589.4576,1589.6138,1589.4683,1588.0873,1589.7996,1589.1094,1589.2845
2011-04-25,1608.2319,1608.3882,1608.2427,1606.8617,1608.574,1607.8839,1608.059
2011-04-26,1627.0062,1627.1625,1627.0168,1625.6357,1627.3481,1626.6578,1626.833
2011-04-27,1645.7845,1645.9408,1645.7953,1644.414,1646.1267,1645.4364,1645.6113
2011-04-28,1664.563,1664.7195,1664.574,1663.1924,1664.9053,1664.2148,1664.3899
2011-04-29,1683.3417,1683.498,1683.3524,1681.9711,1683.6837,1682.9933,1683.1685
2011-05-01,1702.1202,1702.2765,1702.131,1700.7496,1702.4623,1701.7721,1701.947
2011-05-02,1720.8987,1721.055,1720.9097,1719.5281,1721.241,1720.5505,1720.7256
2011-05-03,1739.6774,1739.8336,1739.6881,1738.3068,1740.0194,1739.3291,1739.5042
2011-05-04,1758.4559,1758.6122,1758.4667,1757.0853,1758.798,1758.1078,1758.2827
2011-05-05,1777.2344,1777.3907,1777.2452,1775.8639,1777.5767,1776.8862,1777.0613
2011-05-06,1796.0131,1796.1693,1796.0239,1794.6425,1796.3551,1795.6648,1795.8397
2011-05-08,1814.7916,1814.948,1814.8024,1813.421,1815.1337,1814.4432,1814.6184
2011-05-09,1833.5702,1833.7264,1833.5808,1832.1996,1833.9122,1833.2219,1833.397
2011-05-10,1852.3486,1852.505,1852.3596,1850.978,1852.6908,1852.0005,1852.1755
2011-05-11,1871.1272,1871.2837,1871.1381,1869.7566,1871.4694,1870.7789,1870.9541
2011-05-12,1889.9059,1890.0621,1889.9165,1888.5353,1890.2479,1889.5577,1889.7325
2011-05-13,1908.6843,1908.8406,1908.6953,1907.3137,1909.0266,1908.3362,1908.5112
2011-05-15,1927.4629,1927.6193,1927.4738,1926.0924,1927.805,1927.1146,1927.2897
2011-05-16,1946.2416,1946.3978,1946.2523,1944.871,1946.5835,1945.8933,1946.0682
2011-05-17,1965.02,1965.1764,1965.0309,1963.6494,1965.3623,1964.6719,1964.8469
2011-05-18,1983.7986,1983.955,1983.8094,1982.4281,1984.1407,1983.4503,1983.6254
2011-05-19,2002.5773,2002.7335,2002.588,2001.2067,2002.9192,2002.2289,2002.404
2011-05-20,2021.3557,2021.5121,2021.3665,2019.9851,2021.6979,2021.0076,2021.1826
2011-05-22,2040.1343,2040.2906,2040.1451,2038.7637,2040.4764,2039.7861,2039.961
2011-05-23,2058.9128,2059.069,2058.9236,2057.5422,2059.255,2058.5645,2058.7397
2011-05-24,2077.6914,2077.8477,2077.7021,2076.3208,2078.0334,2077.3433,2077.5183
2011-05-25,2096.47,2096.6262,2096.481,2095.0994,2096.8123,2096.1218,2096.2969
2011-05-26,2115.2485,2115.4048,2115.2593,2113.878,2115.5906,2114.9004,2115.0752
2011-05-27,2134.027,2134.1833,2134.0378,2132.6565,2134.3691,2133.679,2133.854
2011-05-29,2152.8057,2152.962,2152.8167,2151.435,2153.148,2152.4573,2152.6326
2011-05-30,2171.5842,2171.7405,2171.5952,2170.2139,2171.9263,2171.236,2171.4111
2011-05-31,2190.3628,2190.5193,2190.3735,2188.9922,2190.7048,2190.0144,2190.1895
2011-06-01,2209.141,2209.2976,2209.152,2207.7708,2209.4834,2208.793,2208.9683
2011-06-02,2227.92,2228.0762,2227.9307,2226.5496,2228.262,2227.5718,2227.7468
2011-06-03,2246.6985,2246.855,2246.7092,2245.3281,2247.0405,2246.35,2246.5251
2011-06-05,2265.4768,2265.6333,2265.4878,2264.1064,2265.819,2265.1287,2265.304
2011-06-06,2284.2556,2284.4119,2284.2664,2282.885,2284.5977,2283.9075,2284.0825
2011-06-07,2303.0342,2303.1907,2303.045,2301.6638,2303.3762,2302.6858,2302.8608
2011-06-08,2321.8125,2321.969,2321.8235,2320.4421,2322.1548,2321.4644,2321.6396
2011-06-09,2340.5913,2340.7476,2340.602,2339.2207,2340.9333,2340.2432,2340.4182
2011-06-10,2359.37,2359.5261,2359.3806,2357.9995,2359.712,2359.0215,2359.1965
2011-06-12,2378.1482,2378.3044,2378.1592,2376.7778,2378.4905,2377.8,2377.9753
2011-06-13,2396.927,2397.0833,2396.9377,2395.5564,2397.269,2396.5789,2396.754
2011-06-14,2415.7058,2415.8618,2415.7163,2414.3352,2416.0476,2415.3572,2415.5322
2011-06-15,2434.484,2434.6401,2434.4949,2433.1135,2434.8262,2434.1357,2434.311
2011-06-16,2453.2627,2453.419,2453.2734,2451.892,2453.6047,2452.9146,2453.0896
2011-06-17,2472.0413,2472.1975,2472.0522,2470.6707,2472.3833,2471.6929,2471.868
2011-06-19,2490.8196,2490.976,2490.8306,2489.4492,2491.1619,2490.4714,2490.6467
2011-06-20,2509.5984,2509.7546,2509.6091,2508.2278,2509.9404,2509.25,2509.425
2011-06-21,2528.3767,2528.5332,2528.3877,2527.0063,2528.719,2528.0286,2528.2039
2011-06-22,2547.1553,2547.3118,2547.1663,2545.7852,2547.4976,2546.8071,2546.9822
2011-06-23,2565.934,2566.0903,2565.9448,2564.5635,2566.2761,2565.5857,2565.7607
2011-06-24,2584.7124,2584.869,2584.7234,2583.342,2585.0547,2584.3643,2584.5396
2011-06-26,2603.491,2603.6475,2603.5017,2602.1206,2603.8333,2603.1428,2603.3179
2011-06-27,2622.2698,2622.426,2622.2805,2620.8992,2622.6118,2621.9214,2622.0964
2011-06-28,2641.048,2641.2046,2641.059,2639.6777,2641.3904,2640.7,2640.8752
2011-06-29,2659.827,2659.9832,2659.8374,2658.4563,2660.1687,2659.4785,2659.6536
2011-06-30,2678.6055,2678.7615,2678.6162,2677.2349,2678.9475,2678.257,2678.4321
2011-07-01,2697.3838,2697.5403,2697.3948,2696.0134,2697.726,2697.0356,2697.211
2011-07-03,2716.1626,2716.3188,2716.173,2714.792,2716.5044,2715.8145,2715.9893
2011-07-04,2734.9412,2735.0972,2734.952,2733.5706,2735.2832,2734.5925,2734.7678
2011-07-05,2753.7195,2753.8757,2753.7305,2752.349,2754.0618,2753.3713,2753.5466
2011-07-06,2772.4983,2772.6545,2772.509,2771.1277,2772.84,2772.1501,2772.325
2011-07-07,2791.2769,2791.433,2791.2876,2789.906,2791.619,2790.9282,2791.1035
2011-07-08,2810.0552,2810.2114,2810.0662,2808.6848,2810.3975,2809.707,2809.8823
2011-07-10,2828.834,2828.9902,2828.8447,2827.4634,2829.1758,2828.4858,2828.661
2011-07-11,2847.6123,2847.7688,2847.6233,2846.2417,2847.9546,2847.264,2847.4392
2011-07-12,2866.3909,2866.547,2866.4019,2865.0205,2866.7332,2866.0427,2866.218
2011-07-13,2885.1697,2885.326,2885.1804,2883.799,2885.5117,2884.8213,2884.9963
2011-07-14,2903.9478,2904.1045,2903.9587,2902.5776,2904.29,2903.5996,2903.775
2011-07-15,2922.7266,2922.8828,2922.7373,2921.3562,2923.0688,2922.3784,2922.5535
2011-07-17,2941.5054,2941.6616,2941.516,2940.1348,2941.8474,2941.157,2941.332
2011-07-18,2960.2837,2960.4402,2960.2944,2958.9133,2960.6257,2959.9353,2960.1106
2011-07-19,2979.0623,2979.2185,2979.073,2977.6917,2979.4043,2978.714,2978.8892
2011-07-20,2997.841,2997.9973,2997.8518,2996.4705,2998.183,2997.4927,2997.6677
2011-07-21,3016.6194,3016.776,3016.6301,3015.249,3016.9614,3016.2712,3016.4463
2011-07-22,3035.398,3035.5542,3035.4087,3034.0273,3035.74,3035.0498,3035.2249
2011-07-24,3054.1768,3054.3328,3054.1875,3052.8062,3054.5188,3053.8284,3054.0034
2011-07-25,3072.955,3073.1113,3072.966,3071.5847,3073.297,3072.607,3072.782
2011-07-26,3091.7336,3091.8901,3091.7444,3090.363,3092.0757,3091.3855,3091.5605
2011-07-27,3110.5125,3110.6685,3110.5232,3109.1418,3110.8545,3110.1638,3110.339
2011-07-28,3129.2908,3129.447,3129.3018,3127.9204,3129.6328,3128.9426,3129.118
2011-07-29,3148.0693,3148.2258,3148.08,3146.6987,3148.4114,3147.7212,3147.8962
2011-07-31,3166.848,3167.0042,3166.859,3165.4773,3167.1902,3166.4995,3166.6748
2011-08-01,3185.6265,3185.7827,3185.6375,3184.256,3185.9688,3185.2783,3185.4536
2011-08-02,3204.405,3204.5615,3204.4158,3203.0347,3204.747,3204.0566,3204.2317
2011-08-03,3223.1833,3223.3398,3223.1943,3221.813,3223.526,3222.8352,3223.0105
2011-08-04,3241.9622,3242.1182,3241.9731,3240.5918,3242.3044,3241.614,3241.7888
2011-08-05,3260.7307,3260.8867,3260.7415,3259.361,3261.0723,3260.3828,3260.5576
2011-08-07,3279.4946,3279.651,3279.5056,3278.1252,3279.837,3279.1467,3279.322
2011-08-08,3298.2593,3298.4153,3298.27,3296.8896,3298.6008,3297.9111,3298.0862
2011-08-09,3317.0232,3317.1794,3317.0342,3315.6538,3317.3655,3316.6753,3316.8503
2011-08-10,3335.7874,3335.9436,3335.7983,3334.418,3336.1294,3335.4397,3335.6145
2011-08-11,3354.5518,3354.708,3354.5627,3353.1824,3354.894,3354.2039,3354.3787
2011-08-12,3373.316,3373.4722,3373.3267,3371.9465,3373.658,3372.968,3373.143
2011-08-14,3392.0803,3392.2366,3392.0913,3390.711,3392.422,3391.7324,3391.9072
2011-08-15,3410.8445,3411.0007,3410.8552,3409.475,3411.1865,3410.4963,3410.6714
2011-08-16,3429.6086,3429.765,3429.6196,3428.2393,3429.9507,3429.2607,3429.4358
2011-08-17,3448.373,3448.5293,3448.3838,3447.0037,3448.7148,3448.025,3448.2
2011-08-18,3467.1372,3467.2935,3467.1482,3465.7678,3467.4792,3466.7893,3466.964
2011-08-19,3485.9014,3486.0576,3485.9124,3484.532,3486.2434,3485.5535,3485.7285
2011-08-21,3504.6658,3504.822,3504.6768,3503.2964,3505.0078,3504.3179,3504.4927
2011-08-22,3523.43,3523.5862,3523.4407,3522.0603,3523.772,3523.0818,3523.257
2011-08-23,3542.1943,3542.3506,3542.205,3540.8247,3542.5361,3541.8464,3542.0212
2011-08-24,3560.9585,3561.1145,3560.9692,3559.5889,3561.3005,3560.6104,3560.7854
2011-08-25,3579.7227,3579.8787,3579.7334,3578.353,3580.0645,3579.3748,3579.5498
2011-08-26,3598.4868,3598.643,3598.4978,3597.1174,3598.8289,3598.139,3598.314
2011-08-28,3617.251,3617.4072,3617.262,3615.8816,3617.593,3616.903,3617.0781
2011-08-29,3636.0151,3636.1714,3636.0264,3634.6458,3636.3574,3635.6675,3635.8425
2011-08-30,3654.7795,3654.9358,3654.7903,3653.4102,3655.1216,3654.4316,3654.6064
2011-08-31,3673.5437,3673.7,3673.5547,3672.1743,3673.8857,3673.1958,3673.3708
2011-09-01,3692.308,3692.4644,3692.3188,3690.9385,3692.65,3691.9602,3692.135
2011-09-02,3711.0723,3711.2285,3711.0833,3709.703,3711.4143,3710.7244,3710.8992
2011-09-04,3729.8364,3729.9927,3729.8472,3728.467,3730.1785,3729.4883,3729.6636
2011-09-05,3748.6008,3748.757,3748.6118,3747.2314,3748.9426,3748.253,3748.4277
2011-09-06,3767.365,3767.5212,3767.3757,3765.9956,3767.707,3767.0168,3767.192
2011-09-07,3786.1292,3786.2854,3786.1404,3784.7598,3786.4712,3785.7815,3785.9563
2011-09-08,3804.8936,3805.0498,3804.9043,3803.5242,3805.2354,3804.5454,3804.7205
2011-09-09,3823.6577,3823.814,3823.6685,3822.288,3823.9998,3823.3098,3823.4849
2011-09-11,3842.422,3842.5784,3842.4329,3841.0522,3842.764,3842.074,3842.249
2011-09-12,3861.1863,3861.3425,3861.197,3859.8167,3861.5283,3860.8384,3861.0132
2011-09-13,3879.9504,3880.1064,3879.9612,3878.5808,3880.2925,3879.6023,3879.7776
2011-09-14,3898.7148,3898.8708,3898.7256,3897.3452,3899.0564,3898.3667,3898.5417
2011-09-15,3917.4788,3917.635,3917.4897,3916.1094,3917.821,3917.1309,3917.306
2011-09-16,3936.243,3936.3992,3936.2542,3934.8735,3936.585,3935.8953,3936.0703
2011-09-18,3955.0073,3955.1636,3955.0183,3953.638,3955.3496,3954.6594,3954.8342
2011-09-19,3973.7715,3973.9277,3973.7822,3972.402,3974.1135,3973.4236,3973.5986
2011-09-20,3992.536,3992.6921,3992.5469,3991.1665,3992.8777,3992.188,3992.3628
2011-09-21,4011.3,4011.4563,4011.3108,4009.9307,4011.642,4010.952,4011.127
2011-09-22,4030.0642,4030.2205,4030.0752,4028.6948,4030.4062,4029.7163,4029.8914
2011-09-23,4048.8286,4048.9849,4048.8394,4047.4592,4049.1704,4048.4805,4048.6555
2011-09-25,4067.5928,4067.749,4067.6038,4066.2234,4067.9348,4067.2449,4067.4197
2011-09-26,4086.357,4086.5132,4086.368,4084.9875,4086.699,4086.009,4086.184
2011-09-27,4105.121,4105.2773,4105.1323,4103.752,4105.4634,4104.7734,4104.948
2011-09-28,4123.8857,4124.042,4123.8965,4122.516,4124.2275,4123.5376,4123.7124
2011-09-29,4142.65,4142.806,4142.6606,4141.2803,4142.9917,4142.302,4142.4766
2011-09-30,4161.414,4161.5703,4161.425,4160.0444,4161.756,4161.066,4161.241
2011-10-02,4180.178,4180.3345,4180.189,4178.8086,4180.52,4179.8306,4180.0054
2011-10-03,4198.9424,4199.0986,4198.953,4197.5728,4199.2847,4198.594,4198.7695
2011-10-04,4217.707,4217.863,4217.718,4216.337,4218.0483,4217.359,4217.5337
2011-10-05,4236.4707,4236.627,4236.482,4235.1016,4236.813,4236.123,4236.298
2011-10-06,4255.235,4255.391,4255.2456,4253.8657,4255.577,4254.887,4255.062
2011-10-07,4273.9995,4274.156,4274.0103,4272.6304,4274.341,4273.652,4273.826
2011-10-09,4292.7637,4292.92,4292.7744,4291.394,4293.105,4292.416,4292.591
2011-10-10,4311.528,4311.6836,4311.5386,4310.1587,4311.87,4311.18,4311.355
2011-10-11,4330.292,4330.4478,4330.3027,4328.923,4330.634,4329.944,4330.1187
2011-10-12,4349.056,4349.213,4349.0664,4347.687,4349.398,4348.709,4348.8833
2011-10-13,4367.821,4367.977,4367.8315,4366.451,4368.162,4367.473,4367.648
2011-10-14,4386.585,4386.7407,4386.5957,4385.216,4386.9272,4386.237,4386.4116
2011-10-16,4405.3486,4405.505,4405.3594,4403.9795,4405.691,4405.001,4405.176
2011-10-17,4424.1133,4424.27,4424.1235,4422.7437,4424.455,4423.765,4423.9404
2011-10-18,4442.878,4443.0337,4442.8887,4441.5083,4443.219,4442.53,4442.7046
2011-10-19,4461.6416,4461.798,4461.653,4460.2725,4461.984,4461.294,4461.4688
2011-10-20,4480.406,4480.562,4480.4165,4479.0366,4480.748,4480.058,4480.233
2011-10-21,4499.17,4499.326,4499.1807,4497.801,4499.512,4498.822,4498.9976
2011-10-23,4517.935,4518.091,4517.946,4516.5654,4518.276,4517.587,4517.761
2011-10-24,4536.6987,4536.855,4536.7095,4535.329,4537.041,4536.351,4536.526
2011-10-25,4555.463,4555.6187,4555.4736,4554.0938,4555.805,4555.1147,4555.29
2011-10-26,4574.227,4574.383,4574.238,4572.858,4574.569,4573.879,4574.0537
2011-10-27,4592.991,4593.148,4593.0015,4591.622,4593.333,4592.644,4592.8184
2011-10-28,4611.756,4611.9116,4611.7666,4610.386,4612.097,4611.408,4611.583
2011-10-30,4630.52,4630.676,4630.531,4629.151,4630.8623,4630.172,4630.3467
2011-10-31,4649.2837,4649.44,4649.2944,4647.9146,4649.626,4648.936,4649.111
2011-11-01,4668.0483,4668.205,4668.0586,4666.679,4668.39,4667.701,4667.8755
2011-11-02,4686.813,4686.9688,4686.8237,4685.4434,4687.1543,4686.465,4686.6396
2011-11-03,4705.5767,4705.733,4705.5874,4704.2075,4705.919,4705.229,4705.404
2011-11-04,4724.341,4724.497,4724.3516,4722.9717,4724.683,4723.993,4724.168
2011-11-06,4743.1055,4743.2617,4743.1157,4741.736,4743.4473,4742.757,4742.932
2011-11-07,4761.8696,4762.026,4761.881,4760.5,4762.211,4761.522,4761.697
2011-11-08,4780.634,4780.79,4780.6445,4779.2646,4780.976,4780.286,4780.461
2011-11-09,4799.398,4799.5537,4799.4087,4798.029,4799.74,4799.05,4799.225
2011-11-10,4818.162,4818.3184,4818.173,4816.793,4818.504,4817.814,4817.9893
2011-11-11,4836.927,4837.083,4836.9375,4835.557,4837.268,4836.579,4836.7534
2011-11-13,4855.691,4855.8467,4855.7017,4854.3213,4856.0327,4855.343,4855.518
2011-11-14,4874.455,4874.611,4874.466,4873.086,4874.797,4874.107,4874.2817
2011-11-15,4893.2188,4893.375,4893.2295,4891.8496,4893.561,4892.871,4893.046
2011-11-16,4911.9834,4912.1396,4911.9937,4910.6143,4912.325,4911.636,4911.8105
2011-11-17,4930.748,4930.904,4930.759,4929.3784,4931.089,4930.4,4930.5747
2011-11-18,4949.5117,4949.668,4949.5225,4948.1426,4949.854,4949.164,4949.339
2011-11-20,4968.276,4968.432,4968.2866,4966.9067,4968.618,4967.928,4968.103
2011-11-21,4987.0405,4987.197,4987.051,4985.6714,4987.3823,4986.693,4986.867
2011-11-22,5005.8047,5005.961,5005.8154,5004.435,5006.146,5005.457,5005.632
2011-11-23,5024.569,5024.725,5024.5796,5023.1997,5024.911,5024.221,5024.396
2011-11-24,5043.333,5043.489,5043.3438,5041.964,5043.6753,5042.985,5043.1597
2011-11-25,5062.097,5062.254,5062.108,5060.7275,5062.439,5061.749,5061.9243
2011-11-27,5080.862,5081.018,5080.8726,5079.492,5081.203,5080.514,5080.689
2011-11-28,5099.626,5099.7817,5099.6367,5098.257,5099.9683,5099.278,5099.453
2011-11-29,5118.39,5118.546,5118.401,5117.0205,5118.732,5118.042,5118.217
2011-11-30,5137.154,5137.3105,5137.1646,5135.7847,5137.496,5136.806,5136.9814
2011-12-01,5155.919,5156.0747,5155.9297,5154.5493,5156.2603,5155.571,5155.7456
2011-12-02,5174.683,5174.839,5174.694,5173.3135,5175.0244,5174.335,5174.51
2011-12-04,5193.447,5193.603,5193.4575,5192.0776,5193.789,5193.099,5193.274
2011-12-05,5212.211,5212.3667,5212.2217,5210.842,5212.553,5211.8633,5212.038
2011-12-06,5230.9756,5231.132,5230.986,5229.6064,5231.3174,5230.628,5230.8022
2011-12-07,5249.7397,5249.896,5249.7505,5248.37,5250.081,5249.392,5249.567
2011-12-08,5268.504,5268.66,5268.5146,5267.135,5268.846,5268.1562,5268.331
2011-12-09,5287.268,5287.424,5287.279,5285.899,5287.6104,5286.92,5287.0947
2011-12-11,5306.032,5306.189,5306.0425,5304.663,5306.374,5305.685,5305.8594
2011-12-12,5324.797,5324.953,5324.8076,5323.4272,5325.138,5324.449,5324.624
2011-12-13,5343.561,5343.717,5343.572,5342.192,5343.9033,5343.213,5343.3877
2011-12-14,5362.3247,5362.481,5362.336,5360.9556,5362.667,5361.977,5362.152
2011-12-15,5381.089,5381.246,5381.0996,5379.7197,5381.431,5380.741,5380.9165
2011-12-16,5399.854,5400.01,5399.8647,5398.4844,5400.1953,5399.506,5399.681
2011-12-18,5418.618,5418.774,5418.629,5417.249,5418.96,5418.27,5418.445
2011-12-19,5437.382,5437.538,5437.3926,5436.0127,5437.724,5437.034,5437.209
2011-12-20,5456.146,5456.3022,5456.1567,5454.777,5456.4883,5455.798,5455.9736
2011-12-21,5474.911,5475.067,5474.9214,5473.5415,5475.252,5474.563,5474.7373
2011-12-22,5493.675,5493.831,5493.6855,5492.305,5494.0166,5493.327,5493.502
2011-12-23,5512.439,5512.5947,5512.4497,5511.07,5512.7812,5512.0913,5512.266
2011-12-27,5531.203,5531.359,5531.214,5529.834,5531.545,5530.855,5530.185
2011-12-28,5549.9673,5550.124,5549.9775,5548.598,5550.309,5548.7744,5548.0435
2011-12-29,5568.732,5568.888,5568.7427,5567.3623,5568.2285,5566.6323,5565.9644
2011-12-30,5587.496,5587.652,5587.507,5585.2812,5586.0864,5584.5537,5583.941
2012-01-02,5606.26,5606.416,5605.426,5603.14,5604.008,5602.531,5601.973
2012-01-03,5625.0244,5624.335,5623.284,5621.06,5621.9844,5620.5625,5620.0547
2012-01-04,5642.9434,5642.194,5641.205,5639.0376,5640.0166,5638.6445,5638.1816
2012-01-05,5660.6577,5659.9697,5659.037,5656.925,5657.954,5656.6265,5656.2114
2012-01-06,5678.702,5678.0703,5677.193,5675.1304,5676.204,5674.9233,5674.5454
