,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD
2011-04-01,1.390016,1.3904874,1.3912439,1.3919468,1.3943582,1.3953831,1.4011102
2011-04-03,1.3955562,1.3849838,1.3938988,1.3994697,1.4005545,1.4034948,1.3992128
2011-04-04,1.3968688,1.3984286,1.3982316,1.3989606,1.3963938,1.402458,1.403793
2011-04-05,1.4010445,1.4001329,1.4035834,1.3981733,1.4050403,1.4064102,1.4111164
2011-04-06,1.3861157,1.3930261,1.3902004,1.3830233,1.3898047,1.4003094,1.3970867
2011-04-07,1.398936,1.3987491,1.4026775,1.4050411,1.4084822,1.4066854,1.4092362
2011-04-08,1.4013078,1.4015576,1.4032581,1.4080498,1.4057888,1.4098371,1.4091624
2011-04-10,1.400795,1.4077809,1.4081608,1.4008919,1.4112375,1.409115,1.407899
2011-04-11,1.4043493,1.405402,1.4082735,1.409559,1.4065995,1.4100735,1.4119184
2011-04-12,1.4065962,1.4077065,1.4074875,1.4084564,1.4125111,1.4137172,1.4063653
2011-04-13,1.3941319,1.4115363,1.410886,1.4075282,1.4095562,1.4119006,1.4137437
2011-04-14,1.4055173,1.409197,1.4097211,1.4219157,1.4195211,1.4214257,1.4143827
2011-04-15,1.4124568,1.4137025,1.4108346,1.4122593,1.4149933,1.4148223,1.4167203
2011-04-17,1.4126053,1.4140472,1.4129636,1.4124197,1.4188673,1.4160265,1.4176551
2011-04-18,1.4154878,1.4178834,1.4168394,1.416432,1.419455,1.4221323,1.4221989
2011-04-19,1.4184932,1.4186125,1.4176992,1.4230741,1.4255637,1.4215481,1.4237925
2011-04-20,1.4206666,1.4158187,1.4162295,1.4152589,1.4180903,1.4203874,1.4209433
2011-04-21,1.4187294,1.4173886,1.4211556,1.424489,1.4211841,1.421799,1.4279499
2011-04-24,1.4194958,1.4276861,1.4184057,1.421421,1.4190397,1.4188673,1.4342573
2011-04-25,1.4162909,1.4207199,1.4221306,1.4244494,1.4233351,1.4216433,1.4232745
2011-04-26,1.4269832,1.422759,1.4241704,1.4133866,1.4242383,1.4201293,1.4280583
2011-04-27,1.4256246,1.4203082,1.4283355,1.427796,1.4253439,1.430791,1.4313741
2011-04-28,1.4188333,1.42444,1.4271522,1.4279675,1.4298471,1.4370208,1.4429474
2011-04-29,1.4226152,1.4323015,1.4295043,1.432055,1.4301531,1.4375981,1.4444274
2011-05-01,1.4281073,1.4278237,1.4320726,1.4326112,1.4396638,1.4417052,1.443519
2011-05-02,1.4287536,1.428158,1.4336324,1.4358865,1.4408437,1.4229599,1.4543614
2011-05-03,1.4312637,1.4418187,1.4419051,1.44382,1.4462075,1.4410168,1.446717
2011-05-04,1.4287565,1.4423118,1.4411705,1.4346802,1.4412546,1.4424297,1.440702
2011-05-05,1.4369491,1.4385551,1.4489535,1.4484851,1.4379643,1.4453974,1.4411658
2011-05-06,1.439904,1.4328398,1.4519577,1.4567906,1.4454265,1.4479364,1.4362099
2011-05-08,1.4343624,1.4393659,1.444658,1.45119,1.4416155,1.4484922,1.4395472
2011-05-09,1.4407818,1.4499683,1.4544111,1.4430493,1.4463623,1.4354994,1.4557949
2011-05-10,1.4456174,1.4506531,1.4497352,1.4492639,1.4396988,1.4413155,1.4408214
2011-05-11,1.4478275,1.4435139,1.4424372,1.4420804,1.4485735,1.4503888,1.4490998
2011-05-12,1.4438539,1.445308,1.4377344,1.4463569,1.4366367,1.4505085,1.4362682
2011-05-13,1.4415073,1.4398509,1.4382008,1.4463669,1.4415076,1.4387848,1.4406414
2011-05-15,1.4429023,1.4415367,1.4345443,1.4410466,1.4420271,1.4424906,1.4422547
2011-05-16,1.4392173,1.4471996,1.441316,1.4447097,1.4377735,1.4435481,1.4388986
2011-05-17,1.4460533,1.4413401,1.444038,1.4465435,1.4441578,1.4497669,1.4376643
2011-05-18,1.4465295,1.4427055,1.4491677,1.4470268,1.4485924,1.4469117,1.4423294
2011-05-19,1.4422709,1.4377744,1.4397663,1.4396907,1.438385,1.4477757,1.4402704
2011-05-20,1.4407313,1.4436104,1.441603,1.4411979,1.4467611,1.4409447,1.4409475
2011-05-22,1.4485825,1.45195,1.445445,1.4457932,1.4448643,1.4326528,1.4416881
2011-05-23,1.4485209,1.4390405,1.4415915,1.438576,1.443155,1.4352204,1.436209
2011-05-24,1.4386718,1.4359854,1.4419158,1.4355233,1.4374657,1.4317523,1.4352689
2011-05-25,1.4375968,1.4390575,1.4392167,1.4413812,1.4334819,1.4335934,1.4309924
2011-05-26,1.4434358,1.4394296,1.4274737,1.4362186,1.4275482,1.4358664,1.4247229
2011-05-27,1.4404124,1.4390507,1.4388766,1.4362211,1.4404941,1.4314299,1.4320095
2011-05-29,1.43679,1.4372205,1.4279639,1.4404317,1.4362934,1.4368938,1.4377766
2011-05-30,1.4356604,1.4335322,1.4278853,1.4324161,1.435073,1.430269,1.4382589
2011-05-31,1.4356236,1.438979,1.4262577,1.436478,1.433901,1.4392302,1.434147
2011-06-01,1.4417539,1.4380039,1.4380813,1.4429916,1.4364915,1.4386867,1.4379425
2011-06-02,1.4322067,1.4378178,1.4291642,1.4410888,1.4357741,1.43345,1.4401958
2011-06-03,1.4302727,1.4409289,1.4333395,1.4313235,1.4324567,1.4344078,1.439118
2011-06-05,1.4375739,1.4369776,1.4366336,1.4343679,1.4360656,1.439492,1.4380527
2011-06-06,1.4372582,1.436957,1.4375917,1.444124,1.4387043,1.4369899,1.4324529
2011-06-07,1.4415656,1.443527,1.4389952,1.438071,1.4335217,1.436839,1.432476
2011-06-08,1.4282103,1.4438663,1.4358239,1.4351509,1.4363248,1.4437367,1.4365816
2011-06-09,1.4332201,1.4392617,1.4382318,1.4400617,1.4378362,1.4305681,1.4314069
2011-06-10,1.4361851,1.431975,1.4330753,1.4390384,1.4327554,1.439786,1.4283118
2011-06-12,1.4368006,1.435574,1.433927,1.4327774,1.4334105,1.4389032,1.4226935
2011-06-13,1.4389604,1.4377505,1.4370214,1.4369533,1.4341424,1.4334186,1.4323953
2011-06-14,1.4344364,1.432783,1.4346567,1.4370352,1.4306954,1.4234835,1.4313858
2011-06-15,1.4262964,1.4351144,1.4325696,1.4389058,1.4258616,1.4248134,1.4242531
2011-06-16,1.4357184,1.4268652,1.4260354,1.4233035,1.4301312,1.4202663,1.422831
2011-06-17,1.4311762,1.4298141,1.4324596,1.4264159,1.434591,1.4271945,1.4340765
2011-06-19,1.4181314,1.4257196,1.4172455,1.4287926,1.4298011,1.430283,1.4295177
2011-06-20,1.4358039,1.4284557,1.4269974,1.431158,1.4304291,1.4240148,1.4339881
2011-06-21,1.4253227,1.4328364,1.4289299,1.4281425,1.4239916,1.4291868,1.4210932
2011-06-22,1.4257458,1.4241585,1.4255342,1.424634,1.4251956,1.4258986,1.4231706
2011-06-23,1.4291104,1.4254816,1.4266009,1.4314125,1.4309648,1.4287828,1.4290358
2011-06-24,1.4273071,1.4182503,1.4261918,1.4273111,1.4281785,1.4304714,1.4240519
2011-06-26,1.4224483,1.4350786,1.4325799,1.434156,1.4345083,1.4256939,1.4284225
2011-06-27,1.4275534,1.4279454,1.4261522,1.4349103,1.4331137,1.4249483,1.4339318
2011-06-28,1.4330838,1.421702,1.4292635,1.4320474,1.4283528,1.433173,1.4344562
2011-06-29,1.4309397,1.4238898,1.4213623,1.4299095,1.4284366,1.4311036,1.4327844
2011-06-30,1.4207379,1.4213328,1.4329408,1.4300973,1.4329615,1.4379395,1.4386758
2011-07-01,1.4308767,1.4294986,1.4320848,1.4304535,1.4334764,1.4382772,1.4315726
2011-07-03,1.4342501,1.4360163,1.4358096,1.4396656,1.4385118,1.4414835,1.4392321
2011-07-04,1.4342936,1.4359627,1.4352056,1.4381108,1.4383056,1.435648,1.4369302
2011-07-05,1.4358944,1.4386996,1.4385368,1.4368484,1.437348,1.4383701,1.4316001
2011-07-06,1.4336628,1.4343754,1.439399,1.4390932,1.4416924,1.4373473,1.4367785
2011-07-07,1.4361095,1.4373273,1.4394213,1.4363017,1.438389,1.4347497,1.4333675
2011-07-08,1.4379504,1.437686,1.4428829,1.4355685,1.4380443,1.4423211,1.435848
2011-07-10,1.4357152,1.4311392,1.4396458,1.432316,1.4364536,1.4364204,1.433008
2011-07-11,1.4383835,1.4407682,1.4358788,1.4385273,1.4376142,1.4386799,1.4345084
2011-07-12,1.4414626,1.4392738,1.4381924,1.4377646,1.4379747,1.4338914,1.4321504
2011-07-13,1.4357471,1.4344525,1.4393576,1.4387654,1.433303,1.4363801,1.430506
2011-07-14,1.4404355,1.4341037,1.438155,1.4316709,1.4350582,1.4337469,1.4340293
2011-07-15,1.4399686,1.4353164,1.4307808,1.4357548,1.4302595,1.4317776,1.426356
2011-07-17,1.441391,1.4385418,1.4382157,1.4337378,1.4291463,1.4263607,1.4247065
2011-07-18,1.4344691,1.4320333,1.4305549,1.4236046,1.4313309,1.4318683,1.429066
2011-07-19,1.4306018,1.4243815,1.433251,1.4305928,1.4296162,1.4255608,1.4216969
2011-07-20,1.4313428,1.425668,1.4212106,1.4265972,1.4204081,1.423147,1.430936
2011-07-21,1.4304273,1.4326452,1.4259882,1.4282415,1.4247527,1.4164801,1.4259337
2011-07-22,1.4354161,1.4348434,1.4333639,1.4305296,1.423271,1.4313204,1.431118
2011-07-24,1.4342767,1.4361138,1.432461,1.4321315,1.4346678,1.4280913,1.428714
2011-07-25,1.4266101,1.4271624,1.4341099,1.4265832,1.4330968,1.4221519,1.4321644
2011-07-26,1.4290974,1.4259862,1.4266754,1.4295603,1.4291457,1.4260293,1.4296548
2011-07-27,1.426515,1.4250563,1.4219859,1.4369223,1.4276088,1.4230015,1.4239982
2011-07-28,1.4272133,1.427956,1.430366,1.4302144,1.4259646,1.4348419,1.4331529
2011-07-29,1.4264895,1.4263593,1.4273283,1.4224663,1.4277451,1.438453,1.4269236
2011-07-31,1.4362339,1.433815,1.4308861,1.4321856,1.440385,1.4423052,1.4318548
2011-08-01,1.4305892,1.4258659,1.4355406,1.4303234,1.4352496,1.4289032,1.4289473
2011-08-02,1.4236357,1.4302309,1.430556,1.4268328,1.4321357,1.4304715,1.433085
2011-08-03,1.429144,1.4348272,1.4334742,1.426692,1.4277829,1.433523,1.4283212
