,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD
2011-03-22,0.75485253,0.75159276,0.7373259,0.74209833,0.7377008,0.7400156,0.7396134
2011-03-23,0.743843,0.7441329,0.7424394,0.744459,0.7492736,0.74164057,0.7424757
2011-03-24,0.7459833,0.74277437,0.7460338,0.7427271,0.7446792,0.7450453,0.74293244
2011-03-25,0.74237776,0.73770946,0.74589026,0.7444009,0.74454,0.7454732,0.7442441
2011-03-27,0.741434,0.7479581,0.74398214,0.7458319,0.7455323,0.7441414,0.74561006
2011-03-28,0.744964,0.74308354,0.74456763,0.746778,0.74284256,0.74246025,0.7436194
2011-03-29,0.74308926,0.7424749,0.74305433,0.7449346,0.7417529,0.74316967,0.7428452
2011-03-30,0.74684936,0.7441658,0.74446595,0.74403137,0.7451315,0.7438494,0.7440408
2011-03-31,0.74471164,0.7443321,0.74868405,0.74584174,0.74314636,0.74248815,0.7395293
2011-04-01,0.74038017,0.7432214,0.740307,0.7416293,0.7442832,0.7442824,0.7407927
2011-04-03,0.74372053,0.7458271,0.7426714,0.7432569,0.7453903,0.7428592,0.743037
2011-04-04,0.7420572,0.7440285,0.7441336,0.7421957,0.74187887,0.74435496,0.7434736
2011-04-05,0.7416617,0.7387372,0.74426603,0.7440761,0.7421526,0.7402961,0.74526054
2011-04-06,0.7460427,0.7447833,0.74146926,0.74488294,0.74471563,0.7484346,0.742797
2011-04-07,0.7544451,0.74447083,0.74415255,0.7393459,0.7498692,0.74386376,0.7368964
2011-04-08,0.74211025,0.7411102,0.7392129,0.7425433,0.74350595,0.7439031,0.74935186
2011-04-10,0.74478793,0.7433147,0.74324,0.7458129,0.7468735,0.74235463,0.7453675
2011-04-11,0.7411083,0.7461821,0.74244523,0.7435198,0.7456867,0.74720657,0.75051564
2011-04-12,0.74388844,0.7478733,0.7446414,0.7464598,0.7467063,0.75123775,0.7515536
2011-04-13,0.742793,0.74591637,0.74287516,0.74803454,0.75310814,0.7514392,0.7515546
2011-04-14,0.74346334,0.7427181,0.7485603,0.7479161,0.7515969,0.7540081,0.75401044
2011-04-15,0.7428322,0.74764407,0.75049126,0.7530671,0.7538774,0.7541451,0.7619745
2011-04-17,0.7431667,0.7485529,0.7531476,0.7524914,0.7560679,0.7605009,0.76334786
2011-04-18,0.74759984,0.75026214,0.7539222,0.75593615,0.76111317,0.7628572,0.76229525
2011-04-19,0.7533568,0.7535826,0.7573815,0.755918,0.7622541,0.76291007,0.76733315
2011-04-20,0.75241673,0.7530305,0.7622504,0.76165116,0.76282024,0.76658046,0.76893365
2011-04-21,0.7517093,0.7577194,0.758636,0.7616143,0.7661283,0.76953006,0.76974994
2011-04-24,0.75815487,0.760739,0.7608225,0.76348305,0.7677914,0.76915306,0.7756784
2011-04-25,0.7604212,0.7611201,0.7658886,0.7719874,0.7683872,0.7759204,0.7774365
2011-04-26,0.7630284,0.7654927,0.7676021,0.7693725,0.7778067,0.7779776,0.7794528
2011-04-27,0.7665573,0.7662785,0.7724124,0.7794125,0.775199,0.7796963,0.7824494
