,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY
2011-04-12,88.92085,88.99114,89.07632,89.35004,89.39058,89.54079,89.57957
2011-04-13,88.94608,89.108574,89.29841,89.3595,89.50066,89.55421,89.58453
2011-04-14,89.07044,89.35977,89.4149,89.52592,89.535995,89.628876,89.972626
2011-04-15,89.31898,89.385765,89.51488,89.564,89.58954,89.97377,90.0449
2011-04-17,89.387886,89.50965,89.56273,89.56419,89.98802,90.0776,90.45833
2011-04-18,89.52245,89.55411,89.5953,89.98771,90.08651,90.495705,90.78505
2011-04-19,89.56342,89.65579,89.96679,90.103645,90.51608,90.81276,90.907684
2011-04-20,89.55293,90.0076,90.096214,90.497955,90.78802,90.93211,91.09344
2011-04-21,90.00839,90.0816,90.47599,90.79729,91.00384,91.0866,91.58565
2011-04-24,90.103264,90.481255,90.79753,90.97599,91.05986,91.5594,91.89373
2011-04-25,90.49074,90.77312,91.025246,91.08962,91.600784,91.921906,92.17224
2011-04-26,90.79021,90.99308,91.0988,91.626114,91.87316,92.22531,92.50884
2011-04-27,90.98437,91.043015,91.57939,91.89607,92.24215,92.56494,92.5939
2011-04-28,91.07523,91.625854,91.87981,92.12575,92.57418,92.616646,92.70708
2011-04-29,91.641945,91.88269,92.17555,92.58128,92.62018,92.730484,92.73471
2011-05-01,91.847046,92.203865,92.52157,92.614365,92.65403,92.746796,92.81831
2011-05-02,92.202446,92.51681,92.60171,92.65102,92.69011,92.78217,92.73688
2011-05-03,92.58373,92.62378,92.69765,92.74299,92.75547,92.74849,92.75372
2011-05-04,92.66643,92.63775,92.73855,92.76265,92.687706,92.78322,92.768196
2011-05-05,92.734505,92.777504,92.736496,92.78821,92.7446,92.75004,92.78305
2011-05-06,92.78756,92.788155,92.7403,92.70876,92.77792,92.7842,92.73547
2011-05-08,92.74984,92.78711,92.78528,92.70213,92.74585,92.75143,92.75674
2011-05-09,92.77912,92.77792,92.79131,92.75415,92.77889,92.78516,92.77086
2011-05-10,92.71024,92.79464,92.75007,92.793365,92.74708,92.752754,92.78533
2011-05-11,92.6866,92.777756,92.79187,92.71462,92.77981,92.78606,92.73864
2011-05-12,92.73915,92.74968,92.73297,92.707985,92.74822,92.753975,92.75945
2011-05-13,92.69547,92.78851,92.76954,92.75963,92.78076,92.78701,92.73918
2011-05-15,92.76832,92.710495,92.742226,92.79859,92.74935,92.75519,92.729126
2011-05-16,92.82223,92.70391,92.744286,92.72031,92.7817,92.78793,92.77889
2011-05-17,92.80472,92.75508,92.80479,92.71372,92.75049,92.77837,92.8394
2011-05-18,92.684074,92.79376,92.78157,92.76505,92.78766,92.846924,92.71086
2011-05-19,92.80904,92.715965,92.74409,92.7979,92.749504,92.68298,92.66878
2011-05-20,92.7476,92.70935,92.792755,92.740005,92.7166,92.69875,92.70345
2011-05-22,92.73946,92.77567,92.82126,92.71026,92.66429,92.68263,92.70018
2011-05-23,92.69317,92.80916,92.68299,92.68288,92.653015,92.69904,92.66732
2011-05-24,92.85882,92.756065,92.68626,92.69463,92.70768,92.682274,92.70441
2011-05-25,92.68055,92.633644,92.71816,92.70009,92.71927,92.69937,92.70082
2011-05-26,92.72228,92.69088,92.68202,92.672676,92.66237,92.68185,92.66594
2011-05-27,92.702415,92.71504,92.68547,92.67314,92.66643,92.69972,92.75894
2011-05-29,92.65869,92.67508,92.71964,92.721466,92.767,92.80919,92.942856
2011-05-30,92.67963,92.67373,92.681244,92.704735,92.81636,92.80194,92.995636
2011-05-31,92.72578,92.702675,92.68512,92.82028,92.90514,93.05444,93.0818
2011-06-01,92.703926,92.69648,92.80582,92.88911,92.97447,93.10131,93.13663
2011-06-02,92.656075,92.748985,92.80712,92.99929,93.07126,93.17472,93.46957
2011-06-03,92.85296,92.800446,92.95338,93.04896,93.10942,93.478355,93.58304
2011-06-05,92.828896,92.98992,93.11042,93.22397,93.45127,93.66809,93.69664
2011-06-06,93.01147,93.074104,93.15731,93.42627,93.674644,93.58553,93.6666
2011-06-07,93.069046,93.128136,93.42713,93.59217,93.541504,93.64466,93.72312
2011-06-08,93.08909,93.40705,93.6119,93.67146,93.71336,93.70029,93.75149
2011-06-09,93.49969,93.674904,93.64323,93.64664,93.751305,93.75681,93.743454
2011-06-10,93.573944,93.687225,93.66699,93.73903,93.748665,93.70459,93.780876
2011-06-12,93.51728,93.58673,93.72859,93.71516,93.784035,93.79883,93.906204
2011-06-13,93.65554,93.70662,93.723885,93.70437,93.814804,93.8703,94.62271
2011-06-14,93.75561,93.72843,93.714554,93.72404,93.942024,94.62387,94.62392
2011-06-15,93.68099,93.74163,93.81505,93.90919,94.60825,94.582794,94.70822
2011-06-16,93.68608,93.77783,93.892456,94.575645,94.637695,94.69312,94.84541
2011-06-17,93.7911,93.94603,94.64799,94.61858,94.62939,94.81655,94.89451
2011-06-19,93.93242,94.61613,94.59844,94.64376,94.86999,94.877,94.87337
2011-06-20,94.625275,94.62609,94.65923,94.8345,94.89399,94.90397,94.901436
2011-06-21,94.504265,94.61013,94.8042,94.88394,94.925224,94.93241,95.05938
2011-06-22,94.691925,94.856285,94.85282,94.89798,95.038,95.03849,95.11035
2011-06-23,94.850266,94.88025,94.89503,94.980156,95.015236,95.11769,95.13841
2011-06-24,94.84764,94.90572,94.9597,95.04295,95.08745,95.15018,95.26155
2011-06-26,94.90264,94.93039,95.02733,95.127625,95.13695,95.35745,95.410805
2011-06-27,95.01746,94.99077,95.103325,95.14928,95.2934,95.42126,95.45607
2011-06-28,95.003006,95.09399,95.1373,95.28218,95.37923,95.40823,95.39595
2011-06-29,95.14392,95.15461,95.312325,95.37369,95.44032,95.45857,95.409225
2011-06-30,95.20959,95.24507,95.40449,95.468704,95.42615,95.406975,95.386314
2011-07-01,95.32211,95.35135,95.45229,95.38746,95.41838,95.45848,95.49938
2011-07-03,95.41486,95.417404,95.359055,95.46249,95.443924,95.423805,95.4912
2011-07-04,95.398346,95.3638,95.40986,95.473595,95.46359,95.56774,95.54136
2011-07-05,95.412,95.44879,95.51972,95.47381,95.50682,95.56904,95.68418
2011-07-06,95.3879,95.50318,95.44231,95.50765,95.52101,95.73427,95.8444
2011-07-07,95.45997,95.43483,95.50962,95.53458,95.69941,95.86314,95.80035
2011-07-08,95.47691,95.49275,95.498764,95.69786,95.7382,95.75959,95.87597
2011-07-10,95.55492,95.523315,95.73328,95.869576,95.830414,95.80604,95.83153
2011-07-11,95.54636,95.710976,95.861534,95.84643,95.80343,95.86692,95.89955
2011-07-12,95.73568,95.86163,95.79344,95.852715,95.79392,95.85091,95.85837
2011-07-13,95.881454,95.837944,95.84068,95.83276,95.89258,95.86821,95.84903
2011-07-14,95.71398,95.806656,95.82799,95.81733,95.856224,95.88219,95.90336
2011-07-15,95.8031,95.914055,95.877625,95.880585,95.87212,95.88594,96.01822
2011-07-17,95.83511,95.913704,95.856346,95.8729,95.89245,95.96047,95.956085
2011-07-18,95.85293,95.85571,95.88567,95.90601,95.9223,95.99455,95.96973
2011-07-19,95.874504,95.87344,95.89459,95.94181,95.97038,95.97345,95.98903
2011-07-20,95.88177,95.91816,95.93414,95.964615,95.97041,95.97952,96.04948
2011-07-21,95.8757,95.95227,95.916016,95.94157,96.0209,96.0516,96.075745
2011-07-22,96.002335,95.98116,95.94227,95.99169,96.04862,96.0361,96.11341
2011-07-24,95.931114,95.956314,95.99347,96.04901,96.08515,96.115685,96.17036
2011-07-25,96.03214,96.00325,96.06589,96.05577,96.09895,96.14889,96.17794
2011-07-26,95.982704,96.07191,96.08936,96.0899,96.15737,96.132904,96.20643
2011-07-27,96.05739,96.06529,96.09872,96.14571,96.16394,96.163666,96.184586
2011-07-28,96.03342,96.11887,96.10779,96.17442,96.20851,96.2009,96.27696
2011-07-29,96.06885,96.15093,96.14345,96.18259,96.240776,96.281235,96.2794
2011-07-31,96.13045,96.183495,96.201256,96.26979,96.21747,96.28485,96.319565
2011-08-01,96.196884,96.19917,96.21647,96.284904,96.25088,96.3161,96.37137
2011-08-02,96.193756,96.23054,96.27846,96.31139,96.33844,96.35554,96.686005
2011-08-03,96.26134,96.275444,96.31151,96.33402,96.40603,96.666626,96.80849
