,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD
2011-03-22,1.0069413,1.0082306,1.0078318,1.0079623,1.0062723,1.0034105,1.0108564
2011-03-23,1.0108876,1.0062164,1.0109078,1.0088146,1.0134934,1.0073977,1.0090215
2011-03-24,1.0099989,1.0004408,1.0074415,1.0083873,1.0125363,1.0113926,1.0070777
2011-03-25,1.0070348,1.0056975,1.0075302,1.0055377,1.0130256,1.012476,1.0119798
2011-03-27,1.010334,1.0121224,1.0086348,1.01048,1.0129364,1.0092095,1.0100801
2011-03-28,1.0083385,1.0069833,1.0079137,1.0096431,1.0060263,1.013166,1.0117768
2011-03-29,1.0133471,1.0159544,1.0176389,1.0167938,1.0170403,1.0209347,1.0181167
2011-03-30,1.016802,1.0100745,1.0121489,1.0118732,1.0132965,1.0177534,1.012511
2011-03-31,1.0106633,1.0123656,1.011561,1.0176777,1.0115547,1.0152742,1.0134897
2011-04-01,1.0098032,1.0132159,1.0119139,1.0103459,1.0103219,1.0116305,1.0156193
2011-04-03,1.0058243,1.0076265,1.0098835,1.0070256,1.0088353,1.0127771,1.0121304
2011-04-04,1.0110905,1.0118859,1.0081426,1.0109712,1.0098703,1.0153396,1.0150719
2011-04-05,1.0123922,1.0149653,1.0151197,1.0153745,1.0153143,1.0123401,1.0165144
2011-04-06,1.0169845,1.0140603,1.0118171,1.0138624,1.0155787,1.0180593,1.0199379
2011-04-07,1.0080858,1.0124137,1.0118523,1.0124484,1.0129964,1.0131023,1.0137343
2011-04-08,1.0147377,1.0168966,1.0136259,1.0124428,1.0155704,1.0123518,1.0177922
2011-04-10,1.0190599,1.0186193,1.0121915,1.0155308,1.0167668,1.0201141,1.0207685
2011-04-11,1.0115483,1.0157934,1.017089,1.0122731,1.0140777,1.0167001,1.0236458
2011-04-12,1.013677,1.0159793,1.0159237,1.0168508,1.0185459,1.024208,1.0252155
2011-04-13,1.014311,1.0166142,1.0153697,1.0175565,1.024953,1.0250914,1.0270538
2011-04-14,1.0130556,1.0153747,1.0181599,1.0231411,1.0220146,1.0249453,1.0318841
2011-04-15,1.0155543,1.0162414,1.020622,1.0260568,1.0247853,1.0247188,1.0318336
2011-04-17,1.0181824,1.0212183,1.0234684,1.0227823,1.0254796,1.0302241,1.0337225
2011-04-18,1.020293,1.0240923,1.0264224,1.0320283,1.0291274,1.0314116,1.0312223
2011-04-19,1.0260073,1.0264629,1.0283662,1.0303559,1.0345333,1.034912,1.0362432
2011-04-20,1.0284163,1.0298438,1.0334771,1.032252,1.0346243,1.0355301,1.0380604
2011-04-21,1.0240228,1.0326377,1.0312706,1.036939,1.0339746,1.036828,1.0378838
2011-04-24,1.0320091,1.0336651,1.0336908,1.0324125,1.0355046,1.0398318,1.0437922
2011-04-25,1.0338582,1.0345082,1.0389302,1.0389996,1.0400332,1.0397129,1.0483993
2011-04-26,1.0342264,1.0342417,1.0375774,1.0377008,1.0413263,1.0462312,1.0463562
2011-04-27,1.0359843,1.0388069,1.037131,1.041651,1.042753,1.0424845,1.048604
2011-04-28,1.0351907,1.03869,1.0434114,1.0462799,1.049346,1.0522671,1.049918
2011-04-29,1.0413485,1.0404632,1.043271,1.0470436,1.0482229,1.0476772,1.0489936
2011-05-01,1.0409285,1.0434102,1.0447738,1.0482697,1.0517392,1.0535635,1.0494599
2011-05-02,1.0435069,1.0369668,1.0430442,1.0504133,1.0510106,1.0458218,1.0530982
2011-05-03,1.0519667,1.0531044,1.0468311,1.0517565,1.0532997,1.054812,1.0529656
2011-05-04,1.0525937,1.0509634,1.0487398,1.0505593,1.0487115,1.0457203,1.0592191
2011-05-05,1.0501502,1.0521045,1.0511783,1.0513061,1.0573032,1.0598903,1.0530622
2011-05-06,1.0479833,1.048951,1.0542077,1.0477809,1.0514151,1.0537484,1.0610355
2011-05-08,1.0489491,1.0517321,1.0497139,1.049448,1.0531182,1.0626686,1.0610049
2011-05-09,1.0511632,1.0591371,1.0540034,1.0563656,1.062559,1.0563095,1.0620247
2011-05-10,1.0531949,1.0534087,1.0604172,1.0576283,1.0623903,1.0679611,1.0656322
2011-05-11,1.0553935,1.0574898,1.0620857,1.0655267,1.0670015,1.0635824,1.0633612
2011-05-12,1.0581086,1.0580715,1.0658432,1.0656393,1.0671669,1.0636585,1.0588344
2011-05-13,1.05772,1.0650207,1.0664103,1.0650265,1.0634981,1.0627315,1.0666147
2011-05-15,1.0620142,1.0654835,1.0592778,1.0673614,1.0639358,1.0622952,1.066113
2011-05-16,1.0613158,1.0654378,1.069598,1.0686326,1.0654441,1.0729394,1.0666575
2011-05-17,1.065307,1.0682955,1.0692582,1.0647271,1.0670907,1.0696417,1.0734056
2011-05-18,1.0658393,1.0630562,1.063967,1.0653157,1.067304,1.068424,1.0637668
2011-05-19,1.066601,1.0721197,1.0752861,1.0673493,1.0700281,1.0726584,1.0685433
2011-05-20,1.064717,1.0680115,1.067054,1.0664489,1.0655985,1.069382,1.0697516
2011-05-22,1.0661101,1.0745604,1.0707737,1.0673984,1.0736763,1.0705824,1.0701388
2011-05-23,1.0732665,1.0727897,1.0694046,1.0704907,1.0737168,1.0718762,1.0728964
2011-05-24,1.0649825,1.0738705,1.0634302,1.0641054,1.0699368,1.0673414,1.0688393
2011-05-25,1.0679287,1.0685601,1.0692543,1.06223,1.0662239,1.0663615,1.0710472
2011-05-26,1.067783,1.0693698,1.066136,1.0672351,1.0682764,1.0735354,1.0742979
2011-05-27,1.0667446,1.0695273,1.068965,1.0692738,1.0736601,1.0717448,1.0754377
2011-05-29,1.067831,1.0660996,1.0697796,1.0690781,1.0714605,1.0727537,1.0689056
2011-05-30,1.0673901,1.0718026,1.0646411,1.0688819,1.0688565,1.0713667,1.0713826
2011-05-31,1.0690184,1.0708697,1.0723794,1.072727,1.068761,1.0673261,1.0674554
2011-06-01,1.0663776,1.0653998,1.0655707,1.0662711,1.0652002,1.0653726,1.069943
2011-06-02,1.0723906,1.0719087,1.0719317,1.0759035,1.0729827,1.0752597,1.0786453
2011-06-03,1.068758,1.0669838,1.0674723,1.0661315,1.0641146,1.0713656,1.0688983
2011-06-05,1.0661128,1.0675068,1.0736326,1.0706959,1.065922,1.068899,1.0678304
2011-06-06,1.070964,1.0714569,1.0690174,1.0768977,1.0720361,1.0717121,1.0706397
2011-06-07,1.0744681,1.0735555,1.0721793,1.0738593,1.0752565,1.0735815,1.0731463
2011-06-08,1.070726,1.0697818,1.0692012,1.0710509,1.071861,1.068388,1.0669756
2011-06-09,1.0640951,1.0631118,1.0642544,1.0683526,1.0681256,1.0669837,1.0662781
2011-06-10,1.0622915,1.0630044,1.0661284,1.0638229,1.0623515,1.0610151,1.0604131
2011-06-12,1.0719165,1.0692525,1.0692194,1.0680931,1.0666152,1.0654061,1.0651025
2011-06-13,1.0646048,1.0643845,1.0652131,1.0649257,1.0630586,1.0651106,1.0615082
2011-06-14,1.0652621,1.070482,1.0659405,1.0645673,1.0658969,1.0668058,1.0675914
2011-06-15,1.0639687,1.0623597,1.0589229,1.0627141,1.0649484,1.0591277,1.0601512
2011-06-16,1.0630155,1.0679306,1.0658724,1.0628538,1.0662317,1.0625219,1.0626838
2011-06-17,1.0675702,1.0701293,1.0650408,1.0650107,1.06715,1.0639572,1.0659294
2011-06-19,1.0674018,1.0638723,1.0672392,1.0653032,1.0645384,1.0622381,1.0612378
2011-06-20,1.0631334,1.0610799,1.061986,1.0595865,1.0634803,1.0591642,1.0589634
2011-06-21,1.0671364,1.0671688,1.0606575,1.0622416,1.063027,1.0644742,1.0639777
2011-06-22,1.0615503,1.061053,1.0623767,1.0610355,1.0621092,1.0598276,1.0591645
2011-06-23,1.0649995,1.0624179,1.0577307,1.0593923,1.0626158,1.0629482,1.0595536
2011-06-24,1.0654896,1.0625787,1.0635028,1.0610161,1.0644503,1.0621763,1.0621278
2011-06-26,1.0646906,1.064626,1.0589038,1.0609292,1.0613545,1.0618875,1.0650299
2011-06-27,1.0689763,1.0655715,1.0677228,1.0639193,1.0671532,1.0640358,1.0667951
2011-06-28,1.0594321,1.0580467,1.0562112,1.0603459,1.0609393,1.0621401,1.0601583
2011-06-29,1.0605532,1.0605872,1.0628208,1.0612872,1.0650033,1.0627991,1.0616294
2011-06-30,1.0615335,1.060616,1.0606359,1.0628933,1.0641774,1.0602624,1.0645787
2011-07-01,1.0611815,1.0614482,1.0594358,1.0589418,1.060138,1.0613245,1.0605233
2011-07-03,1.0622832,1.0616755,1.0609272,1.0619115,1.061772,1.0653738,1.0646365
2011-07-04,1.059417,1.0654175,1.0613905,1.0617602,1.0615396,1.064465,1.0643864
2011-07-05,1.059431,1.0609678,1.0624856,1.0615187,1.0642035,1.0642625,1.0643595
2011-07-06,1.0601691,1.0605205,1.0647638,1.0649616,1.0654132,1.0662051,1.0659275
2011-07-07,1.0637376,1.0644212,1.0652417,1.0684721,1.0664222,1.0660026,1.0657091
2011-07-08,1.0636778,1.0661532,1.0649726,1.06485,1.0652354,1.0648202,1.0633513
2011-07-10,1.0645086,1.0673776,1.0655766,1.063498,1.0630214,1.0653778,1.0643191
2011-07-11,1.0650761,1.0659145,1.0623553,1.0663917,1.0631891,1.0665287,1.0640193
2011-07-12,1.065007,1.0645887,1.0625516,1.0665548,1.0633214,1.0655794,1.0636711
2011-07-13,1.0691845,1.0665076,1.0624644,1.0650469,1.0642246,1.0644367,1.0616263
2011-07-14,1.0640621,1.0646768,1.0629299,1.0618916,1.061949,1.0620859,1.0592139
2011-07-15,1.0708897,1.0688369,1.0638186,1.0649258,1.0659658,1.0685822,1.062724
2011-07-17,1.0666776,1.064265,1.0642133,1.0635413,1.0626315,1.0642699,1.0616833
2011-07-18,1.0670666,1.0637892,1.0649366,1.066411,1.0657806,1.0684023,1.0658545
2011-07-19,1.0618786,1.0638199,1.0632474,1.0604742,1.0626392,1.0662217,1.0644467
2011-07-20,1.0615746,1.0627854,1.062555,1.0641775,1.0630255,1.0642656,1.0661522
2011-07-21,1.0643896,1.0624319,1.0622504,1.0645465,1.0639901,1.0667349,1.07114
2011-07-22,1.0586555,1.0630859,1.0653737,1.0636688,1.069009,1.0671461,1.0713766
2011-07-24,1.0638095,1.0646107,1.066921,1.0659953,1.0673623,1.0678355,1.0685408
2011-07-25,1.0637288,1.0635378,1.0621487,1.0670102,1.068667,1.0693177,1.0673037
2011-07-26,1.0659577,1.0648729,1.0711092,1.0616899,1.0705161,1.0711837,1.0697633
2011-07-27,1.0632403,1.0675156,1.0653453,1.0620694,1.0664953,1.0635093,1.0682911
2011-07-28,1.067713,1.063555,1.0689944,1.0695018,1.0724934,1.0670468,1.0744008
2011-07-29,1.0684123,1.0731459,1.0719073,1.0719767,1.0714182,1.0755527,1.0781881
2011-07-31,1.0718089,1.0694593,1.0730201,1.0754771,1.0727367,1.0741735,1.0747383
2011-08-01,1.0717709,1.0710131,1.0700115,1.0735024,1.076223,1.0718198,1.0701644
2011-08-02,1.0596542,1.0673323,1.0602392,1.0659273,1.0703644,1.060143,1.0693588
2011-08-03,1.0696183,1.0690973,1.0702891,1.0702574,1.0714185,1.070721,1.070919
2011-08-04,1.0672219,1.068776,1.0689478,1.0660107,1.0685261,1.0671493,1.0712965
2011-08-05,1.0725794,1.0698376,1.0689855,1.0711415,1.0716912,1.0644906,1.0701665
2011-08-07,1.0703088,1.0709009,1.0714365,1.0712339,1.0732851,1.0726733,1.0699687
2011-08-08,1.0715309,1.0718483,1.0727009,1.072761,1.072442,1.0710659,1.069203
2011-08-09,1.0722294,1.0733784,1.0731812,1.0727456,1.0737919,1.0729206,1.0720344
2011-08-10,1.0721177,1.073323,1.0717266,1.0724564,1.0728384,1.0712777,1.0705415
2011-08-11,1.0710826,1.0678059,1.0696601,1.0713317,1.0716377,1.0714359,1.0700688
2011-08-12,1.0716558,1.0737022,1.0722816,1.071744,1.0719612,1.0704116,1.0690244
2011-08-14,1.0729294,1.0703167,1.0742705,1.0730544,1.070937,1.0701333,1.0685495
2011-08-15,1.0722656,1.0755847,1.0710714,1.0714619,1.0694067,1.0706112,1.0675232
2011-08-16,1.0711977,1.0696361,1.0694797,1.0696543,1.067633,1.0670277,1.0626247
2011-08-17,1.074297,1.0718827,1.0706204,1.0710021,1.0685866,1.0684026,1.0650698
2011-08-18,1.068583,1.0701435,1.0703548,1.0650929,1.0630165,1.059852,1.0606843
2011-08-19,1.0685542,1.0704129,1.0676627,1.063523,1.0623641,1.0625355,1.0603148
2011-08-21,1.068042,1.066301,1.0658078,1.0617588,1.059166,1.0605769,1.056638
2011-08-22,1.0687903,1.0615423,1.0630556,1.0608208,1.0595083,1.0547637,1.0524617
2011-08-23,1.0631175,1.0639586,1.0614417,1.0608213,1.0564086,1.0523939,1.0548563
2011-08-24,1.0644193,1.0594692,1.0606124,1.0560168,1.0517342,1.0521483,1.051387
2011-08-25,1.0598124,1.0601931,1.0547025,1.0516834,1.0524862,1.053023,1.0524416
2011-08-26,1.0607826,1.0559409,1.0517697,1.0522978,1.0522584,1.0521238,1.0521846
2011-08-28,1.0540309,1.0556786,1.0543284,1.0512913,1.0512841,1.0540526,1.0520744
2011-08-29,1.0538384,1.0542672,1.0560138,1.053229,1.0517707,1.0533941,1.0551751
2011-08-30,1.0531998,1.052533,1.0505161,1.0532709,1.0514055,1.0533034,1.0516638
2011-08-31,1.0546477,1.0526065,1.0536093,1.0519352,1.0536364,1.0530596,1.0543313
2011-09-01,1.0540457,1.0524516,1.0525609,1.0525945,1.0529602,1.0547172,1.0561932
2011-09-02,1.0529965,1.0543718,1.054471,1.0544152,1.0547581,1.0527222,1.0537765
2011-09-04,1.0522909,1.0526361,1.049934,1.054734,1.0519319,1.0539541,1.0511212
2011-09-05,1.0509224,1.0528762,1.052489,1.0529492,1.055189,1.054648,1.0511934
2011-09-06,1.0538809,1.0534458,1.051692,1.0540519,1.052798,1.0532154,1.0497991
2011-09-07,1.0527854,1.0566945,1.0500199,1.0524681,1.0505114,1.0455492,1.0486751
2011-09-08,1.054961,1.0518398,1.0537088,1.0515223,1.046347,1.0493019,1.047806
2011-09-09,1.0534309,1.055712,1.0544378,1.0512772,1.0526574,1.0479944,1.0455158
2011-09-11,1.0514497,1.0528879,1.0490074,1.0503573,1.0467112,1.0455651,1.0474864
2011-09-12,1.0554035,1.05169,1.0482938,1.0465202,1.0432822,1.0500492,1.0365855
2011-09-13,1.046367,1.0514189,1.0444255,1.0468249,1.0444131,1.045692,1.0456543
2011-09-14,1.0396442,1.0478203,1.0424507,1.0409594,1.0425909,1.0452875,1.0409296
2011-09-15,1.0463653,1.0511217,1.0481365,1.0436053,1.0419796,1.0450304,1.0458419
2011-09-16,1.0523964,1.0493317,1.0499139,1.0493643,1.0451779,1.0446811,1.043167
2011-09-18,1.051064,1.0462137,1.0473547,1.0464848,1.0396411,1.0478809,1.0453674
2011-09-19,1.0383754,1.0407488,1.044011,1.0475988,1.0421672,1.0424068,1.0385985
2011-09-20,1.0429053,1.042573,1.0443007,1.0454266,1.0486827,1.0402955,1.0480692
2011-09-21,1.0404311,1.0397801,1.0412189,1.0409639,1.0359768,1.0380981,1.0402002
2011-09-22,1.0431464,1.0433674,1.0424986,1.043289,1.0451,1.0438901,1.040526
2011-09-23,1.0462477,1.043766,1.0455754,1.0419687,1.0403212,1.0432639,1.042171
