,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR
2011-03-27,1018.0537,1018.04895,1018.0574,1018.05304,1018.0664,1018.0462,1018.0615
2011-03-28,1018.0517,1018.0512,1018.0458,1018.041,1018.0441,1018.06287,1018.0574
2011-03-29,1018.0532,1018.0533,1018.0469,1018.0515,1018.0621,1018.056,1018.04236
2011-03-30,1018.05505,1018.0435,1018.05835,1018.04926,1018.0446,1018.0463,1018.0496
2011-03-31,1018.04706,1018.04675,1018.0453,1018.0471,1018.0406,1018.06415,1016.66925
2011-04-01,1018.0497,1018.061,1018.04663,1018.0578,1018.0615,1016.6643,1016.67584
2011-04-03,1018.05396,1018.0487,1018.0592,1018.05414,1016.68164,1016.6699,1016.6848
2011-04-04,1018.04486,1018.0516,1018.04474,1016.6751,1016.6738,1016.68616,1016.677
2011-04-05,1018.0494,1018.054,1016.68695,1016.68274,1016.6807,1016.6866,1016.68744
2011-04-06,1018.0526,1016.6904,1016.693,1016.69604,1016.67365,1016.6737,1015.46576
2011-04-07,1016.6719,1016.6969,1016.6789,1016.6495,1016.681,1015.3807,1015.3831
2011-04-08,1016.6777,1016.6734,1016.68195,1016.69366,1015.466,1015.3243,1015.37
2011-04-10,1016.69794,1016.669,1016.6848,1015.41846,1015.3717,1015.37634,1014.8871
2011-04-11,1016.6835,1016.6968,1015.4102,1015.3434,1015.39215,1014.89923,1014.88763
2011-04-12,1016.65533,1015.41315,1015.3778,1015.3586,1014.90845,1014.9139,1014.8987
2011-04-13,1015.389,1015.3571,1015.302,1014.9085,1014.91,1014.90875,1014.9139
2011-04-14,1015.38684,1015.3564,1014.9063,1014.9055,1014.90546,1014.8877,1014.9117
2011-04-15,1015.3493,1014.9018,1014.86035,1014.90265,1014.9017,1014.90625,1014.9273
2011-04-17,1014.8904,1014.9241,1014.85767,1014.9181,1014.87756,1014.90204,1014.9037
2011-04-18,1014.9082,1014.9043,1014.8946,1014.892,1014.89716,1014.8983,1014.88324
2011-04-19,1014.9057,1014.8677,1014.9455,1014.8913,1014.90137,1014.91675,1014.89795
2011-04-20,1014.9025,1014.8778,1014.9484,1014.91034,1014.87476,1014.91077,1014.8915
2011-04-21,1014.92645,1014.92957,1014.9072,1014.9059,1014.9014,1014.8846,1014.88446
2011-04-24,1014.9021,1014.95123,1014.85004,1014.9022,1014.90393,1014.907,1015.34204
2011-04-25,1014.9058,1014.9237,1014.8468,1014.9211,1014.9035,1015.3338,1015.43176
2011-04-26,1014.909,1014.8774,1014.8926,1014.8892,1015.3766,1015.383,1015.4085
2011-04-27,1014.9062,1014.8866,1014.9556,1015.35956,1015.3353,1015.3822,1016.6775
2011-04-28,1014.9014,1014.9189,1015.3802,1015.31305,1015.44476,1016.6216,1018.5144
2011-04-29,1014.9308,1015.30676,1015.30884,1015.4155,1016.7004,1018.50085,1019.2786
2011-05-01,1015.19183,1015.3966,1015.4548,1016.6664,1018.56116,1019.2995,1019.293
2011-05-02,1015.35913,1015.4281,1016.71936,1018.4796,1019.3379,1019.2697,1019.36584
2011-05-03,1015.4777,1016.7069,1018.513,1019.33673,1019.2984,1019.3513,1019.68115
2011-05-04,1016.67615,1018.4805,1019.25,1019.30804,1019.36304,1019.6162,1023.69275
2011-05-05,1018.5307,1019.3469,1019.3529,1019.40955,1019.6077,1023.7219,1026.9032
2011-05-06,1019.33124,1019.3225,1019.4191,1019.64246,1023.66315,1026.8025,1027.1163
2011-05-08,1019.30066,1019.4239,1019.6484,1023.66046,1026.8174,1027.0972,1027.7778
2011-05-09,1019.38477,1019.6249,1023.7487,1026.8696,1027.0703,1027.7999,1029.5487
2011-05-10,1019.6075,1023.73114,1026.8152,1027.0641,1027.8114,1029.5377,1032.3889
2011-05-11,1023.6738,1026.7936,1027.1182,1027.8154,1029.5916,1032.4156,1032.5195
2011-05-12,1026.86,1027.0927,1027.8379,1029.5433,1032.4718,1032.501,1033.6957
2011-05-13,1027.1017,1027.8053,1029.5023,1032.4448,1032.5105,1033.7073,1035.7819
2011-05-15,1027.8315,1029.5819,1032.3644,1032.4928,1033.6796,1035.8595,1035.9054
2011-05-16,1029.6194,1032.399,1032.4598,1033.7206,1035.8368,1036.0271,1038.2401
2011-05-17,1032.4209,1032.4896,1033.7279,1035.893,1035.9834,1038.224,1039.2513
2011-05-18,1032.5245,1033.6791,1035.7793,1035.984,1038.1678,1039.2697,1039.3241
2011-05-19,1033.7244,1035.8225,1035.9086,1038.1604,1039.2859,1039.3032,1039.4346
2011-05-20,1035.8469,1035.9513,1038.239,1039.2549,1039.32,1039.3944,1043.6451
2011-05-22,1035.9468,1038.1088,1039.2826,1039.3412,1039.3838,1043.6064,1043.9418
2011-05-23,1038.2427,1039.189,1039.3075,1039.3854,1043.6527,1043.9067,1045.3898
2011-05-24,1039.2622,1039.3022,1039.3682,1043.7463,1043.9695,1045.3168,1046.4297
2011-05-25,1039.354,1039.4098,1043.6469,1043.9438,1045.3506,1046.4866,1047.292
2011-05-26,1039.4551,1043.5515,1043.955,1045.3906,1046.4192,1047.3257,1047.3905
2011-05-27,1043.6272,1044.01,1045.3677,1046.476,1047.2577,1047.4031,1048.5028
2011-05-29,1043.9735,1045.3385,1046.4373,1047.384,1047.4075,1048.4346,1049.9618
2011-05-30,1045.3508,1046.5007,1047.2819,1047.3878,1048.5231,1049.9303,1054.0482
2011-05-31,1046.4868,1047.2808,1047.5004,1048.6406,1050.0009,1053.9951,1054.3435
2011-06-01,1047.302,1047.3751,1048.5503,1049.8866,1053.9521,1054.3605,1054.5536
2011-06-02,1047.3746,1048.6415,1050.0093,1053.9059,1054.2874,1054.5637,1054.5336
2011-06-03,1048.5006,1049.9636,1053.8617,1054.2738,1054.6598,1054.5289,1054.6439
2011-06-05,1049.905,1053.9275,1054.3925,1054.589,1054.5406,1054.605,1055.0654
2011-06-06,1053.9991,1054.3151,1054.5873,1054.6078,1054.5704,1055.1504,1055.2883
2011-06-07,1054.4204,1054.5192,1054.5986,1054.627,1055.1544,1055.2446,1055.7794
2011-06-08,1054.5569,1054.508,1054.5472,1055.1108,1055.2065,1055.9807,1057.1802
2011-06-09,1054.6229,1054.589,1055.0172,1055.1505,1055.8977,1057.3203,1057.1191
2011-06-10,1054.6217,1055.0732,1055.2509,1055.9272,1057.2065,1057.3267,1057.9447
2011-06-12,1054.97,1055.166,1056.0172,1057.2201,1057.1997,1058.0018,1057.9152
2011-06-13,1055.2725,1056.1132,1057.211,1057.2074,1057.8699,1058.0935,1058.2814
2011-06-14,1055.9404,1057.257,1057.1324,1057.9386,1057.9568,1058.0422,1058.6971
2011-06-15,1057.2166,1057.2188,1057.9307,1058.0188,1058.0833,1058.5896,1058.7865
2011-06-16,1057.1128,1057.9313,1057.9794,1058.3181,1058.7539,1058.7374,1062.7616
2011-06-17,1057.8645,1057.9366,1058.03,1058.791,1058.9122,1062.9558,1065.2367
2011-06-19,1058.0361,1058.0269,1058.4183,1058.7085,1062.8446,1065.2091,1066.5212
2011-06-20,1058.1779,1058.7085,1058.8833,1062.8,1065.337,1066.3887,1066.4458
2011-06-21,1058.6587,1058.7687,1062.7161,1065.2452,1066.4781,1066.4242,1066.453
2011-06-22,1058.9574,1062.8308,1065.2708,1066.5187,1066.5172,1066.5374,1066.5239
2011-06-23,1062.9326,1065.269,1066.4229,1066.4303,1066.4801,1066.3307,1066.444
2011-06-24,1065.2415,1066.6282,1066.4897,1066.4814,1066.5138,1066.5641,1066.4517
2011-06-26,1066.3357,1066.6346,1066.4994,1066.4623,1066.4695,1066.3822,1066.5265
2011-06-27,1066.5082,1066.4978,1066.3431,1066.429,1066.4226,1066.4218,1066.4423
2011-06-28,1066.4706,1066.315,1066.4257,1066.495,1066.5217,1066.5454,1066.4502
2011-06-29,1066.3527,1066.3092,1066.4316,1066.4707,1066.4542,1066.3207,1065.2496
2011-06-30,1066.5676,1066.4528,1066.4456,1066.5243,1066.4692,1065.1628,1064.6351
2011-07-01,1066.3252,1066.6438,1066.5315,1066.4254,1065.3323,1064.7438,1062.888
2011-07-03,1066.514,1066.6498,1066.5319,1065.3329,1064.6602,1062.8293,1062.8884
2011-07-04,1066.473,1066.5002,1065.3517,1064.6759,1062.7906,1062.8395,1062.7307
2011-07-05,1066.3456,1065.2675,1064.776,1062.8647,1062.8005,1062.6876,1062.6846
2011-07-06,1065.208,1064.7126,1062.8329,1062.7466,1062.7063,1062.777,1062.8071
2011-07-07,1064.8536,1062.9242,1062.784,1062.8378,1062.8209,1062.7717,1062.9863
2011-07-08,1062.8788,1062.7626,1062.8981,1062.8289,1062.8306,1062.8552,1062.9695
2011-07-10,1062.8748,1062.8258,1062.909,1062.7446,1062.752,1062.8446,1062.7897
2011-07-11,1062.7924,1062.7035,1062.758,1062.8387,1062.926,1062.841,1064.6454
2011-07-12,1062.8844,1062.7834,1062.7177,1062.8293,1062.8556,1064.6649,1065.2538
2011-07-13,1062.8755,1062.8628,1062.8488,1062.7427,1064.6755,1065.404,1067.4506
2011-07-14,1062.7905,1062.8425,1062.8699,1064.5715,1065.3595,1067.1339,1067.485
2011-07-15,1062.8855,1062.8293,1064.591,1065.2736,1067.2725,1067.4877,1069.3563
2011-07-17,1062.876,1064.6859,1065.2054,1067.4431,1067.6198,1069.3583,1074.0695
2011-07-18,1064.5917,1065.2899,1067.3324,1067.6124,1069.3489,1073.9005,1074.6842
2011-07-19,1065.2024,1067.4141,1067.5034,1069.4076,1074.2058,1074.5729,1074.7948
2011-07-20,1067.3054,1067.4451,1069.3722,1074.1688,1074.6807,1074.7633,1074.8663
2011-07-21,1067.444,1069.3365,1073.9559,1074.7002,1074.7255,1075.0488,1077.1781
2011-07-22,1069.3534,1073.9827,1074.6273,1074.7579,1074.7666,1077.1327,1077.5994
