,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD
2011-03-30,1229.9802,1229.521,1229.4283,1228.9955,1228.5083,1229.1063,1228.3506
2011-03-31,1248.7872,1248.3225,1248.2284,1247.7953,1247.3035,1247.8993,1247.1433
2011-04-01,1267.495,1267.0476,1266.953,1266.5363,1266.0576,1266.636,1265.9044
2011-04-03,1283.2665,1282.9225,1282.8511,1282.5143,1282.1404,1282.6107,1282.0369
2011-04-04,1295.0507,1294.8394,1294.7852,1294.5865,1294.339,1294.6404,1294.277
2011-04-05,1302.245,1302.104,1302.0723,1301.9233,1301.7543,1301.9763,1301.7317
2011-04-06,1306.921,1306.8346,1306.8035,1306.7103,1307.4216,1307.6014,1307.3976
2011-04-07,1310.2474,1310.2101,1310.1932,1310.7477,1310.9509,1310.9745,1310.9406
2011-04-08,1310.7092,1310.7072,1311.2827,1311.4984,1311.5898,1311.1031,1311.1036
2011-04-10,1310.7024,1311.2399,1311.9006,1312.1152,1311.1217,1311.1034,1311.1029
2011-04-11,1311.2732,1311.8811,1312.5416,1311.6284,1311.1057,1311.1036,1311.1031
2011-04-12,1311.9393,1312.5468,1312.0358,1311.1003,1311.1045,1311.1003,1311.1036
2011-04-13,1312.6306,1312.0217,1311.1106,1311.1039,1311.1019,1311.1016,1310.7046
2011-04-14,1312.0852,1311.0985,1311.1033,1311.1012,1311.1031,1310.7095,1310.1537
2011-04-15,1311.0994,1311.1033,1311.1038,1311.1012,1310.6982,1310.1699,1310.1648
2011-04-17,1311.101,1311.1019,1311.103,1310.7028,1310.1643,1310.1653,1310.1613
2011-04-18,1311.1022,1311.1029,1310.691,1310.1746,1310.1638,1310.1643,1310.6919
2011-04-19,1311.1057,1310.695,1310.1819,1310.1625,1310.1638,1310.6891,1311.1017
2011-04-20,1310.6907,1310.1747,1310.1616,1310.1633,1310.6918,1311.1034,1311.3654
2011-04-21,1310.1799,1310.1615,1310.1635,1310.7064,1311.0978,1311.3654,1311.8257
2011-04-24,1310.1633,1310.1633,1310.6936,1311.1002,1311.3693,1311.817,1312.6627
2011-04-25,1310.1638,1310.707,1311.1028,1311.3689,1311.8169,1312.6534,1315.312
2011-04-26,1310.6945,1311.1036,1311.3656,1311.8278,1312.6837,1315.4065,1318.8553
2011-04-27,1311.1036,1311.3632,1311.8098,1312.7502,1315.5377,1319.0331,1323.2166
2011-04-28,1311.367,1311.82,1312.8064,1315.7157,1319.2103,1323.336,1324.5496
2011-04-29,1311.8207,1312.8203,1315.8878,1319.4426,1323.4324,1324.5675,1326.7261
2011-05-01,1312.8022,1316.0188,1319.667,1323.471,1324.5503,1326.7695,1326.926
2011-05-02,1316.1243,1319.877,1323.4515,1324.5176,1326.7875,1326.922,1327.1298
2011-05-03,1320.0645,1323.3995,1324.4806,1326.7888,1326.9269,1327.1274,1327.6384
2011-05-04,1323.3601,1324.4331,1326.784,1326.9297,1327.1377,1327.6329,1328.3422
2011-05-05,1324.5872,1326.7743,1326.9259,1327.1293,1327.6364,1328.3522,1328.7814
2011-05-06,1326.7236,1326.919,1327.1298,1327.6423,1328.353,1328.77,1329.854
2011-05-08,1326.9163,1327.1359,1327.6423,1328.3551,1328.7701,1329.8131,1330.688
2011-05-09,1327.1318,1327.6415,1328.349,1328.7742,1329.7893,1330.6826,1331.6719
2011-05-10,1327.6388,1328.3625,1328.7799,1329.7782,1330.6885,1331.6848,1331.7026
2011-05-11,1328.3271,1328.7792,1329.7761,1330.6936,1331.681,1331.6964,1331.6954
2011-05-12,1328.7786,1329.7688,1330.7189,1331.707,1331.6914,1331.7031,1331.6947
2011-05-13,1329.767,1330.6913,1331.6877,1331.6946,1331.6992,1331.6998,1332.5474
2011-05-15,1330.7218,1331.7067,1331.698,1331.6995,1331.7008,1332.5605,1333.2072
2011-05-16,1331.7173,1331.6902,1331.6974,1331.6938,1332.5746,1333.214,1333.5968
2011-05-17,1331.7009,1331.6975,1331.6993,1332.5427,1333.2064,1333.6101,1333.6022
2011-05-18,1331.7029,1331.698,1332.5658,1333.2059,1333.6029,1333.599,1333.6001
2011-05-19,1331.6938,1332.5281,1333.2068,1333.6068,1333.6017,1333.5955,1333.6036
2011-05-20,1332.5448,1333.2057,1333.608,1333.5952,1333.5958,1333.6061,1333.6012
2011-05-22,1333.2008,1333.6093,1333.6047,1333.599,1333.6024,1333.5945,1333.6085
2011-05-23,1333.6027,1333.5991,1333.6005,1333.6013,1333.6017,1333.5991,1333.5942
2011-05-24,1333.5946,1333.5974,1333.5941,1333.5936,1333.5953,1333.5977,1333.606
2011-05-25,1333.591,1333.602,1333.5946,1333.6067,1333.6027,1333.6007,1333.6089
2011-05-26,1333.606,1333.6005,1333.6035,1333.6156,1333.6022,1333.5972,1335.873
2011-05-27,1333.6073,1333.6047,1333.6038,1333.6018,1333.5948,1336.0251,1337.5154
2011-05-29,1333.6022,1333.5944,1333.593,1333.608,1336.0945,1337.5454,1337.5195
2011-05-30,1333.6075,1333.5933,1333.5951,1336.1599,1337.5027,1337.518,1337.5309
2011-05-31,1333.6068,1333.6078,1336.2854,1337.5283,1337.5175,1337.5089,1337.5251
2011-06-01,1333.6083,1336.4165,1337.5209,1337.5226,1337.5167,1337.5198,1337.5128
2011-06-02,1336.42,1337.504,1337.5178,1337.5077,1337.5238,1337.5198,1337.5187
2011-06-03,1337.506,1337.5205,1337.5326,1337.5227,1337.5226,1337.5209,1334.6462
2011-06-05,1337.5177,1337.536,1337.5277,1337.5245,1337.508,1334.4342,1332.7505
2011-06-06,1337.5177,1337.5282,1337.5143,1337.5226,1334.3799,1332.7241,1329.8574
2011-06-07,1337.519,1337.5353,1337.5219,1334.2106,1332.75,1329.8918,1329.374
2011-06-08,1337.517,1337.5157,1334.1007,1332.7367,1329.8782,1329.3723,1329.009
2011-06-09,1337.5306,1333.9803,1332.7472,1329.9293,1329.385,1329.0204,1328.8407
2011-06-10,1333.7952,1332.7528,1330.0001,1329.3739,1329.0043,1328.8427,1328.5203
2011-06-12,1332.7375,1330.0365,1329.3757,1329.0045,1328.8234,1328.5518,1325.9185
2011-06-13,1330.0181,1329.3729,1328.999,1328.8257,1328.5245,1325.91,1323.1936
2011-06-14,1329.4015,1328.9943,1328.8314,1328.5352,1325.9369,1323.2031,1321.1438
2011-06-15,1329.0006,1328.8278,1328.5342,1325.8868,1323.1447,1321.1584,1316.7615
2011-06-16,1328.8298,1328.5165,1325.7976,1323.1461,1321.1263,1316.643,1315.46
2011-06-17,1328.551,1325.7949,1323.1594,1321.1101,1316.5381,1315.4778,1313.9075
2011-06-19,1325.7742,1323.139,1321.1486,1316.3993,1315.4562,1313.9497,1312.4429
2011-06-20,1323.2201,1321.1129,1316.1077,1315.4537,1313.947,1312.4551,1307.6398
2011-06-21,1321.1345,1315.9865,1315.4669,1313.9418,1312.4656,1307.4802,1299.7172
2011-06-22,1315.8961,1315.4663,1313.9363,1312.4844,1307.3422,1299.4414,1291.5636
2011-06-23,1315.4717,1313.9745,1312.4915,1307.0017,1299.185,1291.6418,1289.6012
2011-06-24,1313.9644,1312.4689,1306.8416,1298.877,1291.6874,1289.6123,1289.6075
2011-06-26,1312.4567,1306.5552,1298.6143,1291.883,1289.6292,1289.636,1289.6388
2011-06-27,1306.7433,1298.3964,1291.8882,1289.6475,1289.5972,1289.6423,1289.6216
2011-06-28,1298.1421,1291.887,1289.6191,1289.6438,1289.6075,1289.6127,1289.6357
2011-06-29,1291.8705,1289.6245,1289.6249,1289.6005,1289.6338,1289.6061,1289.6157
