,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF
2011-04-01,195.61298,195.58109,195.5545,195.1984,194.97664,194.62677,194.29163
2011-04-03,195.55255,195.54352,195.16528,194.97322,194.64258,194.31372,194.16147
2011-04-04,195.53433,195.18074,194.96457,194.61823,194.30235,194.15237,193.44504
2011-04-05,195.18219,194.97134,194.62198,194.29266,194.13672,193.44788,192.18233
2011-04-06,194.96855,194.6256,194.30801,194.12247,193.4509,192.19885,191.3145
2011-04-07,194.64062,194.30096,194.14291,193.43336,192.21031,191.30414,190.60074
2011-04-08,194.30525,194.16339,193.4298,192.18805,191.31357,190.62018,190.40742
2011-04-10,194.13275,193.45844,192.17664,191.31525,190.62367,190.40115,189.94955
2011-04-11,193.45575,192.18512,191.34415,190.59659,190.38434,189.9201,189.81622
2011-04-12,192.23059,191.32216,190.60782,190.36713,189.94174,189.82529,189.68982
2011-04-13,191.34274,190.61829,190.38849,189.96608,189.80556,189.64577,189.11508
2011-04-14,190.61188,190.42288,189.93576,189.82367,189.70538,189.05606,189.0557
2011-04-15,190.3968,189.92358,189.80583,189.67334,189.07858,189.08029,188.52289
2011-04-17,189.92645,189.82452,189.73935,189.0545,189.0839,188.48729,187.57407
2011-04-18,189.81721,189.668,189.13544,189.07825,188.5079,187.569,187.53154
2011-04-19,189.6797,189.1063,189.04547,188.48994,187.56837,187.52405,187.52742
2011-04-20,189.10643,189.02533,188.50159,187.5676,187.5232,187.48697,186.56766
2011-04-21,189.10342,188.5239,187.58649,187.53021,187.47955,186.54965,186.53482
2011-04-24,188.50995,187.57588,187.53433,187.49918,186.57564,186.54645,186.16531
2011-04-25,187.58118,187.54092,187.49698,186.60196,186.53758,186.12903,186.04355
2011-04-26,187.51218,187.50183,186.58679,186.51163,186.19305,186.0227,185.46391
2011-04-27,187.47205,186.54018,186.52795,186.17615,186.0418,185.45987,184.88815
2011-04-28,186.57727,186.51395,186.16418,186.03918,185.45706,184.89859,184.81195
2011-04-29,186.52823,186.16576,186.03354,185.4498,184.92415,184.84991,184.38992
2011-05-01,186.17303,186.06937,185.43845,184.88829,184.83524,184.43864,184.38658
2011-05-02,186.03836,185.47356,184.87859,184.7928,184.4066,184.392,184.2405
2011-05-03,185.44702,184.89748,184.82025,184.46146,184.35321,184.1996,184.11111
2011-05-04,184.89914,184.81656,184.42825,184.3946,184.21603,184.10678,184.10738
2011-05-05,184.84323,184.4426,184.37643,184.17899,184.12698,184.10928,183.71417
2011-05-06,184.41545,184.37775,184.17026,184.10706,184.12045,183.72409,183.71301
2011-05-08,184.3739,184.21439,184.123,184.16705,183.69186,183.68646,183.6867
2011-05-09,184.2085,184.1247,184.1004,183.69254,183.68869,183.70415,183.71643
2011-05-10,184.1239,184.10083,183.76154,183.69595,183.68903,183.697,183.71335
2011-05-11,184.09998,183.70975,183.73041,183.66861,183.66959,183.70737,183.68567
2011-05-12,183.70282,183.7128,183.6786,183.73029,183.7258,183.6976,183.71677
2011-05-13,183.73506,183.70831,183.68988,183.70598,183.71606,183.69714,183.7136
2011-05-15,183.70193,183.70355,183.72568,183.73422,183.69801,183.71599,183.68481
2011-05-16,183.70189,183.69505,183.71674,183.70639,183.7226,183.70871,183.71729
2011-05-17,183.69444,183.71101,183.70374,183.71173,183.72076,183.67136,183.71405
2011-05-18,183.70663,183.73517,183.69022,183.72057,183.6976,183.72372,184.09705
2011-05-19,183.70679,183.72931,183.70027,183.70111,183.70657,184.06,184.18333
2011-05-20,183.70656,183.72888,183.70499,183.7156,184.08975,184.20769,184.26155
2011-05-22,183.72568,183.69923,183.71014,184.15446,184.23914,184.2049,184.413
2011-05-23,183.70335,183.70654,184.14053,184.2147,184.29547,184.4266,184.89127
2011-05-24,183.7067,184.12167,184.2099,184.293,184.4161,184.89133,185.1774
2011-05-25,184.08974,184.17938,184.28305,184.40985,184.9131,185.15182,185.48997
2011-05-26,184.2093,184.27548,184.45515,184.86865,185.15472,185.47687,185.26016
2011-05-27,184.33905,184.4661,184.88803,185.13077,185.4542,185.2773,185.15935
2011-05-29,184.3883,184.88708,185.13324,185.46274,185.21712,185.10797,185.09854
2011-05-30,184.91754,185.16772,185.47714,185.24216,185.1393,185.09973,185.11493
2011-05-31,185.1212,185.45854,185.30554,185.18335,185.13004,185.12848,185.13535
2011-06-01,185.43307,185.25583,185.19695,185.13187,185.09558,185.143,185.11856
2011-06-02,185.28558,185.16077,185.11778,185.13861,185.11777,185.12195,185.12483
2011-06-03,185.20108,185.10486,185.0961,185.112,185.10278,185.11734,185.1294
2011-06-05,185.14929,185.14444,185.13773,185.12207,185.14279,185.12154,185.08847
2011-06-06,185.09662,185.13693,185.14017,185.15796,185.1141,185.12268,185.09032
2011-06-07,185.13203,185.11179,185.11502,185.09866,185.14182,185.1015,185.15486
2011-06-08,185.13168,185.14966,185.15294,185.1108,185.10376,185.17712,185.13953
2011-06-09,185.10023,185.12007,185.11699,185.1497,185.17844,185.16663,185.15512
2011-06-10,185.11937,185.09885,185.13762,185.18106,185.1647,185.15237,185.2414
2011-06-12,185.13043,185.13834,185.17001,185.14597,185.12766,185.25534,185.2934
2011-06-13,185.08008,185.12973,185.16635,185.14944,185.2308,185.30905,186.44382
2011-06-14,185.16783,185.16283,185.13602,185.26147,185.28671,186.51283,187.26237
2011-06-15,185.12476,185.15973,185.22565,185.28671,186.4675,187.21693,187.30888
2011-06-16,185.12866,185.22197,185.26364,186.4486,187.2511,187.29283,187.32346
2011-06-17,185.23526,185.25058,186.43771,187.28488,187.28525,187.32977,187.27905
2011-06-19,185.24838,186.43933,187.21942,187.27309,187.33972,187.32878,187.37212
2011-06-20,186.41132,187.26093,187.30618,187.31012,187.31667,187.3664,187.47314
2011-06-21,187.31845,187.31741,187.24109,187.33675,187.39035,187.48993,187.51262
2011-06-22,187.32492,187.35962,187.2965,187.33719,187.4873,187.47273,187.44525
2011-06-23,187.27882,187.26889,187.34158,187.48314,187.4708,187.51083,187.47562
2011-06-24,187.30872,187.34406,187.50143,187.49881,187.48074,187.44302,187.3301
2011-06-26,187.31879,187.49817,187.51242,187.45966,187.48555,187.30695,187.25226
2011-06-27,187.49127,187.47778,187.47667,187.41562,187.30646,187.29335,186.43402
2011-06-28,187.48856,187.4808,187.47061,187.31783,187.29343,186.44337,185.9513
2011-06-29,187.46301,187.42291,187.32726,187.32616,186.40659,185.92676,185.8963
2011-06-30,187.49765,187.30087,187.30885,186.45969,185.90903,185.87265,185.27142
2011-07-01,187.33823,187.28632,186.46469,185.93663,185.8864,185.24612,185.21149
2011-07-03,187.29837,186.45892,185.99167,185.90372,185.245,185.24792,185.08545
